date,hospitalized,intensive_care,deceased
2020-02-20,,,
2020-02-21,,,
2020-02-22,,,
2020-02-23,149.71428571428572,10.142857142857142,12.285714285714286
2020-02-24,176.14285714285714,12.714285714285714,15.428571428571429
2020-02-25,204.57142857142858,16.857142857142858,19.571428571428573
2020-02-26,234.71428571428572,21.142857142857142,23.142857142857142
2020-02-27,269.0,24.142857142857142,27.285714285714285
2020-02-28,327.7142857142857,27.714285714285715,33.285714285714285
2020-02-29,398.2857142857143,31.571428571428573,37.42857142857143
2020-03-01,473.42857142857144,38.857142857142854,46.57142857142857
2020-03-02,570.5714285714286,46.57142857142857,53.0
2020-03-03,676.7142857142857,53.0,61.285714285714285
2020-03-04,784.0,56.857142857142854,68.57142857142857
2020-03-05,874.2857142857143,63.285714285714285,74.71428571428571
2020-03-06,973.0,70.0,82.0
2020-03-07,1069.7142857142858,78.57142857142857,86.42857142857143
2020-03-08,1180.142857142857,85.71428571428571,89.42857142857143
2020-03-09,1284.4285714285713,92.71428571428571,94.14285714285714
2020-03-10,1424.857142857143,103.57142857142857,101.71428571428571
2020-03-11,1522.857142857143,110.85714285714286,109.57142857142857
2020-03-12,1614.857142857143,118.57142857142857,116.71428571428571
2020-03-13,1747.5714285714287,126.71428571428571,123.71428571428571
2020-03-14,1880.7142857142858,136.85714285714286,135.0
2020-03-15,2001.5714285714287,142.14285714285714,145.0
2020-03-16,2110.1428571428573,151.71428571428572,152.42857142857142
2020-03-17,2182.0,151.0,156.14285714285714
2020-03-18,2254.285714285714,159.57142857142858,154.14285714285714
2020-03-19,2288.8571428571427,164.14285714285714,156.14285714285714
2020-03-20,2310.8571428571427,172.14285714285714,157.85714285714286
2020-03-21,2305.8571428571427,173.42857142857142,155.85714285714286
2020-03-22,2251.5714285714284,176.42857142857142,151.14285714285714
2020-03-23,2176.4285714285716,167.14285714285714,141.42857142857142
2020-03-24,2101.0,164.42857142857142,131.57142857142858
2020-03-25,2004.5714285714287,153.57142857142858,125.14285714285714
2020-03-26,1917.7142857142858,142.85714285714286,114.71428571428571
2020-03-27,1800.7142857142858,126.14285714285714,101.71428571428571
2020-03-28,1678.4285714285713,111.14285714285714,91.42857142857143
2020-03-29,1586.0,98.14285714285714,81.57142857142857
2020-03-30,1502.5714285714287,90.42857142857143,78.14285714285714
2020-03-31,1379.5714285714287,80.85714285714286,71.42857142857143
2020-04-01,1288.4285714285713,74.57142857142857,65.85714285714286
2020-04-02,1213.2857142857142,68.71428571428571,61.714285714285715
2020-04-03,1126.5714285714287,66.0,57.57142857142857
2020-04-04,1054.857142857143,63.714285714285715,52.0
2020-04-05,995.1428571428571,60.0,50.285714285714285
2020-04-06,931.2857142857143,60.285714285714285,48.57142857142857
2020-04-07,888.7142857142857,57.42857142857143,45.714285714285715
2020-04-08,863.2857142857143,55.142857142857146,44.285714285714285
2020-04-09,842.5714285714286,53.142857142857146,41.857142857142854
2020-04-10,792.1428571428571,48.285714285714285,39.142857142857146
2020-04-11,775.2857142857143,43.57142857142857,36.857142857142854
