dt_TERAPIAINTENSIVA,terapia intensiva,deceduti,deceduti/terapia intensiva 35gg
2020-08-06,3,0.0,0.1657142857142857
2020-08-07,4,1.0,0.17391304347826086
2020-08-08,6,0.0,0.17553191489361702
2020-08-09,1,0.0,0.17894736842105263
2020-08-10,5,2.0,0.19047619047619047
2020-08-11,4,1.0,0.1875
2020-08-12,5,0.0,0.19387755102040816
2020-08-13,6,1.0,0.22966507177033493
2020-08-14,10,1.0,0.2191780821917808
2020-08-15,6,1.0,0.21777777777777776
2020-08-16,4,3.0,0.22746781115879827
2020-08-17,6,0.0,0.23949579831932774
2020-08-18,10,1.0,0.25609756097560976
2020-08-19,6,1.0,0.26587301587301587
2020-08-20,6,0.0,0.25680933852140075
2020-08-21,2,0.0,0.26217228464419473
2020-08-22,5,0.0,0.26037735849056604
2020-08-23,8,3.0,0.2682926829268293
2020-08-24,10,3.0,0.2755102040816326
2020-08-25,9,3.0,0.27960526315789475
2020-08-26,8,2.0,0.2744479495268139
2020-08-27,5,2.0,0.2782874617737003
2020-08-28,7,1.0,0.28362573099415206
2020-08-29,8,3.0,0.2900552486187845
2020-08-30,16,10.0,0.2975871313672922
2020-08-31,14,2.0,0.3053435114503817
2020-09-01,11,1.0,0.3137755102040816
2020-09-02,13,6.0,0.3154034229828851
2020-09-03,10,4.0,0.31353919239904987
2020-09-04,11,6.0,0.32018561484918795
2020-09-05,12,5.0,0.32801822323462415
2020-09-06,8,0.0,0.34
2020-09-07,14,4.0,0.344017094017094
2020-09-08,8,1.0,0.34710743801652894
2020-09-09,26,9.0,0.3493975903614458
2020-09-10,10,4.0,0.35294117647058826
2020-09-11,14,5.0,0.34980988593155893
2020-09-12,19,2.0,0.3577981651376147
2020-09-13,11,4.0,0.3607142857142857
2020-09-14,20,8.0,0.3568965517241379
2020-09-15,24,9.0,0.35785953177257523
2020-09-16,16,6.0,0.36231884057971014
2020-09-17,26,10.0,0.35669781931464173
2020-09-18,9,4.0,0.3586626139817629
2020-09-19,23,7.0,0.37026239067055394
2020-09-20,16,6.0,0.3677069199457259
2020-09-21,16,6.0,0.3657587548638132
2020-09-22,18,7.0,0.3629719853836784
2020-09-23,17,10.0,0.3644859813084112
2020-09-24,24,8.0,0.367032967032967
2020-09-25,18,7.0,0.3744813278008299
2020-09-26,19,6.0,0.37258687258687256
2020-09-27,20,9.0,0.37454212454212454
2020-09-28,26,7.0,0.36622073578595316
2020-09-29,28,14.0,0.3656832298136646
2020-09-30,23,9.0,0.3681917211328976
2020-10-01,25,7.0,0.3700470114170584
2020-10-02,25,8.0,0.3747645951035782
2020-10-03,31,14.0,0.37616822429906543
2020-10-04,37,14.0,0.3746014877789586
2020-10-05,30,9.0,0.3730750124192747
2020-10-06,39,19.0,0.3706896551724138
2020-10-07,64,23.0,0.36924989639452965
2020-10-08,44,15.0,0.37346153846153846
2020-10-09,61,22.0,0.3731871241598868
2020-10-10,47,19.0,0.3730366492146597
2020-10-11,62,22.0,0.37179873455860196
2020-10-12,68,31.0,0.37735318909806126
2020-10-13,80,26.0,0.3796369376479874
2020-10-14,82,32.0,0.3788621873467386
2020-10-15,114,33.0,0.37743280815569974
2020-10-16,106,38.0,0.38398798025327324
2020-10-17,108,38.0,0.38372093023255816
2020-10-18,123,48.0,0.38422630198576246
2020-10-19,124,54.0,0.38586671331117717
2020-10-20,143,56.0,0.38477975016436555
2020-10-21,186,67.0,0.38257339163023113
2020-10-22,157,56.0,0.38244047619047616
2020-10-23,200,70.0,0.38373408769448375
2020-10-24,232,81.0,0.38376632117377846
2020-10-25,203,86.0,0.38735944164404806
2020-10-26,243,90.0,0.3878359965316487
2020-10-27,247,92.0,0.38984868342666507
2020-10-28,280,104.0,0.39122423125647815
2020-10-29,264,117.0,0.3932483791638721
2020-10-30,260,107.0,0.3961633796745339
2020-10-31,296,108.0,0.398143319077918
2020-11-01,258,93.0,0.3999194522754732
2020-11-02,369,167.0,0.40286358732960675
2020-11-03,357,139.0,0.40338788400803904
2020-11-04,373,146.0,0.40612052730696796
2020-11-05,404,162.0,0.407119021134594
2020-11-06,392,143.0,0.4081484176064023
2020-11-07,351,123.0,0.40800285816362986
2020-11-08,353,134.0,0.40932001061101775
2020-11-09,380,152.0,0.41049598323436953
2020-11-10,398,157.0,0.4131923376961082
2020-11-11,372,169.0,0.4147018030513176
2020-11-12,380,149.0,0.4153208394507298
2020-11-13,381,163.0,0.41765366992305697
2020-11-14,337,144.0,0.41870516034229405
2020-11-15,325,143.0,0.42079722703639516
2020-11-16,401,189.0,0.4215499306518724
2020-11-17,388,167.0,0.4224519940915805
2020-11-18,427,187.0,0.4241840930965089
2020-11-19,379,169.0,0.4257286255173021
2020-11-20,358,145.0,0.4250780901383311
2020-11-21,279,136.0,0.4275506512301013
2020-11-22,291,127.0,0.4288332875080194
2020-11-23,332,150.0,0.4306059759843619
2020-11-24,343,136.0,0.4328117591275486
2020-11-25,299,128.0,0.43644598631589093
2020-11-26,300,128.0,0.4389837159113204
2020-11-27,285,136.0,0.4396844417815059
2020-11-28,231,98.0,0.4417396618455897
2020-11-29,246,111.0,0.4413448527115645
2020-11-30,231,112.0,0.4435244161358811
2020-12-01,249,105.0,0.44479460986742014
2020-12-02,251,116.0,0.4447400509921295
2020-12-03,260,124.0,0.4451219512195122
2020-12-04,233,106.0,0.44479130535322003
2020-12-05,216,94.0,0.4457345971563981
2020-12-06,186,80.0,0.4463870888861719
2020-12-07,217,95.0,0.44518314099347717
2020-12-08,208,103.0,0.4458902344756506
2020-12-09,228,98.0,0.44415346340185935
2020-12-10,236,109.0,0.4450659208949261
2020-12-11,194,81.0,0.4448829613500272
2020-12-12,183,88.0,0.4483669214732453
2020-12-13,170,80.0,0.4488211209939291
2020-12-14,200,80.0,0.4493252942865346
2020-12-15,202,91.0,0.44701405152224827
2020-12-16,161,72.0,0.44866696126086314
2020-12-17,193,87.0,0.44818808026355195
2020-12-18,163,78.0,0.4471703792895846
2020-12-19,156,63.0,0.4496807540285801
2020-12-20,160,73.0,0.4498769987699877
2020-12-21,194,94.0,0.4455322455322455
2020-12-22,179,82.0,0.4461995620894589
2020-12-23,166,76.0,0.44614173228346454
2020-12-24,172,67.0,0.4479495268138801
2020-12-25,148,57.0,0.4494221940794681
2020-12-26,154,67.0,0.4462980616460121
2020-12-27,163,77.0,0.44599582731503773
2020-12-28,171,77.0,0.44808034991090234
2020-12-29,190,93.0,0.4474841231069858
2020-12-30,187,81.0,0.4442263657180242
2020-12-31,183,79.0,0.44580877537655533
2021-01-01,151,60.0,0.44953225012309206
2021-01-02,188,90.0,0.4491315136476427
2021-01-03,135,58.0,0.44846980976013234
2021-01-04,197,90.0,0.44813278008298757
2021-01-05,183,92.0,0.44793745841650034
2021-01-06,177,84.0,0.44935972060535506
2021-01-07,191,65.0,0.4494814319170291
2021-01-08,192,92.0,0.4490857238718336
2021-01-09,172,74.0,0.4484797297297297
2021-01-10,176,87.0,0.44743567899131026
2021-01-11,194,94.0,0.44930757394426396
2021-01-12,185,73.0,0.4500085748585148
2021-01-13,165,68.0,0.45035277921183964
2021-01-14,178,96.0,0.45037242335007793
2021-01-15,162,63.0,0.44908933217692976
2021-01-16,156,56.0,0.447046487242223
2021-01-17,164,87.0,0.446853516657853
2021-01-18,185,96.0,0.4490049751243781
2021-01-19,154,67.0,0.4491495393338058
2021-01-20,161,68.0,0.44839285714285715
2021-01-21,173,76.0,0.4482758620689655
2021-01-22,150,71.0,0.4461677186654644
2021-01-23,157,72.0,0.44309532439289595
2021-01-24,125,58.0,0.4436555616238849
2021-01-25,177,84.0,0.44485294117647056
2021-01-26,138,60.0,0.4438860971524288
2021-01-27,115,47.0,0.44419391206313413
2021-01-28,152,69.0,0.441891378655526
2021-01-29,130,53.0,0.4404283801874163
2021-01-30,134,60.0,0.4404693210232737
2021-01-31,125,60.0,0.44214796214023566
2021-02-01,163,66.0,0.43464810518174785
2021-02-02,147,62.0,0.4366498251068791
2021-02-03,138,58.0,0.43819134484766153
2021-02-04,138,71.0,0.4332880170906972
2021-02-05,167,68.0,0.4279357709421552
2021-02-06,144,66.0,0.4286811288155116
2021-02-07,132,56.0,0.42906375646180356
2021-02-08,145,55.0,0.42857142857142855
2021-02-09,156,63.0,0.42539981185324555
2021-02-10,152,76.0,0.42285393678698335
2021-02-11,138,48.0,0.42150139017608895
2021-02-12,125,57.0,0.417262231995602
2021-02-13,121,53.0,0.41429848078641646
2021-02-14,120,50.0,0.41333566067376504
2021-02-15,157,70.0,0.41139022711631107
2021-02-16,155,60.0,0.4081564432558917
2021-02-17,143,67.0,0.4043144304624939
2021-02-18,173,55.0,0.40324915554125784
2021-02-19,136,62.0,0.39921011058451816
2021-02-20,163,67.0,0.3953739398612182
2021-02-21,160,60.0,0.39552686880816573
2021-02-22,205,77.0,0.3917723385432026
2021-02-23,194,88.0,0.3896963591883724
2021-02-24,175,76.0,0.3889830508474576
2021-02-25,221,94.0,0.38855797201828507
2021-02-26,194,73.0,0.3863268608414239
2021-02-27,189,72.0,0.3876478318002628
2021-02-28,173,71.0,0.3841392649903288
2021-03-01,239,87.0,0.3842949122585532
2021-03-02,276,101.0,0.38277982779827796
2021-03-03,249,97.0,0.3816011574632264
2021-03-04,235,92.0,0.3803484650942278
2021-03-05,301,104.0,0.3798043326345213
2021-03-06,270,92.0,0.3809141940657578
2021-03-07,223,93.0,0.3794622684139178
2021-03-08,276,86.0,0.37940589669696295
2021-03-09,302,99.0,0.3773728170083523
2021-03-10,315,129.0,0.37859818084537183
2021-03-11,258,93.0,0.3791022655092102
2021-03-12,334,119.0,0.37933556205599667
2021-03-13,275,112.0,0.37772272117270567
2021-03-14,271,107.0,0.37732760384694086
2021-03-15,342,115.0,0.37657031968134
2021-03-16,350,148.0,0.3753041362530414
2021-03-17,297,105.0,0.37596114933225416
2021-03-18,304,113.0,0.3764515803291932
2021-03-19,334,125.0,0.3784030881755384
2021-03-20,285,106.0,0.37954267047774604
2021-03-21,263,94.0,0.3795755152260843
2021-03-22,306,122.0,0.37986411365040146
2021-03-23,298,124.0,0.3818561001042753
2021-03-24,266,101.0,0.38521482729570344
2021-03-25,343,119.0,0.3873883453849426
2021-03-26,333,118.0,0.3911546325191004
2021-03-27,289,126.0,0.39555167902311383
2021-03-28,261,103.0,0.39746863550571776
