data,rt_positivi,rt_positivi_err68perc,rt_sintomatici,rt_sintomatici_err68perc
2021-08-20,1.0456131405146183,0.015652339479129973,1.050507757678662,0.016823457869504493
2021-08-21,1.0521161363710632,0.017734985575270628,1.0572441344885157,0.019015337450123265
2021-08-22,1.0568432667578995,0.018953623689112364,1.0623515875681067,0.020371829069641422
2021-08-23,1.061094955566463,0.019835700382839588,1.0667056194974007,0.021326269637134118
2021-08-24,1.0648174388280496,0.02044756140406762,1.070491794037483,0.02200744784826148
2021-08-25,1.068597495809064,0.02147313111716908,1.0739695893651549,0.02297736538849832
2021-08-26,1.0739962595420376,0.022833164293334943,1.07868932561465,0.024203779040552462
2021-08-27,1.074927823182436,0.023128398043849707,1.0787183682913355,0.024212939340544765
2021-08-28,1.0750612208938954,0.023170509614910323,1.0782471458721254,0.024064420999208636
2021-08-29,1.0676613710628757,0.02084893813703953,1.0705067075171162,0.021660772785032225
2021-08-30,1.060662661477162,0.018876448882685123,1.063037266458315,0.019512547722830443
2021-08-31,1.0520673267233231,0.01647440975646653,1.0538457370796874,0.01689482740392279
2021-09-01,1.0442551632333885,0.014369164633024102,1.0457547174927673,0.014665943834078793
2021-09-02,1.0374315238694634,0.012930059699672512,1.0384719906856543,0.013080448747660652
2021-09-03,1.0279226507610222,0.011828514896486219,1.0282506691202078,0.011741259670570695
2021-09-04,1.0150610384081828,0.011915823425565155,1.0147237211646185,0.011838201682137084
2021-09-05,0.9989939150149605,0.012411292159102243,0.9979949634957519,0.01249341663621573
2021-09-06,0.9819317893023655,0.012898364182406214,0.9803571469158144,0.013183124491161454
2021-09-07,0.9614288061962025,0.014007886646784396,0.9591405867205639,0.014704215083134967
2021-09-08,0.9439075631364507,0.0172304467282634,0.9409860861282479,0.018148533391003786
2021-09-09,0.9302589043655,0.01962919211743084,0.9269364387326432,0.02062699889147325
2021-09-10,0.9228067999544678,0.021049467088044664,0.9190501895950158,0.022075187855553773
2021-09-11,0.9197669898311222,0.021670454653991193,0.9157980552702897,0.022717523644978678
2021-09-12,0.9162262245807398,0.02237764530191582,0.9122335558044553,0.023402980301330926
2021-09-13,0.9113068329456406,0.023478477223245437,0.9067923083830921,0.02462391288279256
2021-09-14,0.9055460636448581,0.024890277802256434,0.9005819889599302,0.026130952009589554
2021-09-15,0.9012320185264461,0.026015514569333518,0.8960167294002119,0.02731114714104424
2021-09-16,0.8985903659209401,0.026709826223127384,0.893264925252714,0.02802486046973079
2021-09-17,0.9005648453061171,0.026272656444483213,0.8953254705898255,0.02756714018662464
2021-09-18,0.9000711075213246,0.026376577252602732,0.894672391311174,0.027704708868742024
2021-09-19,0.9003253870097822,0.0263236795626728,0.8947870451091661,0.027681019547566778
2021-09-20,0.9045747949191086,0.02542113575899112,0.8990638354633419,0.026783163844319315
2021-09-21,0.9095922888287666,0.0243536209285217,0.9042335139368519,0.02572720134156654
2021-09-22,0.9103474268499024,0.02419763918139813,0.905441601869397,0.02548944090641375
2021-09-23,0.9133274928423604,0.023558398257452012,0.9089478576850449,0.02476226534040046
2021-09-24,0.9174087811295322,0.02257023823402808,0.9139334491494607,0.023577022355658037
2021-09-25,0.9191699001801964,0.02205424430275826,0.9163558159827317,0.022867905698196543
2021-09-26,0.9241118123484626,0.02062434873055587,0.9221960004823924,0.02114030416357816
2021-09-27,0.9304290520036405,0.01899950872671467,0.9295744505306495,0.019277602476264342
2021-09-28,0.9351519047154073,0.017927728766041935,0.9357282546266854,0.0179158935454731
2021-09-29,0.9349979979093529,0.017962358076996848,0.9366154715625395,0.01771905846097552
2021-09-30,0.9318152041277653,0.018639027465566588,0.9337706753188301,0.01833516654980537
2021-10-01,0.9322101682769065,0.018538120685050227,0.9344979284689117,0.018148650760783466
2021-10-02,0.929771036420272,0.01917280166711708,0.9321414589832163,0.01875974490489393
2021-10-03,0.9238414529441504,0.020793251242360294,0.9259832225213559,0.02044217376114502
2021-10-04,0.9153576861913568,0.023277765890709005,0.9164611000124813,0.02325713590998759
2021-10-05,0.9111767666522246,0.024344861022596764,0.9118564218642191,0.024435887832427824
2021-10-06,0.9095123370590712,0.024701581317879886,0.9096956009561169,0.024906174584214087
2021-10-07,0.9056255746103729,0.025623084884491876,0.905237608668878,0.025962449873736828
2021-10-08,0.9018895014108962,0.026449122149888194,0.9012230721832355,0.02683497880807788
2021-10-09,0.8993080745685063,0.026850133256856396,0.898267152798176,0.027267593800177056
2021-10-10,0.9012254213465819,0.0265556356267237,0.8993333670284244,0.027114168359953002
2021-10-11,0.904407628814109,0.02591336766481198,0.902707444305045,0.026452243364796617
2021-10-12,0.9121599345844528,0.024191668629471554,0.910617693883346,0.024683910940953024
2021-10-13,0.9286495899745757,0.021412234026284924,0.9268198190327226,0.021829877222696244
2021-10-14,0.951941629956854,0.01850585954844226,0.9501362546733237,0.01893598087032368
2021-10-15,0.9765982307471697,0.0156495914533948,0.9745227558003421,0.015835636037845272
2021-10-16,1.0021502559168294,0.014357619552030845,1.0001930545474866,0.014092619867959585
2021-10-17,1.0283840925451464,0.01710155549831365,1.0264430450670223,0.016407106383264532
2021-10-18,1.0509035410410525,0.022227252930587034,1.0490348583942206,0.021673614731035434
2021-10-19,1.0733151196368726,0.027165298950970817,1.0714770268961484,0.026604906190580303
2021-10-20,1.094677172631171,0.031481764533184346,1.0925692258119932,0.030908438092962266
2021-10-21,1.1124189306023642,0.03633656398710567,1.1101128703179886,0.03575230331310305
2021-10-22,1.1221897321495016,0.0390209090800868,1.1197833724661799,0.03839200731393291
2021-10-23,1.134174597709444,0.04234035625814104,1.1324569221147918,0.04185463806754593
2021-10-24,1.143850754290958,0.04511234026816855,1.1427243620921286,0.044762338483000465
2021-10-25,1.1485938746655904,0.04676854779972763,1.1477735841268222,0.0464932292238789
2021-10-26,1.1459547098585816,0.045799453657432335,1.1454870280051817,0.045655407347151816
2021-10-27,1.1404493064134265,0.04402736435203111,1.1398042203098115,0.04381201700076456
2021-10-28,1.1343272866744296,0.04221443809457741,1.134183962664892,0.04216197549117331
2021-10-29,1.1231794320326696,0.03884981133915958,1.1232626431318518,0.03882600929660234
2021-10-30,1.1139639769568461,0.0358092860995276,1.1145629389016942,0.035915911970060686
2021-10-31,1.1059531584416076,0.03329605669998485,1.1069104125523634,0.03346457933429086
2021-11-01,1.1027387527487895,0.03226165511415641,1.1044976303480791,0.03268816918542888
2021-11-02,1.1069578611179955,0.03383233999274335,1.1090250312054357,0.034368765546901936
2021-11-03,1.1161409792108379,0.03762322484664342,1.1182699927364197,0.038153339323337705
2021-11-04,1.1316479675207407,0.04348651590919695,1.1340352535117117,0.044087148636192695
2021-11-05,1.147060211802852,0.04941817664144529,1.149625078903046,0.050108889598425556
