dt_RICOVERO,ricoveri,terapia intensiva,terapia intensiva/ricoveri 7gg
2020-02-20,1,,
2020-02-21,2,,
2020-02-22,0,,
2020-02-23,1,,
2020-02-24,5,2.0,
2020-02-25,5,0.0,
2020-02-26,5,0.0,
2020-02-27,4,0.0,0.16224489795918368
2020-02-28,10,2.0,0.14081632653061224
2020-02-29,7,2.0,0.16462585034013605
2020-03-01,4,1.0,0.20034013605442175
2020-03-02,12,3.0,0.21332714904143474
2020-03-03,12,2.0,0.20960044096690056
2020-03-04,16,4.0,0.18664125729343115
2020-03-05,22,2.0,0.1815392164771046
2020-03-06,23,4.0,0.17329745823534637
2020-03-07,32,4.0,0.17546196039984854
2020-03-08,14,3.0,0.16413791858800184
2020-03-09,26,5.0,0.17370729657843248
2020-03-10,33,6.0,0.17483660205556406
2020-03-11,41,7.0,0.19833284265706783
2020-03-12,38,6.0,0.19802362806213897
2020-03-13,44,8.0,0.1909592638549176
2020-03-14,38,11.0,0.20535790868834503
2020-03-15,33,7.0,0.20033812483433217
2020-03-16,49,7.0,0.20317855925371395
2020-03-17,46,13.0,0.203782606369389
2020-03-18,59,8.0,0.1797856982111429
2020-03-19,90,16.0,0.1698908311734187
2020-03-20,86,16.0,0.17805409647954115
2020-03-21,107,13.0,0.15487719286785495
2020-03-22,70,10.0,0.15876254677291718
2020-03-23,100,20.0,0.15028301460917448
2020-03-24,108,13.0,0.1420199598344918
2020-03-25,86,14.0,0.14664150651211325
2020-03-26,76,9.0,0.15344422760054863
2020-03-27,78,10.0,0.13729515927756727
2020-03-28,78,12.0,0.13415091433004364
2020-03-29,63,12.0,0.12770182306563088
2020-03-30,69,6.0,0.11699570995677178
2020-03-31,61,6.0,0.11215778059054052
2020-04-01,51,6.0,0.10378520078938928
2020-04-02,46,2.0,0.08550288786421922
2020-04-03,53,5.0,0.08124379292189447
2020-04-04,42,4.0,0.0781812816626619
2020-04-05,32,2.0,0.07980773869708857
2020-04-06,35,2.0,0.0793108442871507
2020-04-07,39,3.0,0.07399702064448609
2020-04-08,31,4.0,0.06039157846761534
2020-04-09,25,1.0,0.06336776894380582
2020-04-10,35,2.0,0.0644210934994345
2020-04-11,45,0.0,0.0644210934994345
2020-04-12,36,3.0,0.0459879137759322
2020-04-13,31,2.0,0.05326064104865947
2020-04-14,39,3.0,0.05462118526634654
2020-04-15,22,0.0,0.059383090028251304
2020-04-16,22,2.0,0.05319261383777511
2020-04-17,30,2.0,0.04969030969030967
2020-04-18,30,1.0,0.05733483907396948
2020-04-19,25,1.0,0.06262584436497477
2020-04-20,25,1.0,0.05949104812673026
2020-04-21,23,3.0,0.04996723860292074
2020-04-22,27,1.0,0.05881077601788672
2020-04-23,29,2.0,0.05881077601788672
2020-04-24,22,0.0,0.07350465356890713
2020-04-25,21,2.0,0.06586012418524731
2020-04-26,25,1.0,0.09953015785528097
2020-04-27,14,2.0,0.08967794110651249
2020-04-28,13,1.0,0.08967794110651249
2020-04-29,11,3.0,0.08706150991865273
2020-04-30,14,0.0,0.08134722420436702
2020-05-01,7,0.0,0.07522477522477519
2020-05-02,13,1.0,0.07443984586841726
2020-05-03,5,0.0,0.035478806907378306
2020-05-04,10,1.0,0.045682888540031365
2020-05-05,14,1.0,0.05996860282574564
2020-05-06,3,0.0,0.0897959183673469
2020-05-07,14,1.0,0.0897959183673469
2020-05-08,10,1.0,0.07551020408163263
2020-05-09,7,2.0,0.10102040816326528
2020-05-10,2,0.0,0.10102040816326528
2020-05-11,5,0.0,0.1193877551020408
2020-05-12,4,1.0,0.1160910518053375
2020-05-13,10,0.0,0.09114774114774113
2020-05-14,5,1.0,0.09114774114774113
2020-05-15,13,1.0,0.10900488400488398
2020-05-16,9,1.0,0.08916361416361414
2020-05-17,4,0.0,0.11297313797313793
2020-05-18,8,1.0,0.08440170940170935
2020-05-19,9,1.0,0.07341269841269837
2020-05-20,6,1.0,0.0575396825396825
2020-05-21,6,0.0,0.0575396825396825
2020-05-22,9,0.0,0.039682539682539646
2020-05-23,6,0.0,0.023809523809523774
2020-05-24,6,0.0,0.0
2020-05-25,6,0.0,0.047619047619047575
2020-05-26,5,0.0,0.047619047619047575
2020-05-27,4,0.0,0.047619047619047575
2020-05-28,3,1.0,0.047619047619047575
2020-05-29,4,0.0,0.19047619047619044
2020-05-30,3,0.0,0.19047619047619044
2020-05-31,3,0.0,0.219047619047619
2020-06-01,1,1.0,0.1714285714285714
2020-06-02,1,0.0,0.1714285714285714
2020-06-03,5,1.0,0.1714285714285714
2020-06-04,4,0.0,0.1714285714285714
2020-06-05,3,0.0,0.028571428571428532
2020-06-06,5,0.0,0.028571428571428532
2020-06-07,3,0.0,0.017857142857142818
2020-06-08,12,0.0,0.017857142857142818
2020-06-09,1,0.0,0.017857142857142818
2020-06-10,8,1.0,0.017857142857142818
2020-06-11,5,0.0,0.017857142857142818
2020-06-12,7,0.0,0.017857142857142818
2020-06-13,12,0.0,0.017857142857142818
2020-06-14,4,0.0,0.0
2020-06-15,3,0.0,0.0
2020-06-16,2,0.0,0.047619047619047575
2020-06-17,2,0.0,0.047619047619047575
2020-06-18,1,0.0,0.047619047619047575
2020-06-19,3,1.0,0.047619047619047575
2020-06-20,5,0.0,0.047619047619047575
2020-06-21,4,0.0,0.047619047619047575
2020-06-22,3,0.0,0.047619047619047575
2020-06-23,4,0.0,0.0
2020-06-24,6,0.0,0.0
2020-06-25,3,0.0,0.0
2020-06-26,6,0.0,0.0
2020-06-27,2,0.0,0.020408163265306083
2020-06-28,3,0.0,0.020408163265306083
2020-06-29,1,0.0,0.020408163265306083
2020-06-30,7,1.0,0.020408163265306083
2020-07-01,4,0.0,0.020408163265306083
2020-07-02,10,0.0,0.020408163265306083
2020-07-03,6,0.0,0.020408163265306083
2020-07-04,5,0.0,0.047619047619047575
2020-07-05,4,0.0,0.047619047619047575
2020-07-06,10,0.0,0.047619047619047575
2020-07-07,3,1.0,0.047619047619047575
2020-07-08,6,0.0,0.047619047619047575
2020-07-09,1,0.0,0.047619047619047575
2020-07-10,3,0.0,0.047619047619047575
2020-07-11,4,0.0,0.0
2020-07-12,3,0.0,0.0
2020-07-13,3,0.0,0.0
2020-07-14,5,0.0,0.0
2020-07-15,5,0.0,0.0
2020-07-16,1,0.0,0.0
2020-07-17,5,0.0,0.02380952380952377
2020-07-18,9,0.0,0.03968253968253964
2020-07-19,4,0.0,0.03968253968253964
2020-07-20,6,1.0,0.03968253968253964
2020-07-21,9,1.0,0.0786435786435786
2020-07-22,1,0.0,0.0786435786435786
2020-07-23,5,0.0,0.0786435786435786
2020-07-24,11,3.0,0.11197691197691194
2020-07-25,6,0.0,0.09610389610389605
2020-07-26,3,0.0,0.09610389610389605
2020-07-27,5,2.0,0.09610389610389605
2020-07-28,8,0.0,0.0571428571428571
2020-07-29,3,0.0,0.0571428571428571
2020-07-30,7,0.0,0.15238095238095234
2020-07-31,8,0.0,0.11904761904761903
