data,0-5 anni,6-12 anni,13-19 anni,20-29 anni,30-39 anni,40-49 anni,50-59 anni,60-69 anni,70-79 anni,80-89 anni,≥90 anni
2021-09-16,1.7142857142857142,3.142857142857143,3.5714285714285716,4.571428571428571,5.285714285714286,7.142857142857143,6.571428571428571,4.142857142857143,3.2857142857142856,2.5714285714285716,1.8571428571428572
2021-09-17,1.7142857142857142,2.5714285714285716,3.5714285714285716,4.571428571428571,5.142857142857143,7.428571428571429,7.142857142857143,4.142857142857143,2.857142857142857,1.8571428571428572,1.4285714285714286
2021-09-18,1.4285714285714286,3.4285714285714284,4.428571428571429,4.142857142857143,4.714285714285714,7.285714285714286,6.285714285714286,4.142857142857143,2.7142857142857144,2.2857142857142856,1.2857142857142858
2021-09-19,1.5714285714285714,3.2857142857142856,4.428571428571429,3.857142857142857,5.571428571428571,7.0,6.285714285714286,3.7142857142857144,2.2857142857142856,2.4285714285714284,1.2857142857142858
2021-09-20,1.2857142857142858,3.4285714285714284,4.285714285714286,3.142857142857143,5.0,7.142857142857143,6.428571428571429,3.4285714285714284,2.2857142857142856,2.4285714285714284,0.8571428571428571
2021-09-21,1.4285714285714286,3.857142857142857,3.7142857142857144,2.7142857142857144,5.571428571428571,6.0,6.142857142857143,3.4285714285714284,2.4285714285714284,2.4285714285714284,0.5714285714285714
2021-09-22,1.4285714285714286,3.7142857142857144,3.5714285714285716,2.142857142857143,5.142857142857143,4.571428571428571,6.285714285714286,3.4285714285714284,2.142857142857143,2.142857142857143,0.42857142857142855
2021-09-23,1.4285714285714286,3.7142857142857144,3.5714285714285716,2.142857142857143,5.142857142857143,4.571428571428571,6.142857142857143,3.4285714285714284,2.142857142857143,2.0,0.42857142857142855
2021-09-24,1.5714285714285714,4.0,4.142857142857143,1.8571428571428572,5.428571428571429,3.7142857142857144,5.714285714285714,3.0,2.0,1.7142857142857142,0.2857142857142857
2021-09-25,1.7142857142857142,3.2857142857142856,3.4285714285714284,1.8571428571428572,5.285714285714286,3.7142857142857144,6.142857142857143,2.4285714285714284,1.7142857142857142,1.2857142857142858,0.2857142857142857
2021-09-26,1.1428571428571428,3.4285714285714284,3.142857142857143,2.7142857142857144,4.571428571428571,4.142857142857143,6.142857142857143,2.2857142857142856,2.0,2.857142857142857,1.2857142857142858
2021-09-27,1.1428571428571428,4.142857142857143,3.0,2.7142857142857144,5.0,4.142857142857143,5.857142857142857,2.7142857142857144,1.7142857142857142,2.7142857142857144,1.2857142857142858
2021-09-28,1.1428571428571428,3.7142857142857144,2.5714285714285716,3.142857142857143,4.428571428571429,4.142857142857143,5.285714285714286,3.142857142857143,1.4285714285714286,2.7142857142857144,1.2857142857142858
2021-09-29,1.1428571428571428,4.428571428571429,2.857142857142857,3.5714285714285716,4.285714285714286,4.285714285714286,5.285714285714286,2.857142857142857,1.2857142857142858,2.7142857142857144,1.2857142857142858
2021-09-30,1.1428571428571428,4.428571428571429,2.857142857142857,3.5714285714285716,4.428571428571429,4.285714285714286,5.285714285714286,3.0,1.2857142857142858,2.7142857142857144,1.2857142857142858
2021-10-01,0.8571428571428571,3.7142857142857144,2.7142857142857144,3.7142857142857144,4.714285714285714,4.428571428571429,5.285714285714286,2.857142857142857,1.2857142857142858,3.0,1.8571428571428572
