giorni,casi
412.0,0
413.0,0
414.0,0
415.0,0
416.0,1
417.0,0
418.0,1
419.0,1
420.0,0
421.0,3
422.0,2
423.0,3
424.0,3
425.0,3
426.0,2
427.0,4
428.0,9
429.0,7
430.0,7
431.0,14
432.0,26
433.0,22
434.0,28
435.0,17
436.0,35
437.0,31
438.0,43
439.0,35
440.0,51
441.0,52
442.0,60
443.0,50
444.0,57
445.0,66
446.0,68
447.0,59
448.0,53
449.0,62
450.0,70
451.0,59
452.0,65
453.0,86
454.0,71
455.0,57
456.0,54
457.0,59
458.0,42
459.0,51
460.0,56
461.0,54
462.0,54
463.0,73
464.0,66
465.0,67
466.0,75
467.0,92
468.0,89
469.0,88
470.0,76
471.0,83
472.0,65
473.0,79
474.0,71
475.0,68
476.0,82
477.0,61
478.0,59
479.0,66
480.0,74
481.0,63
482.0,67
483.0,59
484.0,58
485.0,59
486.0,47
487.0,44
488.0,47
489.0,48
490.0,39
491.0,44
492.0,42
493.0,29
494.0,30
495.0,42
496.0,26
497.0,35
498.0,29
499.0,46
