data,casi,casi_media7gg
2020-03-11,2,2.2857142857142856
2020-03-12,1,2.7142857142857144
2020-03-13,4,3.4285714285714284
2020-03-14,8,4.428571428571429
2020-03-15,3,5.428571428571429
2020-03-16,5,6.142857142857143
2020-03-17,8,6.428571428571429
2020-03-18,9,6.714285714285714
2020-03-19,6,7.428571428571429
2020-03-20,6,8.285714285714286
2020-03-21,10,8.142857142857142
2020-03-22,8,7.428571428571429
2020-03-23,11,7.571428571428571
2020-03-24,7,7.571428571428571
2020-03-25,4,7.142857142857143
2020-03-26,7,6.714285714285714
2020-03-27,6,6.285714285714286
2020-03-28,7,6.285714285714286
2020-03-29,5,6.285714285714286
2020-03-30,8,5.857142857142857
2020-03-31,7,5.571428571428571
2020-04-01,4,5.428571428571429
2020-04-02,4,4.857142857142857
2020-04-03,4,4.285714285714286
2020-04-04,6,3.4285714285714284
2020-04-05,1,3.142857142857143
2020-04-06,4,3.142857142857143
2020-04-07,1,2.857142857142857
2020-04-08,2,2.142857142857143
2020-04-09,4,2.142857142857143
2020-04-10,2,1.7142857142857142
2020-04-11,1,1.8571428571428572
2020-04-12,1,1.7142857142857142
2020-04-13,1,1.1428571428571428
2020-04-14,2,1.0
2020-04-15,1,1.1428571428571428
2020-04-16,0,1.0
2020-04-17,1,1.1428571428571428
2020-04-18,2,1.0
2020-04-19,0,1.0
2020-04-20,2,1.1428571428571428
2020-04-21,1,1.0
2020-04-22,1,1.0
2020-04-23,1,1.4285714285714286
2020-04-24,0,1.2857142857142858
2020-04-25,2,1.2857142857142858
2020-04-26,3,1.5714285714285714
2020-04-27,1,1.4285714285714286
2020-04-28,1,1.5714285714285714
2020-04-29,3,1.2857142857142858
2020-04-30,0,0.8571428571428571
2020-05-01,1,0.7142857142857143
2020-05-02,0,0.5714285714285714
2020-05-03,0,0.2857142857142857
2020-05-04,0,0.42857142857142855
2020-05-05,0,0.2857142857142857
2020-05-06,1,0.2857142857142857
2020-05-07,1,0.2857142857142857
2020-05-08,0,0.2857142857142857
2020-05-09,0,0.2857142857142857
2020-05-10,0,0.2857142857142857
2020-05-11,0,0.14285714285714285
2020-05-12,0,0.14285714285714285
2020-05-13,1,0.14285714285714285
2020-05-14,0,0.14285714285714285
2020-05-15,0,0.14285714285714285
2020-05-16,0,0.14285714285714285
2020-05-17,0,0.0
2020-05-18,0,0.0
2020-05-19,0,0.0
2020-05-20,0,0.0
2020-05-21,0,0.0
2020-05-22,0,0.14285714285714285
2020-05-23,0,0.14285714285714285
2020-05-24,0,0.14285714285714285
2020-05-25,1,0.14285714285714285
2020-05-26,0,0.14285714285714285
2020-05-27,0,0.14285714285714285
2020-05-28,0,0.2857142857142857
2020-05-29,0,0.14285714285714285
2020-05-30,0,0.14285714285714285
2020-05-31,1,0.14285714285714285
2020-06-01,0,0.2857142857142857
2020-06-02,0,0.42857142857142855
2020-06-03,0,0.5714285714285714
2020-06-04,1,0.42857142857142855
2020-06-05,1,0.42857142857142855
2020-06-06,1,0.42857142857142855
2020-06-07,0,0.42857142857142855
2020-06-08,0,0.2857142857142857
2020-06-09,0,0.14285714285714285
2020-06-10,0,0.0
2020-06-11,0,0.0
2020-06-12,0,0.0
2020-06-13,0,0.0
2020-06-14,0,0.0
2020-06-15,0,0.2857142857142857
2020-06-16,0,0.2857142857142857
2020-06-17,0,0.42857142857142855
2020-06-18,2,0.42857142857142855
2020-06-19,0,0.42857142857142855
2020-06-20,1,0.42857142857142855
2020-06-21,0,0.42857142857142855
2020-06-22,0,0.14285714285714285
2020-06-23,0,0.14285714285714285
2020-06-24,0,0.0
2020-06-25,0,0.0
2020-06-26,0,0.0
2020-06-27,0,0.0
2020-06-28,0,0.0
2020-06-29,0,0.0
2020-06-30,0,0.0
2020-07-01,0,0.0
2020-07-02,0,0.0
2020-07-03,0,0.0
2020-07-04,0,0.0
2020-07-05,0,0.0
2020-07-06,0,0.0
2020-07-07,0,0.0
2020-07-08,0,0.0
2020-07-09,0,0.0
2020-07-10,0,0.0
2020-07-11,0,0.0
2020-07-12,0,0.0
2020-07-13,0,0.0
2020-07-14,0,0.0
2020-07-15,0,0.0
2020-07-16,0,0.2857142857142857
2020-07-17,0,0.2857142857142857
2020-07-18,0,0.2857142857142857
2020-07-19,2,0.42857142857142855
2020-07-20,0,0.42857142857142855
2020-07-21,0,0.42857142857142855
2020-07-22,1,0.5714285714285714
2020-07-23,0,0.42857142857142855
2020-07-24,0,0.5714285714285714
2020-07-25,1,0.5714285714285714
2020-07-26,1,0.42857142857142855
2020-07-27,1,0.42857142857142855
2020-07-28,0,0.7142857142857143
2020-07-29,0,0.5714285714285714
2020-07-30,0,0.42857142857142855
2020-07-31,2,0.2857142857142857
2020-08-01,0,0.42857142857142855
2020-08-02,0,0.42857142857142855
2020-08-03,0,0.42857142857142855
2020-08-04,1,0.14285714285714285
2020-08-05,0,0.14285714285714285
2020-08-06,0,0.14285714285714285
2020-08-07,0,0.14285714285714285
2020-08-08,0,0.14285714285714285
2020-08-09,0,0.14285714285714285
2020-08-10,0,0.14285714285714285
2020-08-11,1,0.14285714285714285
2020-08-12,0,0.14285714285714285
2020-08-13,0,0.42857142857142855
2020-08-14,0,0.5714285714285714
2020-08-15,0,0.5714285714285714
2020-08-16,2,0.5714285714285714
2020-08-17,1,0.5714285714285714
2020-08-18,1,0.5714285714285714
2020-08-19,0,0.5714285714285714
2020-08-20,0,0.5714285714285714
2020-08-21,0,0.42857142857142855
2020-08-22,0,0.42857142857142855
2020-08-23,2,0.42857142857142855
2020-08-24,0,0.42857142857142855
2020-08-25,1,0.5714285714285714
2020-08-26,0,0.5714285714285714
2020-08-27,0,0.2857142857142857
2020-08-28,1,0.7142857142857143
2020-08-29,0,0.5714285714285714
2020-08-30,0,0.5714285714285714
2020-08-31,3,0.7142857142857143
2020-09-01,0,0.5714285714285714
2020-09-02,0,1.0
2020-09-03,1,1.1428571428571428
2020-09-04,0,1.0
2020-09-05,3,1.0
2020-09-06,1,1.2857142857142858
2020-09-07,2,1.4285714285714286
2020-09-08,0,1.4285714285714286
2020-09-09,2,1.0
2020-09-10,2,1.1428571428571428
2020-09-11,0,0.8571428571428571
2020-09-12,0,1.2857142857142858
2020-09-13,2,1.1428571428571428
2020-09-14,0,1.0
2020-09-15,3,1.1428571428571428
2020-09-16,1,1.2857142857142858
2020-09-17,1,1.1428571428571428
2020-09-18,1,1.2857142857142858
2020-09-19,1,1.1428571428571428
2020-09-20,1,1.5714285714285714
2020-09-21,1,1.4285714285714286
2020-09-22,2,1.4285714285714286
2020-09-23,4,1.4285714285714286
2020-09-24,0,1.4285714285714286
2020-09-25,1,1.7142857142857142
2020-09-26,1,2.142857142857143
2020-09-27,1,1.5714285714285714
2020-09-28,3,2.5714285714285716
2020-09-29,5,2.4285714285714284
2020-09-30,0,2.857142857142857
2020-10-01,7,3.7142857142857144
2020-10-02,0,4.0
2020-10-03,4,4.0
2020-10-04,7,4.571428571428571
2020-10-05,5,4.428571428571429
2020-10-06,5,4.714285714285714
2020-10-07,4,4.571428571428571
2020-10-08,6,4.428571428571429
2020-10-09,2,4.857142857142857
2020-10-10,3,5.0
2020-10-11,6,5.428571428571429
2020-10-12,8,5.428571428571429
2020-10-13,6,6.857142857142857
2020-10-14,7,7.142857142857143
2020-10-15,6,7.142857142857143
2020-10-16,12,6.714285714285714
2020-10-17,5,7.285714285714286
2020-10-18,6,8.428571428571429
2020-10-19,5,9.0
2020-10-20,10,9.0
2020-10-21,15,9.285714285714286
2020-10-22,10,10.0
2020-10-23,12,10.857142857142858
2020-10-24,7,11.285714285714286
2020-10-25,11,11.285714285714286
2020-10-26,11,12.285714285714286
2020-10-27,13,13.571428571428571
2020-10-28,15,13.571428571428571
2020-10-29,17,14.428571428571429
2020-10-30,21,15.714285714285714
2020-10-31,7,16.0
2020-11-01,17,16.571428571428573
2020-11-02,20,17.428571428571427
2020-11-03,15,16.571428571428573
2020-11-04,19,18.571428571428573
2020-11-05,23,18.857142857142858
2020-11-06,15,19.285714285714285
2020-11-07,21,19.714285714285715
2020-11-08,19,20.714285714285715
2020-11-09,23,19.857142857142858
2020-11-10,18,20.571428571428573
2020-11-11,26,20.428571428571427
2020-11-12,17,20.285714285714285
2020-11-13,20,20.0
2020-11-14,20,20.714285714285715
2020-11-15,18,22.0
2020-11-16,21,22.571428571428573
2020-11-17,23,23.0
2020-11-18,35,23.0
2020-11-19,21,23.142857142857142
2020-11-20,23,21.714285714285715
2020-11-21,20,22.285714285714285
2020-11-22,19,20.428571428571427
2020-11-23,11,19.428571428571427
2020-11-24,27,19.0
2020-11-25,22,18.714285714285715
2020-11-26,14,17.285714285714285
2020-11-27,20,17.428571428571427
2020-11-28,18,15.285714285714286
2020-11-29,9,14.571428571428571
2020-11-30,12,14.714285714285714
2020-12-01,12,13.571428571428571
2020-12-02,17,13.285714285714286
2020-12-03,15,13.285714285714286
