data,0-9 anni,10-19 anni,20-29 anni,30-39 anni,40-49 anni,50-59 anni,60-69 anni,70-79 anni,80-89 anni,≥90 anni
2020-12-20,374.85714285714283,618.1428571428571,877.7142857142857,920.7142857142857,1170.7142857142858,1293.4285714285713,924.1428571428571,654.2857142857143,424.85714285714283,94.71428571428571
2020-12-21,337.2857142857143,540.7142857142857,775.5714285714286,806.1428571428571,1023.5714285714286,1143.7142857142858,823.0,585.8571428571429,382.57142857142856,87.42857142857143
2020-12-22,315.7142857142857,507.57142857142856,730.4285714285714,763.1428571428571,960.2857142857143,1085.5714285714287,787.7142857142857,565.5714285714286,366.57142857142856,84.14285714285714
2020-12-23,313.85714285714283,512.0,734.5714285714286,778.0,975.8571428571429,1103.2857142857142,805.8571428571429,576.2857142857143,368.0,80.57142857142857
2020-12-24,309.14285714285717,527.1428571428571,741.4285714285714,800.2857142857143,1010.5714285714286,1127.5714285714287,826.2857142857143,589.5714285714286,372.57142857142856,81.57142857142857
2020-12-25,323.0,557.5714285714286,779.2857142857143,849.7142857142857,1059.2857142857142,1172.5714285714287,856.7142857142857,620.5714285714286,377.2857142857143,83.14285714285714
2020-12-26,336.85714285714283,593.7142857142857,832.0,902.0,1101.0,1228.5714285714287,897.8571428571429,648.4285714285714,379.0,84.0
2020-12-27,344.42857142857144,623.5714285714286,865.1428571428571,944.2857142857143,1123.2857142857142,1258.7142857142858,920.2857142857143,663.7142857142857,393.42857142857144,86.0
2020-12-28,350.14285714285717,637.2857142857143,878.5714285714286,961.7142857142857,1131.5714285714287,1269.142857142857,926.2857142857143,666.7142857142857,398.0,85.42857142857143
2020-12-29,383.42857142857144,693.0,957.5714285714286,1029.0,1213.142857142857,1358.4285714285713,988.5714285714286,700.5714285714286,428.0,88.71428571428571
2020-12-30,385.7142857142857,702.0,964.0,1031.0,1215.857142857143,1367.4285714285713,993.1428571428571,703.5714285714286,434.2857142857143,90.71428571428571
2020-12-31,398.2857142857143,736.7142857142857,1013.7142857142857,1065.142857142857,1246.142857142857,1394.142857142857,1015.0,725.0,445.85714285714283,88.28571428571429
2021-01-01,391.42857142857144,747.7142857142857,1035.0,1059.7142857142858,1250.857142857143,1405.0,1004.2857142857143,727.7142857142857,448.85714285714283,93.42857142857143
2021-01-02,347.42857142857144,664.8571428571429,907.1428571428571,919.0,1092.7142857142858,1229.142857142857,872.1428571428571,639.2857142857143,407.57142857142856,86.28571428571429
2021-01-03,354.14285714285717,678.2857142857143,938.0,942.2857142857143,1111.5714285714287,1264.5714285714287,900.5714285714286,649.2857142857143,416.2857142857143,85.57142857142857
2021-01-04,404.14285714285717,775.7142857142857,1085.4285714285713,1067.7142857142858,1272.5714285714287,1444.2857142857142,1019.0,736.1428571428571,465.14285714285717,96.42857142857143
2021-01-05,403.2857142857143,784.1428571428571,1088.2857142857142,1063.2857142857142,1261.2857142857142,1442.0,1007.5714285714286,728.0,455.14285714285717,95.0
2021-01-06,399.14285714285717,779.7142857142857,1078.4285714285713,1051.5714285714287,1254.5714285714287,1413.857142857143,987.4285714285714,714.0,441.7142857142857,95.28571428571429
2021-01-07,384.85714285714283,742.0,1028.857142857143,984.2857142857143,1182.5714285714287,1344.2857142857142,941.7142857142857,679.8571428571429,430.7142857142857,94.71428571428571
2021-01-08,374.42857142857144,697.8571428571429,945.5714285714286,910.2857142857143,1086.4285714285713,1230.142857142857,882.7142857142857,636.4285714285714,408.2857142857143,86.42857142857143
2021-01-09,402.85714285714283,736.7142857142857,998.1428571428571,967.8571428571429,1149.2857142857142,1305.857142857143,925.4285714285714,669.2857142857143,430.42857142857144,89.85714285714286
2021-01-10,388.85714285714283,707.8571428571429,925.8571428571429,889.4285714285714,1085.5714285714287,1219.7142857142858,855.0,637.5714285714286,410.0,87.0
2021-01-11,373.2857142857143,676.8571428571429,849.4285714285714,825.0,1013.2857142857143,1134.857142857143,807.8571428571429,594.7142857142857,388.57142857142856,82.28571428571429
2021-01-12,362.42857142857144,644.5714285714286,789.5714285714286,784.4285714285714,967.4285714285714,1082.857142857143,776.2857142857143,573.1428571428571,372.57142857142856,80.42857142857143
2021-01-13,358.85714285714283,635.4285714285714,776.0,765.0,945.7142857142857,1065.2857142857142,760.4285714285714,560.8571428571429,368.2857142857143,77.71428571428571
2021-01-14,358.7142857142857,631.4285714285714,743.4285714285714,744.8571428571429,920.0,1041.4285714285713,740.5714285714286,545.8571428571429,352.2857142857143,77.28571428571429
2021-01-15,354.42857142857144,630.5714285714286,718.7142857142857,720.0,896.2857142857143,1026.0,723.2857142857143,533.8571428571429,346.2857142857143,74.85714285714286
2021-01-16,356.42857142857144,623.4285714285714,697.2857142857143,696.4285714285714,890.4285714285714,1003.4285714285714,717.8571428571429,531.5714285714286,337.7142857142857,71.14285714285714
2021-01-17,359.7142857142857,607.4285714285714,678.1428571428571,690.5714285714286,863.8571428571429,995.4285714285714,704.1428571428571,510.57142857142856,324.2857142857143,70.0
2021-01-18,370.7142857142857,600.7142857142857,661.1428571428571,687.0,858.8571428571429,997.5714285714286,690.7142857142857,502.0,321.85714285714283,66.85714285714286
2021-01-19,385.2857142857143,597.7142857142857,662.2857142857143,684.0,865.7142857142857,986.8571428571429,683.7142857142857,498.0,316.42857142857144,63.57142857142857
2021-01-20,390.7142857142857,593.4285714285714,652.5714285714286,686.5714285714286,864.1428571428571,978.4285714285714,683.0,502.2857142857143,321.14285714285717,61.857142857142854
2021-01-21,409.7142857142857,588.5714285714286,640.7142857142857,686.5714285714286,864.1428571428571,979.0,679.5714285714286,501.14285714285717,323.57142857142856,60.714285714285715
2021-01-22,426.7142857142857,587.5714285714286,644.7142857142857,694.7142857142857,879.5714285714286,979.1428571428571,681.8571428571429,492.42857142857144,317.85714285714283,59.42857142857143
2021-01-23,435.2857142857143,593.7142857142857,640.2857142857143,689.2857142857143,882.5714285714286,977.0,678.2857142857143,480.2857142857143,311.7142857142857,61.285714285714285
2021-01-24,443.2857142857143,588.8571428571429,633.7142857142857,690.1428571428571,894.5714285714286,960.5714285714286,674.2857142857143,476.57142857142856,311.42857142857144,58.42857142857143
2021-01-25,449.2857142857143,599.8571428571429,631.1428571428571,690.2857142857143,902.5714285714286,939.4285714285714,670.2857142857143,466.85714285714283,298.57142857142856,58.142857142857146
2021-01-26,451.7142857142857,616.2857142857143,622.0,682.8571428571429,895.2857142857143,936.5714285714286,669.1428571428571,464.85714285714283,299.42857142857144,57.0
2021-01-27,453.7142857142857,624.1428571428571,625.1428571428571,681.0,896.7142857142857,942.4285714285714,669.4285714285714,455.42857142857144,288.85714285714283,57.142857142857146
2021-01-28,448.2857142857143,626.0,618.4285714285714,674.7142857142857,903.2857142857143,930.8571428571429,664.4285714285714,447.57142857142856,286.14285714285717,52.714285714285715
2021-01-29,453.7142857142857,633.2857142857143,602.2857142857143,662.7142857142857,901.8571428571429,937.8571428571429,652.5714285714286,440.0,282.42857142857144,50.42857142857143
2021-01-30,451.57142857142856,644.7142857142857,603.7142857142857,671.1428571428571,895.4285714285714,939.7142857142857,646.5714285714286,444.85714285714283,278.42857142857144,49.42857142857143
2021-01-31,459.14285714285717,668.7142857142857,611.0,678.7142857142857,910.2857142857143,952.8571428571429,647.8571428571429,448.7142857142857,270.14285714285717,48.714285714285715
2021-02-01,465.14285714285717,673.0,619.4285714285714,686.5714285714286,915.8571428571429,957.8571428571429,652.4285714285714,449.0,274.42857142857144,48.57142857142857
2021-02-02,465.42857142857144,675.5714285714286,629.5714285714286,691.5714285714286,923.2857142857143,976.2857142857143,642.1428571428571,448.57142857142856,269.85714285714283,47.0
2021-02-03,464.14285714285717,676.0,633.7142857142857,689.8571428571429,918.2857142857143,973.4285714285714,637.4285714285714,455.2857142857143,272.57142857142856,46.42857142857143
