data,0-39 anni,40-59 anni,60-79 anni,80-89 anni,≥90 anni
2020-01-28,,,,,
2020-01-29,,,,,
2020-01-30,,,,,
2020-01-31,4.857142857142857,8.0,8.857142857142858,3.2857142857142856,1.1428571428571428
2020-02-01,5.0,8.428571428571429,8.571428571428571,3.857142857142857,1.5714285714285714
2020-02-02,5.142857142857143,9.0,9.142857142857142,4.142857142857143,1.4285714285714286
2020-02-03,4.285714285714286,8.714285714285714,9.714285714285714,4.428571428571429,1.5714285714285714
2020-02-04,3.5714285714285716,7.571428571428571,10.571428571428571,4.571428571428571,1.1428571428571428
2020-02-05,2.4285714285714284,6.142857142857143,8.571428571428571,5.285714285714286,1.1428571428571428
2020-02-06,2.2857142857142856,5.428571428571429,7.0,5.285714285714286,1.0
2020-02-07,2.857142857142857,6.285714285714286,9.142857142857142,6.142857142857143,1.1428571428571428
2020-02-08,2.857142857142857,6.0,9.285714285714286,6.571428571428571,1.0
2020-02-09,2.857142857142857,7.0,10.571428571428571,7.571428571428571,1.0
2020-02-10,3.2857142857142856,8.285714285714286,11.428571428571429,8.0,1.0
2020-02-11,4.0,10.428571428571429,13.0,9.857142857142858,1.0
2020-02-12,6.571428571428571,15.428571428571429,20.714285714285715,12.142857142857142,1.1428571428571428
2020-02-13,7.142857142857143,17.428571428571427,25.285714285714285,13.142857142857142,1.5714285714285714
2020-02-14,8.714285714285714,20.428571428571427,31.285714285714285,14.0,1.7142857142857142
2020-02-15,10.285714285714286,25.857142857142858,40.285714285714285,15.714285714285714,2.142857142857143
2020-02-16,11.285714285714286,28.285714285714285,47.285714285714285,16.714285714285715,2.857142857142857
2020-02-17,16.285714285714285,40.714285714285715,68.85714285714286,24.428571428571427,4.857142857142857
2020-02-18,19.142857142857142,51.42857142857143,84.85714285714286,28.0,5.428571428571429
2020-02-19,23.142857142857142,64.0,97.85714285714286,32.285714285714285,6.0
2020-02-20,30.285714285714285,79.85714285714286,120.57142857142857,40.714285714285715,7.142857142857143
2020-02-21,38.0,102.14285714285714,148.42857142857142,49.714285714285715,8.571428571428571
2020-02-22,45.285714285714285,128.14285714285714,189.28571428571428,63.0,9.571428571428571
2020-02-23,50.0,153.42857142857142,223.85714285714286,75.85714285714286,11.142857142857142
2020-02-24,54.285714285714285,173.14285714285714,248.28571428571428,86.42857142857143,12.857142857142858
2020-02-25,62.714285714285715,212.0,298.2857142857143,104.85714285714286,16.571428571428573
2020-02-26,67.71428571428571,239.28571428571428,334.85714285714283,122.14285714285714,19.428571428571427
2020-02-27,90.14285714285714,314.14285714285717,443.57142857142856,166.57142857142858,25.714285714285715
2020-02-28,108.14285714285714,360.2857142857143,519.1428571428571,191.57142857142858,29.571428571428573
2020-02-29,125.71428571428571,413.14285714285717,586.7142857142857,224.57142857142858,37.42857142857143
2020-03-01,144.14285714285714,462.7142857142857,646.1428571428571,245.57142857142858,42.0
2020-03-02,170.28571428571428,537.5714285714286,731.0,275.42857142857144,47.857142857142854
2020-03-03,196.85714285714286,613.2857142857143,812.2857142857143,304.2857142857143,52.285714285714285
2020-03-04,230.42857142857142,696.0,916.0,340.14285714285717,59.857142857142854
2020-03-05,260.14285714285717,764.1428571428571,967.7142857142857,345.2857142857143,63.0
2020-03-06,303.2857142857143,898.8571428571429,1054.7142857142858,379.2857142857143,73.14285714285714
2020-03-07,374.0,1080.0,1232.4285714285713,429.85714285714283,84.14285714285714
2020-03-08,432.0,1187.7142857142858,1318.4285714285713,457.0,89.28571428571429
2020-03-09,473.85714285714283,1296.7142857142858,1400.7142857142858,488.14285714285717,96.0
2020-03-10,524.4285714285714,1423.5714285714287,1478.5714285714287,519.7142857142857,107.42857142857143
2020-03-11,553.5714285714286,1501.857142857143,1524.2857142857142,536.4285714285714,114.71428571428571
2020-03-12,602.7142857142857,1592.5714285714287,1591.2857142857142,577.8571428571429,125.57142857142857
2020-03-13,628.2857142857143,1629.142857142857,1616.4285714285713,596.2857142857143,128.28571428571428
2020-03-14,606.4285714285714,1562.5714285714287,1525.5714285714287,572.8571428571429,128.71428571428572
2020-03-15,603.7142857142857,1582.0,1535.857142857143,597.4285714285714,140.14285714285714
2020-03-16,601.7142857142857,1540.0,1504.2857142857142,594.5714285714286,144.14285714285714
2020-03-17,620.1428571428571,1532.7142857142858,1530.5714285714287,633.8571428571429,160.71428571428572
2020-03-18,615.1428571428571,1478.857142857143,1474.5714285714287,635.0,167.57142857142858
2020-03-19,576.0,1383.5714285714287,1373.857142857143,609.4285714285714,168.28571428571428
2020-03-20,558.7142857142857,1325.0,1314.7142857142858,607.5714285714286,176.0
2020-03-21,548.2857142857143,1267.7142857142858,1235.857142857143,609.7142857142857,178.0
2020-03-22,539.5714285714286,1209.857142857143,1166.142857142857,604.5714285714286,182.14285714285714
2020-03-23,529.2857142857143,1161.0,1091.4285714285713,594.4285714285714,187.57142857142858
2020-03-24,488.7142857142857,1051.2857142857142,950.8571428571429,546.7142857142857,182.71428571428572
2020-03-25,478.57142857142856,1018.2857142857143,902.7142857142857,536.7142857142857,187.57142857142858
2020-03-26,457.0,955.4285714285714,822.8571428571429,516.0,190.28571428571428
2020-03-27,450.85714285714283,908.0,763.0,508.57142857142856,203.14285714285714
2020-03-28,440.57142857142856,860.1428571428571,713.5714285714286,487.85714285714283,205.0
2020-03-29,450.85714285714283,853.7142857142857,699.7142857142857,502.0,222.28571428571428
2020-03-30,438.2857142857143,816.0,659.5714285714286,501.42857142857144,230.0
2020-03-31,422.14285714285717,777.4285714285714,617.2857142857143,492.0,229.71428571428572
