data,0-5 anni,6-12 anni,13-19 anni,20-29 anni,30-39 anni,40-49 anni,50-59 anni,60-69 anni,70-79 anni,80-89 anni,≥90 anni
2021-05-12,366.2857142857143,584.5714285714286,619.8571428571429,773.7142857142857,851.7142857142857,1077.7142857142858,983.4285714285714,620.4285714285714,361.57142857142856,141.57142857142858,48.714285714285715
2021-05-13,349.57142857142856,568.5714285714286,600.1428571428571,747.4285714285714,823.2857142857143,1045.5714285714287,957.8571428571429,601.8571428571429,345.2857142857143,138.14285714285714,48.285714285714285
2021-05-14,319.85714285714283,538.5714285714286,571.5714285714286,698.4285714285714,776.8571428571429,987.4285714285714,900.2857142857143,562.8571428571429,325.0,130.42857142857142,44.285714285714285
2021-05-15,302.14285714285717,502.85714285714283,538.5714285714286,665.2857142857143,735.2857142857143,923.4285714285714,854.1428571428571,524.0,300.7142857142857,121.0,40.142857142857146
2021-05-16,280.2857142857143,473.0,514.4285714285714,621.1428571428571,689.0,866.4285714285714,802.7142857142857,489.85714285714283,281.2857142857143,111.0,39.0
2021-05-17,253.42857142857142,441.7142857142857,489.7142857142857,596.2857142857143,639.4285714285714,817.0,755.1428571428571,455.42857142857144,262.42857142857144,105.71428571428571,33.857142857142854
2021-05-18,239.85714285714286,420.85714285714283,465.7142857142857,559.2857142857143,595.5714285714286,772.8571428571429,713.1428571428571,428.0,245.0,96.0,31.571428571428573
2021-05-19,225.85714285714286,394.42857142857144,453.2857142857143,535.2857142857143,575.4285714285714,743.5714285714286,690.1428571428571,403.57142857142856,226.42857142857142,95.14285714285714,31.0
2021-05-20,218.57142857142858,381.14285714285717,449.85714285714283,523.1428571428571,565.0,733.1428571428571,671.1428571428571,392.7142857142857,222.85714285714286,90.85714285714286,28.142857142857142
2021-05-21,205.28571428571428,360.14285714285717,430.7142857142857,502.85714285714283,540.0,700.4285714285714,644.8571428571429,362.0,204.71428571428572,83.42857142857143,26.0
2021-05-22,190.28571428571428,337.0,411.2857142857143,474.57142857142856,500.57142857142856,659.1428571428571,606.2857142857143,336.0,189.42857142857142,80.71428571428571,25.714285714285715
2021-05-23,180.57142857142858,317.2857142857143,392.7142857142857,468.57142857142856,465.14285714285717,627.4285714285714,581.8571428571429,309.2857142857143,173.57142857142858,76.28571428571429,22.428571428571427
2021-05-24,173.57142857142858,301.0,382.14285714285717,454.14285714285717,449.85714285714283,599.8571428571429,556.0,294.7142857142857,168.85714285714286,73.71428571428571,22.0
2021-05-25,161.0,280.57142857142856,360.57142857142856,438.14285714285717,445.85714285714283,576.4285714285714,535.1428571428571,274.2857142857143,158.57142857142858,71.14285714285714,21.285714285714285
2021-05-26,153.0,265.85714285714283,348.85714285714283,420.85714285714283,430.57142857142856,553.4285714285714,512.5714285714286,261.2857142857143,154.57142857142858,69.85714285714286,22.0
2021-05-27,151.28571428571428,262.14285714285717,341.7142857142857,421.42857142857144,431.2857142857143,542.0,510.2857142857143,255.71428571428572,151.57142857142858,69.42857142857143,21.857142857142858
2021-05-28,143.85714285714286,246.42857142857142,326.85714285714283,409.57142857142856,416.7142857142857,512.2857142857143,480.14285714285717,248.57142857142858,144.14285714285714,68.14285714285714,20.571428571428573
2021-05-29,139.28571428571428,230.42857142857142,317.2857142857143,396.57142857142856,409.14285714285717,488.7142857142857,452.57142857142856,235.0,136.85714285714286,65.57142857142857,20.428571428571427
2021-05-30,121.0,200.42857142857142,282.7142857142857,345.42857142857144,368.85714285714283,431.14285714285717,393.85714285714283,210.0,118.85714285714286,59.714285714285715,18.428571428571427
2021-05-31,119.57142857142857,191.0,277.14285714285717,333.57142857142856,358.2857142857143,411.7142857142857,380.0,203.71428571428572,111.42857142857143,56.0,17.285714285714285
2021-06-01,118.0,184.14285714285714,269.42857142857144,334.2857142857143,345.14285714285717,408.57142857142856,367.14285714285717,195.14285714285714,105.42857142857143,53.57142857142857,16.428571428571427
2021-06-02,113.57142857142857,179.0,256.0,329.14285714285717,334.85714285714283,392.14285714285717,355.57142857142856,186.71428571428572,98.14285714285714,50.142857142857146,14.0
2021-06-03,113.28571428571429,178.14285714285714,256.57142857142856,327.85714285714283,325.42857142857144,389.14285714285717,345.14285714285717,182.57142857142858,97.14285714285714,50.42857142857143,14.142857142857142
2021-06-04,109.42857142857143,169.57142857142858,242.28571428571428,320.0,308.2857142857143,370.7142857142857,329.42857142857144,170.14285714285714,91.14285714285714,46.857142857142854,14.142857142857142
2021-06-05,100.71428571428571,159.28571428571428,223.42857142857142,305.57142857142856,295.42857142857144,350.0,302.14285714285717,155.0,83.28571428571429,43.42857142857143,12.428571428571429
2021-06-06,105.42857142857143,165.14285714285714,230.57142857142858,320.7142857142857,307.7142857142857,361.85714285714283,316.2857142857143,159.0,88.28571428571429,45.0,14.428571428571429
2021-06-07,96.85714285714286,154.85714285714286,210.28571428571428,307.57142857142856,293.14285714285717,341.14285714285717,291.7142857142857,145.71428571428572,82.42857142857143,43.142857142857146,14.142857142857142
2021-06-08,87.85714285714286,141.42857142857142,195.71428571428572,279.57142857142856,273.14285714285717,305.42857142857144,266.42857142857144,135.57142857142858,76.85714285714286,40.857142857142854,14.571428571428571
2021-06-09,82.57142857142857,128.85714285714286,178.0,261.14285714285717,255.14285714285714,288.0,243.71428571428572,126.71428571428571,73.57142857142857,37.42857142857143,14.0
2021-06-10,79.71428571428571,123.28571428571429,170.0,254.85714285714286,249.85714285714286,276.7142857142857,235.42857142857142,124.0,69.42857142857143,35.285714285714285,13.285714285714286
2021-06-11,74.0,114.85714285714286,161.85714285714286,241.28571428571428,231.57142857142858,258.14285714285717,217.57142857142858,113.85714285714286,68.0,33.42857142857143,12.857142857142858
2021-06-12,69.85714285714286,106.28571428571429,149.57142857142858,228.28571428571428,209.28571428571428,235.0,202.57142857142858,102.42857142857143,64.14285714285714,30.714285714285715,12.714285714285714
2021-06-13,65.0,97.28571428571429,140.85714285714286,219.42857142857142,197.71428571428572,218.14285714285714,185.71428571428572,97.0,59.42857142857143,30.142857142857142,11.0
2021-06-14,60.0,88.14285714285714,132.0,202.28571428571428,181.57142857142858,202.0,171.57142857142858,90.71428571428571,55.857142857142854,29.285714285714285,10.857142857142858
2021-06-15,55.285714285714285,80.57142857142857,124.0,193.14285714285714,164.57142857142858,179.14285714285714,152.14285714285714,81.28571428571429,53.42857142857143,26.857142857142858,10.285714285714286
2021-06-16,51.57142857142857,79.14285714285714,123.71428571428571,188.42857142857142,156.0,168.14285714285714,139.71428571428572,76.71428571428571,51.714285714285715,26.428571428571427,10.714285714285714
2021-06-17,49.0,75.71428571428571,122.42857142857143,181.42857142857142,152.14285714285714,166.0,137.14285714285714,72.28571428571429,51.285714285714285,26.571428571428573,10.571428571428571
2021-06-18,47.285714285714285,66.57142857142857,112.42857142857143,166.0,147.0,156.28571428571428,126.0,68.57142857142857,46.57142857142857,25.714285714285715,9.714285714285714
2021-06-19,44.42857142857143,60.285714285714285,106.85714285714286,159.14285714285714,137.28571428571428,145.0,121.57142857142857,64.28571428571429,43.285714285714285,25.285714285714285,9.0
2021-06-20,41.57142857142857,55.0,100.14285714285714,149.42857142857142,129.57142857142858,136.0,112.71428571428571,59.142857142857146,40.142857142857146,23.142857142857142,8.285714285714286
2021-06-21,39.142857142857146,49.714285714285715,93.71428571428571,150.28571428571428,119.85714285714286,128.71428571428572,105.28571428571429,54.142857142857146,38.142857142857146,21.571428571428573,7.142857142857143
2021-06-22,36.714285714285715,46.714285714285715,90.14285714285714,146.28571428571428,114.42857142857143,124.57142857142857,99.85714285714286,52.42857142857143,34.57142857142857,21.714285714285715,6.857142857142857
2021-06-23,35.714285714285715,44.57142857142857,86.57142857142857,141.85714285714286,110.71428571428571,118.71428571428571,98.42857142857143,51.285714285714285,34.714285714285715,20.285714285714285,6.0
2021-06-24,35.42857142857143,43.42857142857143,84.85714285714286,140.85714285714286,106.85714285714286,116.85714285714286,95.85714285714286,51.42857142857143,34.42857142857143,19.285714285714285,6.285714285714286
2021-06-25,31.571428571428573,42.857142857142854,86.0,143.28571428571428,102.28571428571429,111.28571428571429,97.28571428571429,47.285714285714285,32.285714285714285,19.142857142857142,6.0
2021-06-26,30.428571428571427,39.857142857142854,85.42857142857143,143.0,100.71428571428571,109.0,91.0,48.0,30.285714285714285,18.142857142857142,5.285714285714286
2021-06-27,31.142857142857142,41.57142857142857,88.14285714285714,149.71428571428572,103.57142857142857,109.57142857142857,90.28571428571429,47.0,30.285714285714285,18.285714285714285,5.142857142857143
2021-06-28,29.428571428571427,43.0,100.42857142857143,152.28571428571428,107.85714285714286,110.85714285714286,88.57142857142857,47.42857142857143,29.0,18.142857142857142,5.285714285714286
2021-06-29,29.857142857142858,44.714285714285715,106.71428571428571,163.71428571428572,109.0,110.57142857142857,88.85714285714286,46.0,29.428571428571427,17.285714285714285,4.0
2021-06-30,30.0,45.285714285714285,113.0,177.57142857142858,109.85714285714286,113.28571428571429,88.28571428571429,46.57142857142857,28.428571428571427,17.428571428571427,4.285714285714286
2021-07-01,30.142857142857142,46.857142857142854,118.85714285714286,184.85714285714286,112.42857142857143,113.71428571428571,89.28571428571429,47.42857142857143,28.571428571428573,17.714285714285715,3.4285714285714284
2021-07-02,29.571428571428573,46.57142857142857,132.71428571428572,199.85714285714286,120.0,114.0,92.0,52.857142857142854,28.0,17.571428571428573,3.7142857142857144
2021-07-03,30.142857142857142,50.857142857142854,150.57142857142858,231.14285714285714,133.57142857142858,118.0,96.85714285714286,55.714285714285715,30.714285714285715,18.285714285714285,3.2857142857142856
2021-07-04,29.142857142857142,54.142857142857146,167.14285714285714,246.0,137.0,121.42857142857143,101.71428571428571,56.714285714285715,32.42857142857143,17.285714285714285,3.0
2021-07-05,30.0,56.142857142857146,182.85714285714286,265.7142857142857,149.28571428571428,125.42857142857143,108.14285714285714,58.142857142857146,35.0,18.142857142857142,3.7142857142857144
2021-07-06,30.714285714285715,58.714285714285715,201.42857142857142,284.0,156.71428571428572,134.28571428571428,115.71428571428571,61.142857142857146,38.285714285714285,19.142857142857142,4.142857142857143
2021-07-07,33.57142857142857,64.28571428571429,230.0,299.57142857142856,170.57142857142858,140.14285714285714,120.28571428571429,62.57142857142857,39.285714285714285,19.857142857142858,4.142857142857143
2021-07-08,34.57142857142857,66.57142857142857,243.28571428571428,314.85714285714283,180.42857142857142,144.57142857142858,125.42857142857143,62.42857142857143,39.857142857142854,19.428571428571427,4.714285714285714
2021-07-09,37.42857142857143,71.42857142857143,280.57142857142856,348.7142857142857,193.42857142857142,155.57142857142858,133.0,65.0,43.714285714285715,21.428571428571427,4.857142857142857
2021-07-10,40.714285714285715,82.71428571428571,323.57142857142856,391.42857142857144,210.14285714285714,170.85714285714286,150.42857142857142,72.57142857142857,48.0,25.857142857142858,6.285714285714286
2021-07-11,45.0,88.42857142857143,376.7142857142857,450.14285714285717,233.42857142857142,189.85714285714286,163.57142857142858,83.42857142857143,50.142857142857146,29.285714285714285,7.428571428571429
2021-07-12,53.0,98.28571428571429,440.0,534.2857142857143,256.2857142857143,213.85714285714286,182.0,90.0,54.142857142857146,30.857142857142858,7.571428571428571
2021-07-13,56.857142857142854,107.14285714285714,524.4285714285714,631.5714285714286,296.57142857142856,244.0,203.71428571428572,103.14285714285714,57.57142857142857,34.285714285714285,8.0
2021-07-14,59.714285714285715,113.71428571428571,574.5714285714286,702.0,324.0,263.7142857142857,226.42857142857142,109.71428571428571,60.857142857142854,35.142857142857146,8.285714285714286
2021-07-15,63.57142857142857,120.42857142857143,605.0,731.2857142857143,333.57142857142856,277.2857142857143,241.85714285714286,119.28571428571429,65.0,38.57142857142857,8.714285714285714
2021-07-16,70.0,137.71428571428572,677.0,803.8571428571429,378.57142857142856,315.7142857142857,275.42857142857144,133.71428571428572,74.0,40.714285714285715,10.428571428571429
2021-07-17,77.85714285714286,154.85714285714286,764.1428571428571,881.7142857142857,420.57142857142856,359.57142857142856,314.7142857142857,149.14285714285714,80.14285714285714,43.142857142857146,11.571428571428571
2021-07-18,86.71428571428571,179.57142857142858,836.2857142857143,963.1428571428571,479.7142857142857,402.57142857142856,352.2857142857143,162.85714285714286,90.42857142857143,48.714285714285715,10.857142857142858
2021-07-19,94.42857142857143,192.14285714285714,885.7142857142857,1023.5714285714286,517.8571428571429,434.7142857142857,384.85714285714283,181.71428571428572,94.71428571428571,56.142857142857146,11.714285714285714
2021-07-20,105.28571428571429,208.85714285714286,930.4285714285714,1072.2857142857142,549.2857142857143,465.85714285714283,423.0,197.28571428571428,103.28571428571429,60.142857142857146,14.142857142857142
2021-07-21,111.0,224.14285714285714,962.2857142857143,1102.2857142857142,578.7142857142857,497.0,447.0,207.28571428571428,109.71428571428571,67.14285714285714,16.0
2021-07-22,115.28571428571429,234.57142857142858,970.5714285714286,1108.5714285714287,592.7142857142857,514.5714285714286,453.0,210.42857142857142,111.85714285714286,69.71428571428571,16.0
