data,0-5 anni,6-12 anni,13-19 anni,20-29 anni,30-39 anni,40-49 anni,50-59 anni,60-69 anni,70-79 anni,80-89 anni,≥90 anni
2020-05-06,2.142857142857143,2.5714285714285716,5.571428571428571,15.857142857142858,22.714285714285715,33.285714285714285,34.57142857142857,14.857142857142858,19.0,46.142857142857146,35.142857142857146
2020-05-07,2.142857142857143,2.7142857142857144,5.285714285714286,15.857142857142858,20.857142857142858,32.57142857142857,33.714285714285715,14.142857142857142,19.0,44.142857142857146,34.142857142857146
2020-05-08,2.0,2.857142857142857,6.428571428571429,14.571428571428571,21.428571428571427,31.285714285714285,32.0,12.857142857142858,18.142857142857142,42.285714285714285,28.428571428571427
2020-05-09,2.4285714285714284,2.2857142857142856,5.428571428571429,13.857142857142858,21.0,28.142857142857142,30.857142857142858,11.571428571428571,18.0,40.714285714285715,27.857142857142858
2020-05-10,2.5714285714285716,2.5714285714285716,5.428571428571429,12.571428571428571,18.714285714285715,25.714285714285715,28.428571428571427,11.571428571428571,18.285714285714285,38.714285714285715,26.0
2020-05-11,2.5714285714285716,2.0,5.571428571428571,12.285714285714286,19.142857142857142,23.428571428571427,27.142857142857142,11.571428571428571,18.142857142857142,35.57142857142857,21.857142857142858
2020-05-12,1.8571428571428572,2.142857142857143,4.857142857142857,11.0,16.857142857142858,22.285714285714285,25.285714285714285,10.285714285714286,18.857142857142858,31.285714285714285,20.285714285714285
2020-05-13,1.7142857142857142,2.142857142857143,4.857142857142857,10.571428571428571,16.714285714285715,20.428571428571427,26.285714285714285,10.571428571428571,18.285714285714285,30.428571428571427,20.285714285714285
2020-05-14,2.0,2.4285714285714284,4.714285714285714,10.428571428571429,16.857142857142858,19.142857142857142,24.428571428571427,10.142857142857142,17.285714285714285,29.428571428571427,19.857142857142858
2020-05-15,1.5714285714285714,2.4285714285714284,3.5714285714285716,10.571428571428571,14.714285714285714,17.571428571428573,23.571428571428573,10.285714285714286,16.285714285714285,28.285714285714285,20.571428571428573
2020-05-16,0.8571428571428571,2.2857142857142856,3.857142857142857,9.857142857142858,13.428571428571429,18.0,21.428571428571427,10.714285714285714,14.857142857142858,25.571428571428573,17.428571428571427
