data,ospedalizzati,terapia intensiva,deceduti
2020-05-22,119.28571428571429,11.285714285714286,4.714285714285714
2020-05-23,115.14285714285714,11.0,3.857142857142857
2020-05-24,111.85714285714286,10.714285714285714,3.142857142857143
2020-05-25,106.42857142857143,9.571428571428571,3.142857142857143
2020-05-26,104.28571428571429,9.142857142857142,3.142857142857143
2020-05-27,102.85714285714286,9.285714285714286,2.857142857142857
2020-05-28,97.85714285714286,8.857142857142858,2.7142857142857144
2020-05-29,95.57142857142857,8.0,1.8571428571428572
2020-05-30,88.14285714285714,7.571428571428571,1.8571428571428572
2020-05-31,87.0,6.714285714285714,2.0
2020-06-01,88.0,6.857142857142857,1.7142857142857142
2020-06-02,85.71428571428571,6.428571428571429,1.2857142857142858
2020-06-03,81.42857142857143,5.428571428571429,1.4285714285714286
2020-06-04,79.0,5.714285714285714,1.5714285714285714
2020-06-05,78.42857142857143,5.428571428571429,1.4285714285714286
2020-06-06,80.42857142857143,5.142857142857143,1.5714285714285714
2020-06-07,77.14285714285714,5.714285714285714,1.2857142857142858
2020-06-08,73.42857142857143,5.714285714285714,1.4285714285714286
2020-06-09,71.85714285714286,5.714285714285714,1.5714285714285714
2020-06-10,74.57142857142857,5.571428571428571,1.4285714285714286
2020-06-11,76.57142857142857,5.142857142857143,1.5714285714285714
2020-06-12,72.14285714285714,4.571428571428571,1.4285714285714286
2020-06-13,69.85714285714286,4.285714285714286,1.4285714285714286
2020-06-14,72.42857142857143,3.4285714285714284,1.4285714285714286
2020-06-15,75.28571428571429,3.0,1.1428571428571428
2020-06-16,75.57142857142857,3.5714285714285716,1.1428571428571428
2020-06-17,70.28571428571429,3.7142857142857144,1.2857142857142858
2020-06-18,69.57142857142857,3.857142857142857,0.8571428571428571
2020-06-19,70.85714285714286,4.0,1.2857142857142858
2020-06-20,71.71428571428571,4.142857142857143,1.1428571428571428
2020-06-21,70.85714285714286,4.857142857142857,1.0
2020-06-22,70.0,5.0,0.8571428571428571
2020-06-23,69.85714285714286,4.571428571428571,1.1428571428571428
2020-06-24,71.71428571428571,4.285714285714286,1.0
2020-06-25,69.28571428571429,4.142857142857143,1.1428571428571428
2020-06-26,70.28571428571429,3.4285714285714284,0.8571428571428571
2020-06-27,70.14285714285714,3.7142857142857144,0.8571428571428571
2020-06-28,65.71428571428571,3.7142857142857144,1.0
2020-06-29,66.0,3.5714285714285716,1.1428571428571428
2020-06-30,66.42857142857143,3.0,0.8571428571428571
2020-07-01,65.14285714285714,3.142857142857143,1.0
2020-07-02,67.57142857142857,3.2857142857142856,0.8571428571428571
2020-07-03,65.0,3.2857142857142856,0.7142857142857143
2020-07-04,64.57142857142857,3.0,0.7142857142857143
2020-07-05,66.71428571428571,2.5714285714285716,0.5714285714285714
2020-07-06,65.28571428571429,2.4285714285714284,0.42857142857142855
2020-07-07,63.0,3.142857142857143,0.2857142857142857
2020-07-08,65.57142857142857,3.0,0.14285714285714285
2020-07-09,64.71428571428571,3.0,0.14285714285714285
2020-07-10,64.28571428571429,3.4285714285714284,0.5714285714285714
2020-07-11,65.57142857142857,3.0,0.42857142857142855
2020-07-12,65.0,2.857142857142857,0.42857142857142855
2020-07-13,63.714285714285715,3.0,0.8571428571428571
2020-07-14,66.57142857142857,2.857142857142857,0.8571428571428571
2020-07-15,66.14285714285714,3.0,0.8571428571428571
