età,tutti,maschi,femmine
0.0,1.686852670287777e-05,9.40043994058922e-06,2.4725790978053388e-05
1.0,2.2894559108027977e-06,4.4520227765485245e-06,0.0
2.0,2.186681361165414e-06,0.0,4.5012400916452486e-06
3.0,8.480037990570198e-06,8.26081030288261e-06,8.711218743058248e-06
4.0,0.0,0.0,0.0
5.0,4.006859743881525e-06,0.0,8.252595441266279e-06
6.0,3.94251031459261e-06,0.0,8.114972936565256e-06
7.0,3.7773408653510186e-06,7.3447053855052235e-06,0.0
8.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0
10.0,7.107775195286123e-06,6.906172737192502e-06,7.321501786446436e-06
11.0,7.025715876537095e-06,1.0254447011854141e-05,3.612964762754669e-06
12.0,3.5209717882135467e-06,0.0,7.262586061644831e-06
13.0,5.271824033542859e-06,6.813288638159867e-06,3.629513754042371e-06
14.0,3.5343744422315333e-06,3.423344470614011e-06,3.652847942898681e-06
15.0,5.2428304293878125e-06,3.395516559934263e-06,7.20191282804713e-06
16.0,1.7605447829776445e-06,0.0,3.633258851526877e-06
17.0,5.306081299777675e-06,6.853845178491263e-06,3.655211234657251e-06
18.0,8.70008543483897e-06,1.0067114093959732e-05,7.227861962292244e-06
19.0,1.6927806291727044e-06,3.2427419328687563e-06,0.0
20.0,1.191574546605885e-05,1.622381071355564e-05,7.161553913968253e-06
21.0,1.1804046089741103e-05,9.579094583979923e-06,1.4294137616809906e-05
22.0,1.522845216320163e-05,1.9356711939865147e-05,1.067505488757388e-05
23.0,5.060882415457959e-06,6.458112681150061e-06,3.5323956000480407e-06
24.0,8.451199394218028e-06,9.740544366556166e-06,7.051166791824877e-06
25.0,1.6705088369917476e-05,2.9090626999980606e-05,3.457312561799462e-06
26.0,1.638468621687426e-05,1.912301837722066e-05,1.3487631841601251e-05
27.0,2.0416432401192318e-05,2.143064888943316e-05,1.9348160473642968e-05
28.0,2.5196334563229413e-05,2.1565667457407806e-05,2.8992697061751222e-05
29.0,3.0874060077833505e-05,4.530585985991428e-05,1.578731331502005e-05
30.0,2.319281579337984e-05,2.133925141906022e-05,2.5100559114954286e-05
31.0,3.0227415964005194e-05,3.874894558157696e-05,2.1461990814267932e-05
32.0,4.467758956701253e-05,4.8788371291702625e-05,4.047977879357804e-05
33.0,4.138552610200459e-05,5.1654618986414835e-05,3.0931693541153075e-05
34.0,4.1633149503152967e-05,4.43569134685332e-05,3.88785046728972e-05
35.0,4.379472536327725e-05,6.675238059305136e-05,2.0560599429590227e-05
36.0,5.3086324102052e-05,5.422807758610848e-05,5.1932165051961014e-05
37.0,6.798228575868232e-05,8.299306178003519e-05,5.28806011689396e-05
38.0,7.165564501793458e-05,0.00010192837465564738,4.135729115257256e-05
39.0,8.470816021943447e-05,0.00012045741696468724,4.86284087163721e-05
40.0,8.476001830816395e-05,0.0001304903828587833,3.909293955449686e-05
41.0,7.678094643662104e-05,0.0001163709112337545,3.7164497498829315e-05
42.0,0.00010081540459382194,0.00013236235518355048,6.943114345910745e-05
43.0,0.0001219141908118105,0.00016383455940041167,8.025682182985554e-05
44.0,0.00011203484942845751,0.0001544377693008602,6.999523157484896e-05
45.0,0.00014147093880748446,0.00017820849545356184,0.00010507888271725584
46.0,0.00020183049637554918,0.0002803656310259884,0.00012443660798461205
47.0,0.00017992102413993017,0.00021801479537300638,0.0001422677479015507
48.0,0.0002406982123729301,0.0003579022716267711,0.0001258463684038967
49.0,0.00024393706003270017,0.00035474551788597163,0.00013533067530006974
50.0,0.00030522623101938393,0.0004167539223593663,0.00019634594130673284
51.0,0.00035707614493989045,0.0005020384854335625,0.00021591672947263358
52.0,0.0003578303143971176,0.00048297159248905994,0.00023672757512053884
53.0,0.00042821531073647937,0.0006263747167876693,0.00023537506110698703
54.0,0.0005234879429070963,0.0007534731375410207,0.0003002301092515203
55.0,0.0005352610811667883,0.0008052869553784746,0.00027414241102290875
56.0,0.0006843963031821734,0.000994673753625266,0.0003878501717923315
57.0,0.0007582618717119186,0.0011006246044630327,0.00043321802622384094
58.0,0.0008546530667667755,0.00126154655741094,0.00047036792978205546
59.0,0.0009732825102902505,0.0014816580946217515,0.0004947082252113389
60.0,0.0011362273617600137,0.001663448165454309,0.0006411957713960922
61.0,0.0013958551104935536,0.0021587569355667724,0.0006863653522770171
62.0,0.0014906924967620205,0.0022470288987688097,0.0007886533124679144
63.0,0.0017006019235755814,0.002593120973063853,0.0008744493503728449
64.0,0.0018701446873091174,0.002792621864966208,0.0010207720654741292
65.0,0.0020861203096559137,0.003171842079580226,0.0010938967382465123
66.0,0.002426862469141499,0.003645918078329989,0.0013080390475927104
67.0,0.0026946204720515905,0.004019740015584223,0.0014911625451420676
68.0,0.002885945076533186,0.004299234198908319,0.0016078033563248272
69.0,0.003170699396962349,0.004637973637101358,0.0018497185746221894
70.0,0.003571325669173366,0.005389290918069366,0.0019421878158445375
71.0,0.004048307014700502,0.0059894954375618046,0.0023277113113123623
72.0,0.0046053774385315625,0.006823555354102096,0.00264821205152664
73.0,0.005161962561622107,0.00760585622840664,0.003037963696333829
74.0,0.007045240563390997,0.010154063068151366,0.004382340685495547
75.0,0.006428374756266822,0.00946875882706927,0.003863870223683211
76.0,0.007035113375949825,0.010489685768951198,0.004195765778757477
77.0,0.007851898152971182,0.011486515641855448,0.004912838978911081
78.0,0.008595467382205915,0.01259477077871466,0.005432422208834779
79.0,0.008707924429474542,0.012707274393800516,0.005609636438752324
80.0,0.01001741166809863,0.014689012249634092,0.006457512049221782
81.0,0.0110960149512727,0.01581155826816708,0.007615669133664847
82.0,0.013462545835515977,0.019076590353023417,0.009446567122195916
83.0,0.014971980027180138,0.02118208056217844,0.010734134290142751
84.0,0.015614750103404578,0.021513775435902188,0.011714972145761036
85.0,0.017303932817633337,0.02361878972507428,0.013330998712803816
