data,0-39 anni,40-59 anni,60-79 anni,80-89 anni,≥90 anni
2020-07-17,106.71428571428571,72.14285714285714,31.285714285714285,14.142857142857142,5.428571428571429
2020-07-18,111.0,74.0,32.142857142857146,13.571428571428571,4.857142857142857
2020-07-19,114.0,73.42857142857143,35.0,13.0,5.571428571428571
2020-07-20,114.57142857142857,71.71428571428571,37.142857142857146,13.428571428571429,6.0
2020-07-21,112.57142857142857,76.71428571428571,37.714285714285715,13.142857142857142,5.714285714285714
2020-07-22,116.71428571428571,75.57142857142857,39.0,12.714285714285714,5.714285714285714
2020-07-23,116.14285714285714,73.28571428571429,39.57142857142857,12.571428571428571,5.571428571428571
2020-07-24,120.42857142857143,73.0,37.857142857142854,12.142857142857142,4.714285714285714
2020-07-25,122.71428571428571,75.42857142857143,38.57142857142857,11.714285714285714,5.0
2020-07-26,142.42857142857142,81.0,38.42857142857143,13.428571428571429,5.142857142857143
2020-07-27,145.0,83.42857142857143,38.285714285714285,13.142857142857142,4.714285714285714
2020-07-28,149.0,82.0,37.57142857142857,12.142857142857142,4.714285714285714
2020-07-29,148.14285714285714,81.57142857142857,37.714285714285715,12.428571428571429,5.142857142857143
2020-07-30,147.57142857142858,83.0,38.285714285714285,12.571428571428571,5.428571428571429
2020-07-31,155.71428571428572,84.85714285714286,40.285714285714285,13.142857142857142,5.857142857142857
2020-08-01,165.85714285714286,85.14285714285714,40.142857142857146,13.142857142857142,5.857142857142857
2020-08-02,171.0,87.0,40.714285714285715,11.857142857142858,5.285714285714286
2020-08-03,181.0,88.85714285714286,41.0,12.428571428571429,6.142857142857143
2020-08-04,201.0,91.0,43.42857142857143,12.0,6.857142857142857
2020-08-05,217.28571428571428,95.14285714285714,43.142857142857146,12.285714285714286,6.285714285714286
2020-08-06,226.14285714285714,96.0,44.142857142857146,12.428571428571429,6.285714285714286
2020-08-07,238.28571428571428,96.85714285714286,42.285714285714285,11.714285714285714,6.0
2020-08-08,252.85714285714286,101.28571428571429,42.42857142857143,11.428571428571429,6.142857142857143
2020-08-09,264.42857142857144,102.28571428571429,44.0,13.285714285714286,6.285714285714286
2020-08-10,279.42857142857144,106.14285714285714,46.0,13.0,5.571428571428571
2020-08-11,290.42857142857144,111.0,45.714285714285715,13.714285714285714,5.142857142857143
2020-08-12,286.57142857142856,108.85714285714286,46.0,13.857142857142858,5.428571428571429
2020-08-13,295.85714285714283,110.42857142857143,45.714285714285715,14.142857142857142,5.142857142857143
2020-08-14,315.7142857142857,115.28571428571429,49.57142857142857,15.285714285714286,4.714285714285714
2020-08-15,354.42857142857144,123.42857142857143,50.714285714285715,16.714285714285715,5.142857142857143
2020-08-16,397.85714285714283,135.0,51.714285714285715,14.571428571428571,5.285714285714286
2020-08-17,456.7142857142857,151.28571428571428,55.142857142857146,15.285714285714286,5.714285714285714
2020-08-18,526.7142857142857,170.71428571428572,60.714285714285715,18.857142857142858,6.714285714285714
2020-08-19,595.0,190.14285714285714,67.28571428571429,18.857142857142858,7.142857142857143
2020-08-20,636.8571428571429,199.71428571428572,70.85714285714286,19.0,7.142857142857143
2020-08-21,726.2857142857143,229.0,74.57142857142857,19.714285714285715,9.571428571428571
2020-08-22,781.8571428571429,253.85714285714286,86.14285714285714,20.428571428571427,10.428571428571429
2020-08-23,821.1428571428571,274.7142857142857,94.0,23.285714285714285,10.428571428571429
2020-08-24,843.1428571428571,294.85714285714283,99.28571428571429,28.0,11.142857142857142
2020-08-25,831.7142857142857,308.7142857142857,108.57142857142857,29.285714285714285,10.571428571428571
2020-08-26,818.8571428571429,318.0,116.71428571428571,32.142857142857146,11.857142857142858
2020-08-27,793.7142857142857,324.2857142857143,118.71428571428571,31.285714285714285,12.0
2020-08-28,747.5714285714286,326.42857142857144,132.71428571428572,32.42857142857143,10.0
2020-08-29,710.0,334.42857142857144,138.28571428571428,33.142857142857146,9.0
2020-08-30,682.8571428571429,360.0,144.42857142857142,33.285714285714285,9.857142857142858
2020-08-31,668.0,375.14285714285717,154.71428571428572,32.42857142857143,9.428571428571429
2020-09-01,667.1428571428571,396.0,165.85714285714286,30.714285714285715,11.0
2020-09-02,658.0,411.0,171.28571428571428,31.285714285714285,10.714285714285714
2020-09-03,649.1428571428571,413.0,175.71428571428572,33.42857142857143,10.714285714285714
2020-09-04,650.7142857142857,428.14285714285717,178.0,37.857142857142854,11.428571428571429
2020-09-05,656.4285714285714,443.0,181.42857142857142,40.285714285714285,12.142857142857142
2020-09-06,650.1428571428571,440.2857142857143,190.42857142857142,45.0,13.142857142857142
2020-09-07,649.1428571428571,442.85714285714283,195.71428571428572,46.857142857142854,14.714285714285714
2020-09-08,646.5714285714286,438.0,194.71428571428572,51.714285714285715,14.857142857142858
2020-09-09,651.1428571428571,438.7142857142857,200.42857142857142,51.142857142857146,15.428571428571429
2020-09-10,653.2857142857143,439.85714285714283,200.71428571428572,51.57142857142857,15.285714285714286
2020-09-11,653.8571428571429,440.42857142857144,209.28571428571428,47.714285714285715,16.142857142857142
2020-09-12,656.4285714285714,451.57142857142856,218.85714285714286,51.0,17.571428571428573
2020-09-13,649.0,447.7142857142857,224.28571428571428,49.42857142857143,17.0
2020-09-14,657.0,449.0,229.28571428571428,48.142857142857146,15.285714285714286
2020-09-15,670.5714285714286,462.14285714285717,233.28571428571428,50.57142857142857,16.285714285714285
2020-09-16,672.8571428571429,466.0,236.0,54.57142857142857,17.571428571428573
2020-09-17,674.1428571428571,468.2857142857143,238.0,56.714285714285715,17.571428571428573
2020-09-18,691.0,486.85714285714283,246.42857142857142,61.0,18.0
2020-09-19,700.4285714285714,493.57142857142856,250.57142857142858,60.285714285714285,17.142857142857142
2020-09-20,727.0,517.8571428571429,259.0,63.285714285714285,19.142857142857142
2020-09-21,729.1428571428571,535.1428571428571,266.7142857142857,65.28571428571429,21.714285714285715
2020-09-22,747.2857142857143,544.7142857142857,272.42857142857144,61.42857142857143,21.142857142857142
2020-09-23,758.0,549.4285714285714,278.0,60.285714285714285,20.142857142857142
2020-09-24,774.2857142857143,556.2857142857143,283.7142857142857,61.57142857142857,21.571428571428573
2020-09-25,796.0,562.2857142857143,288.2857142857143,61.285714285714285,23.0
2020-09-26,835.2857142857143,566.2857142857143,292.42857142857144,62.714285714285715,25.285714285714285
2020-09-27,882.8571428571429,582.8571428571429,300.0,65.42857142857143,26.142857142857142
2020-09-28,962.1428571428571,619.8571428571429,317.0,72.71428571428571,27.714285714285715
2020-09-29,1034.5714285714287,669.7142857142857,341.85714285714283,85.14285714285714,30.714285714285715
2020-09-30,1114.4285714285713,711.4285714285714,355.0,94.57142857142857,31.142857142857142
2020-10-01,1165.5714285714287,749.0,373.57142857142856,102.85714285714286,34.57142857142857
2020-10-02,1308.5714285714287,854.4285714285714,419.0,126.42857142857143,44.857142857142854
2020-10-03,1465.0,978.1428571428571,471.7142857142857,144.85714285714286,49.57142857142857
2020-10-04,1657.2857142857142,1102.0,532.1428571428571,160.71428571428572,55.0
2020-10-05,1869.142857142857,1238.5714285714287,592.1428571428571,182.57142857142858,62.0
2020-10-06,2121.285714285714,1393.4285714285713,666.1428571428571,203.42857142857142,69.14285714285714
2020-10-07,2342.1428571428573,1553.2857142857142,739.8571428571429,229.14285714285714,77.14285714285714
2020-10-08,2446.714285714286,1618.4285714285713,776.1428571428571,238.28571428571428,81.71428571428571
2020-10-09,2778.285714285714,1834.4285714285713,887.7142857142857,259.14285714285717,85.14285714285714
2020-10-10,3123.285714285714,2079.1428571428573,1011.0,298.57142857142856,100.42857142857143
2020-10-11,3521.8571428571427,2347.8571428571427,1133.2857142857142,329.2857142857143,108.0
2020-10-12,3901.0,2623.8571428571427,1259.0,361.0,123.57142857142857
2020-10-13,4332.142857142857,2944.0,1405.0,395.7142857142857,139.28571428571428
2020-10-14,4713.285714285715,3198.5714285714284,1528.4285714285713,423.2857142857143,153.28571428571428
2020-10-15,4891.142857142857,3324.5714285714284,1606.0,451.42857142857144,158.14285714285714
2020-10-16,5411.142857142857,3715.714285714286,1773.5714285714287,502.7142857142857,176.57142857142858
2020-10-17,6008.285714285715,4162.142857142857,1973.5714285714287,545.0,192.85714285714286
2020-10-18,6669.285714285715,4717.285714285715,2242.0,629.1428571428571,226.42857142857142
2020-10-19,7423.0,5309.285714285715,2509.0,702.7142857142857,251.57142857142858
2020-10-20,8164.714285714285,5934.0,2796.4285714285716,788.7142857142857,280.14285714285717
2020-10-21,8649.42857142857,6350.428571428572,2997.4285714285716,845.5714285714286,296.85714285714283
2020-10-22,8888.57142857143,6594.0,3113.8571428571427,889.2857142857143,313.0
2020-10-23,9460.0,7173.285714285715,3382.4285714285716,985.2857142857143,348.42857142857144
2020-10-24,10097.42857142857,7808.857142857143,3663.5714285714284,1090.2857142857142,379.2857142857143
2020-10-25,10694.857142857143,8413.142857142857,3959.5714285714284,1166.142857142857,404.85714285714283
2020-10-26,11121.42857142857,8915.42857142857,4235.714285714285,1223.4285714285713,421.14285714285717
2020-10-27,11576.714285714286,9437.0,4490.0,1297.0,432.7142857142857
2020-10-28,11798.142857142857,9715.285714285714,4677.0,1362.5714285714287,457.57142857142856
2020-10-29,11895.0,9840.57142857143,4770.714285714285,1385.142857142857,464.57142857142856
2020-10-30,12143.57142857143,10238.714285714286,4991.142857142857,1450.4285714285713,479.0
2020-10-31,12381.857142857143,10593.57142857143,5240.0,1501.857142857143,498.7142857142857
2020-11-01,12658.0,11022.714285714286,5502.857142857143,1584.857142857143,518.8571428571429
2020-11-02,12864.714285714286,11426.714285714286,5751.857142857143,1686.0,546.1428571428571
2020-11-03,13041.57142857143,11824.142857142857,5999.142857142857,1756.2857142857142,580.0
2020-11-04,13187.0,12082.142857142857,6152.571428571428,1820.7142857142858,592.5714285714286
2020-11-05,13236.42857142857,12190.714285714286,6231.714285714285,1856.2857142857142,606.8571428571429
2020-11-06,13271.57142857143,12381.714285714286,6393.285714285715,1895.5714285714287,619.8571428571429
2020-11-07,13241.142857142857,12545.142857142857,6533.571428571428,1951.857142857143,645.8571428571429
2020-11-08,12946.857142857143,12475.714285714286,6522.857142857143,1992.857142857143,665.8571428571429
2020-11-09,12751.285714285714,12391.42857142857,6555.714285714285,2017.5714285714287,683.0
2020-11-10,12477.857142857143,12223.0,6573.857142857143,2060.714285714286,711.5714285714286
2020-11-11,12325.42857142857,12156.714285714286,6601.571428571428,2046.0,707.1428571428571
2020-11-12,12224.285714285714,12075.285714285714,6596.0,2055.1428571428573,713.5714285714286
2020-11-13,12032.57142857143,11942.142857142857,6610.571428571428,2106.4285714285716,754.8571428571429
2020-11-14,11828.142857142857,11842.142857142857,6605.285714285715,2128.4285714285716,750.7142857142857
2020-11-15,11643.57142857143,11686.42857142857,6594.142857142857,2126.0,752.5714285714286
2020-11-16,11424.0,11521.285714285714,6540.428571428572,2110.285714285714,747.0
2020-11-17,11035.714285714286,11156.142857142857,6389.714285714285,2082.5714285714284,731.1428571428571
2020-11-18,10735.285714285714,10863.0,6217.428571428572,2048.714285714286,721.5714285714286
2020-11-19,10588.57142857143,10703.0,6096.142857142857,2009.2857142857142,699.7142857142857
2020-11-20,10193.0,10265.714285714286,5862.857142857143,1935.5714285714287,661.2857142857143
2020-11-21,9690.857142857143,9736.857142857143,5609.714285714285,1875.142857142857,652.5714285714286
2020-11-22,9217.57142857143,9200.42857142857,5366.428571428572,1807.142857142857,649.5714285714286
2020-11-23,8743.57142857143,8725.0,5112.0,1768.5714285714287,649.8571428571429
2020-11-24,8380.714285714286,8281.57142857143,4852.0,1685.2857142857142,623.4285714285714
2020-11-25,8154.0,8011.714285714285,4715.714285714285,1669.2857142857142,626.7142857142857
2020-11-26,8024.0,7867.857142857143,4639.857142857143,1652.142857142857,630.8571428571429
2020-11-27,7736.0,7546.428571428572,4469.714285714285,1609.7142857142858,628.1428571428571
2020-11-28,7474.857142857143,7233.142857142857,4295.714285714285,1574.857142857143,625.1428571428571
2020-11-29,7199.142857142857,6913.0,4113.428571428572,1537.0,606.7142857142857
2020-11-30,6924.714285714285,6573.571428571428,3914.1428571428573,1467.4285714285713,575.5714285714286
2020-12-01,6724.571428571428,6364.142857142857,3801.4285714285716,1444.2857142857142,566.5714285714286
2020-12-02,6574.714285714285,6218.428571428572,3736.5714285714284,1411.7142857142858,565.7142857142857
2020-12-03,6480.285714285715,6143.142857142857,3687.1428571428573,1386.142857142857,557.7142857142857
2020-12-04,6332.0,6009.142857142857,3579.714285714286,1356.4285714285713,543.2857142857143
2020-12-05,5574.0,5239.0,3140.1428571428573,1194.0,470.14285714285717
2020-12-06,5510.571428571428,5221.857142857143,3080.4285714285716,1171.857142857143,456.14285714285717
2020-12-07,5528.285714285715,5256.857142857143,3090.1428571428573,1178.2857142857142,466.14285714285717
2020-12-08,5506.857142857143,5212.0,3072.714285714286,1167.142857142857,468.57142857142856
2020-12-09,5470.142857142857,5194.428571428572,3030.8571428571427,1135.7142857142858,449.57142857142856
2020-12-10,5433.571428571428,5171.428571428572,3019.285714285714,1132.5714285714287,444.57142857142856
2020-12-11,5394.857142857143,5093.142857142857,2995.8571428571427,1107.5714285714287,436.0
2020-12-12,5957.428571428572,5629.0,3289.1428571428573,1217.5714285714287,490.0
2020-12-13,5825.428571428572,5440.285714285715,3211.0,1175.2857142857142,472.42857142857144
2020-12-14,5662.571428571428,5212.857142857143,3106.5714285714284,1126.142857142857,445.57142857142856
2020-12-15,5514.0,5093.285714285715,3046.1428571428573,1086.857142857143,423.42857142857144
2020-12-16,5441.428571428572,5022.285714285715,3004.1428571428573,1088.5714285714287,426.42857142857144
2020-12-17,5513.857142857143,5043.571428571428,3017.1428571428573,1088.142857142857,427.42857142857144
2020-12-18,5488.285714285715,5019.0,2987.5714285714284,1060.7142857142858,411.2857142857143
2020-12-19,5567.428571428572,5084.428571428572,3041.0,1036.857142857143,389.57142857142856
2020-12-20,5677.857142857143,5187.428571428572,3123.1428571428573,1053.5714285714287,387.2857142857143
2020-12-21,5645.142857142857,5172.857142857143,3101.4285714285716,1033.857142857143,382.2857142857143
2020-12-22,4986.714285714285,4562.285714285715,2756.285714285714,924.7142857142857,339.0
2020-12-23,4709.142857142857,4327.285714285715,2636.1428571428573,874.1428571428571,317.42857142857144
2020-12-24,4766.428571428572,4406.285714285715,2676.1428571428573,882.4285714285714,314.57142857142856
2020-12-25,4877.428571428572,4499.571428571428,2730.1428571428573,891.5714285714286,316.42857142857144
2020-12-26,5147.142857142857,4698.571428571428,2862.1428571428573,916.1428571428571,322.85714285714283
2020-12-27,5444.142857142857,4906.142857142857,3006.8571428571427,935.8571428571429,324.14285714285717
2020-12-28,5634.142857142857,5032.0,3102.285714285714,972.1428571428571,327.2857142857143
2020-12-29,5719.857142857143,5085.857142857143,3124.4285714285716,988.2857142857143,334.14285714285717
2020-12-30,6204.857142857143,5458.571428571428,3334.4285714285716,1067.2857142857142,358.7142857142857
2020-12-31,6242.571428571428,5482.857142857143,3356.285714285714,1077.4285714285713,360.0
2021-01-01,6488.0,5617.714285714285,3463.4285714285716,1108.857142857143,363.7142857142857
2021-01-02,6535.0,5627.571428571428,3460.714285714286,1130.857142857143,379.42857142857144
2021-01-03,5743.142857142857,4916.285714285715,3021.5714285714284,1018.2857142857143,341.85714285714283
2021-01-04,5913.857142857143,5004.714285714285,3075.5714285714284,1037.142857142857,346.57142857142856
2021-01-05,6771.0,5720.571428571428,3497.4285714285716,1157.5714285714287,385.2857142857143
2021-01-06,6758.428571428572,5691.0,3468.8571428571427,1144.0,370.2857142857143
2021-01-07,6698.285714285715,5617.571428571428,3414.0,1127.142857142857,370.0
2021-01-08,6354.285714285715,5323.714285714285,3252.5714285714284,1094.7142857142858,367.2857142857143
2021-01-09,5899.428571428572,4921.0,3031.5714285714284,1032.142857142857,335.42857142857144
2021-01-10,6255.714285714285,5226.714285714285,3185.5714285714284,1090.4285714285713,360.2857142857143
2021-01-11,5845.571428571428,4902.142857142857,3001.714285714286,1047.4285714285713,352.14285714285717
2021-01-12,5475.0,4579.571428571428,2818.8571428571427,990.7142857142857,332.7142857142857
2021-01-13,5201.714285714285,4358.714285714285,2697.4285714285716,946.4285714285714,333.0
2021-01-14,5099.428571428572,4264.0,2638.5714285714284,922.0,325.85714285714283
2021-01-15,4985.285714285715,4152.857142857143,2562.8571428571427,881.7142857142857,315.0
2021-01-16,4887.428571428572,4074.285714285714,2497.0,856.4285714285714,312.85714285714283
2021-01-17,4779.571428571428,3993.714285714286,2473.8571428571427,830.7142857142857,307.7142857142857
2021-01-18,4707.0,3925.0,2407.0,799.4285714285714,296.85714285714283
2021-01-19,4670.857142857143,3910.1428571428573,2373.1428571428573,793.8571428571429,294.42857142857144
2021-01-20,4661.714285714285,3895.0,2352.4285714285716,786.8571428571429,289.0
2021-01-21,4652.285714285715,3887.285714285714,2354.0,791.1428571428571,287.0
2021-01-22,4642.142857142857,3887.714285714286,2340.1428571428573,791.7142857142857,279.42857142857144
2021-01-23,4688.571428571428,3875.1428571428573,2331.1428571428573,780.0,276.2857142857143
2021-01-24,4685.428571428572,3877.5714285714284,2304.0,767.0,261.7142857142857
2021-01-25,4674.714285714285,3854.4285714285716,2272.1428571428573,759.1428571428571,252.57142857142858
2021-01-26,4699.571428571428,3810.5714285714284,2232.5714285714284,730.7142857142857,240.42857142857142
2021-01-27,4717.857142857143,3788.285714285714,2228.0,723.2857142857143,224.71428571428572
