data,rt_positivi,rt_positivi_err68perc,rt_sintomatici,rt_sintomatici_err68perc
2021-07-21,2.8064063348329946,1.0957698318731295,2.4990419428692636,0.835361419107112
2021-07-22,2.6851283289272643,0.9941521361747936,2.440366784780952,0.7914157567686689
2021-07-23,2.5437379327144063,0.8808954215324728,2.3521893484984764,0.7272531385973564
2021-07-24,2.3766663268225776,0.7519604655830429,2.229471589762643,0.639632022142926
2021-07-25,2.1969681518785102,0.6180613672610311,2.0883199440786786,0.5411998841550812
2021-07-26,2.0536456947346915,0.5203915257991802,1.962361580834283,0.45916915127880975
2021-07-27,1.8999836188273396,0.420142588568323,1.8255469790131278,0.3735977507451664
2021-07-28,1.7715382492950609,0.3456954926061211,1.7074139318362787,0.3078656790984771
2021-07-29,1.641007101327736,0.27416425314009324,1.5885236572368346,0.24596148789337494
2021-07-30,1.5259754831131151,0.21678999923567815,1.4813025783626825,0.19491093975625548
2021-07-31,1.418504743632748,0.1682538483564125,1.379711604806911,0.1513716903803108
2021-08-01,1.3184862014266265,0.12563539837439247,1.2857602942605149,0.11314755030472333
2021-08-02,1.2363214396816504,0.09017481624968215,1.208718836523273,0.08089120530648812
2021-08-03,1.1723373125705878,0.06627393407246739,1.1474506658765973,0.058820648868619055
2021-08-04,1.1207572456857258,0.047378654384548934,1.0978322974588248,0.041362853174389744
2021-08-05,1.078877587845844,0.03324840121996465,1.0561076183819809,0.028234420010238334
2021-08-06,1.0465203543711525,0.021188283886760965,1.0247923278512745,0.01711600787835869
2021-08-07,1.0234995048521338,0.011171890363302673,1.003746950809786,0.008809993716826812
2021-08-08,1.0051122810165156,0.0066243915453520485,0.9879566990309391,0.007442116905910748
2021-08-09,0.9881709423168794,0.009405259117514003,0.9746476416755127,0.010986766489376418
2021-08-10,0.9761031082586752,0.012813121328925958,0.9661834679523497,0.013787250556566223
2021-08-11,0.9668333621343046,0.014274694303523471,0.9605983958013675,0.014854351183146578
2021-08-12,0.9571279492597464,0.016281386553408425,0.9524344242875847,0.016653700712410555
2021-08-13,0.9480633888392986,0.01802635209952578,0.9447858109393614,0.018219299351256595
2021-08-14,0.9382285763791197,0.019238696906487586,0.9361527392337705,0.0192549897289595
2021-08-15,0.93133552807417,0.01992257359443684,0.9304870414183865,0.019880815898465885
2021-08-16,0.9241702796872766,0.021720562864404505,0.9242352533691313,0.021598668599710137
2021-08-17,0.9152592623017308,0.02354333241652882,0.9169293116316091,0.023163144235195148
2021-08-18,0.9073624620059507,0.02538135240859866,0.9107153184182107,0.024634032958731716
2021-08-19,0.9042558303070852,0.025978317615349144,0.9092244310645664,0.02489964782784363
2021-08-20,0.9078155177865395,0.025198311516937293,0.914324270050573,0.023811761857375158
2021-08-21,0.9152480946017686,0.023186826235006123,0.9228914383120578,0.021528047470094402
2021-08-22,0.9254297927555255,0.021054691628507295,0.9338634259200772,0.01930703078941273
2021-08-23,0.9376339663245544,0.019734655746721223,0.9465738733897003,0.01806618407243263
2021-08-24,0.947493682415951,0.018805945704331608,0.9564389481065912,0.017286277283464862
2021-08-25,0.95679724702557,0.017035132743666324,0.9661591181979219,0.015412256458100964
2021-08-26,0.9666810836985286,0.015653501531220356,0.9760561399857427,0.014184494554939649
2021-08-27,0.9751152090528458,0.014338423662076057,0.9840183903517415,0.013096497247223617
2021-08-28,0.981783685261423,0.012603818938185185,0.9906068999026844,0.011385044141618906
2021-08-29,0.9861585607396799,0.01068826322424312,0.993725291055635,0.010035845770069348
2021-08-30,0.9777444669590994,0.013285258197063247,0.9820328789947308,0.013143636905465151
2021-08-31,0.9651091042154009,0.016776751509989963,0.9673275622344532,0.016748545219075196
2021-09-01,0.9455488858240589,0.020616890053506004,0.9456808973111344,0.020675939641612174
2021-09-02,0.9210495216939201,0.02631925924039935,0.9206506397807556,0.026494139407214932
2021-09-03,0.8861633273428876,0.03446040038664701,0.8847126712279507,0.03490164400157045
2021-09-04,0.8471271635171155,0.04145477976712978,0.8451235633917515,0.04202257346302182
2021-09-05,0.8098879067892814,0.048152104350514605,0.8074327171407765,0.04877867393624461
2021-09-06,0.7756179887110857,0.054567469009078204,0.7718465019813743,0.055383280661294124
2021-09-07,0.7494377006364,0.058518889251864985,0.7451135343146333,0.05931439165932215
2021-09-08,0.723417845836569,0.061797576578977824,0.7186116410390188,0.06255416321354845
2021-09-09,0.703438579893813,0.06432907686379713,0.6979827675003225,0.06512264016255413
2021-09-10,0.6922954885073793,0.06562178892033811,0.6845428551421417,0.06668239753964356
2021-09-11,0.6877340110097601,0.06611396115766383,0.6768737312082841,0.0675075484129071
2021-09-12,0.68399537837381,0.06652271459626243,0.6698643689303692,0.06825807572169278
2021-09-13,0.6901499763962464,0.06586075475796808,0.6731311702092733,0.06792653323913142
2021-09-14,0.6995373688348486,0.06470222396160116,0.6791007713384067,0.06722594342740534
2021-09-15,0.7182666401941465,0.062085465209097114,0.6964247304468536,0.06503183859857609
2021-09-16,0.7455606648663866,0.058132730126974355,0.7232495033879329,0.061529673883359115
2021-09-17,0.7774810814050749,0.05371123704158763,0.7560271113693466,0.05752377726855325
2021-09-18,0.8112829318479226,0.04804236653981776,0.7913855522142522,0.05222660245455945
2021-09-19,0.8458870857709615,0.04186523673971651,0.8292023823761424,0.046218201791923645
2021-09-20,0.8755770010480317,0.03696070420118206,0.8630150441431806,0.04133120066497889
2021-09-21,0.9126475193272187,0.030452655813697743,0.9048068229302727,0.034523124271571635
2021-09-22,0.9594573682295506,0.025619517622723027,0.9582855070559497,0.029145893502461245
2021-09-23,1.001543559894234,0.025137605346234094,1.0077600602364196,0.028422234586122655
2021-09-24,1.0377665534887575,0.025984678001453345,1.0521637774610406,0.03078193708521911
2021-09-25,1.070671891381019,0.028639021992777628,1.0924014538091036,0.035717902012290234
2021-09-26,1.0982168341707095,0.03419260018786494,1.1255897552752403,0.04331934868587969
2021-09-27,1.121411133895415,0.0391462678970058,1.1551084003986807,0.05053341903691148
2021-09-28,1.1312760025956459,0.04179804319079792,1.1666948578519254,0.053963160798006726
2021-09-29,1.1239682530485982,0.03997007830335006,1.1600511124471569,0.05217578659790711
2021-09-30,1.11450415610302,0.03763693529377456,1.1488368850249504,0.049235777480613835
2021-10-01,1.1147386570886064,0.037701610405944656,1.147088891762579,0.048744467008267005
2021-10-02,1.1091286068947412,0.03591972899043031,1.1378314121910664,0.045801917515120874
2021-10-03,1.0996690207102582,0.0327888092049739,1.1236840541155075,0.04121811960902965
2021-10-04,1.084408841543765,0.027494929823244807,1.1036398229054438,0.03449199994389634
2021-10-05,1.0689654733938334,0.02181582276119659,1.0823133598313273,0.026577954896522597
2021-10-06,1.05765338009821,0.019247128288084985,1.0647685448424735,0.02210434559914447
2021-10-07,1.0538937575834653,0.018292996867601823,1.0549258031966833,0.01926037673646414
2021-10-08,1.0453759200220232,0.015954685294190713,1.042375539412437,0.015643649854162688
2021-10-09,1.0388441620713074,0.013900220437286242,1.033980684951916,0.012812276928850069
2021-10-10,1.0412164851669552,0.014561421433442369,1.035813022940547,0.013377820783330743
2021-10-11,1.04894579044846,0.016916544148597806,1.0440066068452953,0.01571543947958581
2021-10-12,1.0576274516603201,0.01924880051694925,1.0541713691420602,0.018312737928276084
2021-10-13,1.067149794965799,0.023239671365589028,1.0647665382909768,0.0227084252474543
2021-10-14,1.0696239071472164,0.024129045004796842,1.068334084494022,0.02399621467614027
2021-10-15,1.073314214041605,0.024997454783561197,1.0731055117509523,0.02511188845078539
2021-10-16,1.0872930571175066,0.02884695505304706,1.0881101787976226,0.02919233490112742
2021-10-17,1.0980670659230891,0.031475664424570005,1.0991588418486489,0.031903145866575014
2021-10-18,1.1137316454133264,0.036171279189229154,1.1149719844331234,0.036643611068591146
2021-10-19,1.1299731207322472,0.04114551635831743,1.1309640853430625,0.04138240383601459
2021-10-20,1.1400895531903403,0.04475976885055773,1.141844679714113,0.04529818608752713
2021-10-21,1.1531651626460167,0.04917471624674886,1.1554930208683833,0.04992516918870549
2021-10-22,1.1652160327510226,0.05357327482551611,1.168100177165613,0.054619845138635166
2021-10-23,1.1749890087751418,0.05709289319872304,1.178307240410768,0.058305756007432444
2021-10-24,1.1829789619848148,0.05990033133633617,1.1867934783432201,0.061252968777510214
2021-10-25,1.1878881743699168,0.06149829358736238,1.1906012974865607,0.06250090126460738
2021-10-26,1.1889515992136117,0.06185289748824972,1.1906065977228637,0.0625026613033003
2021-10-27,1.1951058331407742,0.06364955230610556,1.196065174654092,0.06410480153752482
2021-10-28,1.193894523461768,0.06326767538460643,1.1951826414843316,0.06382596939008296
2021-10-29,1.1793973294117979,0.058266316253700504,1.1809351169276525,0.05891061071162857
2021-10-30,1.1602758794722432,0.05263772628147633,1.161955532957268,0.05331208400645516
2021-10-31,1.140684178178905,0.04567341913705222,1.1419143410313357,0.04623638454604843
2021-11-01,1.1251811589930927,0.040352143194173094,1.1254544723756579,0.04065075523594008
2021-11-02,1.1087665923835086,0.03468603226485774,1.1072668089281048,0.034225474811006094
2021-11-03,1.1027463869685734,0.0323367963172677,1.099842020180797,0.03136059737695388
2021-11-04,1.0972567663703003,0.030207395007759253,1.09275310772317,0.028621819746723443
2021-11-05,1.1007209314365678,0.0315058001059098,1.0947953225042177,0.029363281747976613
2021-11-06,1.114917846499952,0.0370712117197476,1.1079780877065206,0.034540048796868575
2021-11-07,1.136536398778167,0.045214894838230914,1.1288219394382017,0.042507648470137264
2021-11-08,1.1607835129504576,0.05430870439771835,1.1526196504482134,0.05152336375144235
2021-11-09,1.1914548642858909,0.06549956849923383,1.1829188923740577,0.06272688495454622
2021-11-10,1.2235826602865731,0.07713151377299257,1.2147867589027168,0.07424096483845859
2021-11-11,1.2562135904051426,0.08854664978587111,1.247742201500261,0.08564000902707933
2021-11-12,1.285374767035354,0.09880755869867859,1.2774597457966441,0.09595204287261264
2021-11-13,1.2997737095117925,0.10421282368939845,1.2930758257727903,0.10173864096783634
2021-11-14,1.3109547967153048,0.10821217249379307,1.3051435488006056,0.1059966550496793
2021-11-15,1.3139832956716877,0.10931819001883544,1.3090557591278544,0.10741063933294709
2021-11-16,1.305653443361122,0.10616945041660336,1.3025625609288907,0.10499069723281505
2021-11-17,1.2935242097001334,0.10177284790036213,1.2911784127451877,0.10089413145097029
2021-11-18,1.271701087815574,0.09355160941132153,1.2701286832851748,0.09298750080572529
2021-11-19,1.2432148773394491,0.08270685943289365,1.241408607778113,0.08196089537155994
2021-11-20,1.2128244236838694,0.07169357418231317,1.210752815233498,0.0708238629668149
2021-11-21,1.1831530992260926,0.0610218243270457,1.1806492988664425,0.06007414523553118
2021-11-22,1.1561664988674247,0.051201956424495584,1.1535233110731644,0.05026858277438157
2021-11-23,1.1319815209791682,0.04272163975847838,1.1298145989826527,0.042073980544728426
2021-11-24,1.1121702591356935,0.03589290184825621,1.1103206285922793,0.03539363510902141
2021-11-25,1.0956603836176064,0.030145990048784047,1.0937782191180367,0.029673834038583174
2021-11-26,1.0849564153311102,0.026325282285502953,1.0831643421341879,0.02587111562205841
2021-11-27,1.0800981264843004,0.024531238598980046,1.0785405133445547,0.024157839224914334
2021-11-28,1.0771449145266512,0.0234016526768391,1.0758540575175113,0.02311741082372735
2021-11-29,1.0762514658743765,0.02308901569136329,1.0754790130284533,0.022984482176474683
2021-11-30,1.0772826127320785,0.023416568625541374,1.0768417441945852,0.023418098774518288
2021-12-01,1.078068838383074,0.02366134069844187,1.0779915961800082,0.02377533571085644
2021-12-02,1.0830719896237229,0.025182428169918416,1.0836870750922016,0.025483722337678538
2021-12-03,1.0921085151502552,0.028060537823771457,1.0939670227146046,0.028694737197634632
2021-12-04,1.0999407772729448,0.030694838055245102,1.102954298351958,0.031698093912877826
2021-12-05,1.1055873024071479,0.032486271417528884,1.1094483172000102,0.03378938359385755
2021-12-06,1.1106016209606029,0.03400155435708782,1.1152446168055161,0.035566818378373874
2021-12-07,1.114142799418861,0.03513355325554261,1.1192611627664524,0.03686097378883604
2021-12-08,1.1137048401983876,0.03499748446894858,1.1194363061764327,0.036915651836248585
2021-12-09,1.1122877553156576,0.03454029087261438,1.1184389083837694,0.036590460769162475
2021-12-10,1.1146270319900602,0.035335685897291136,1.1209287574255509,0.03743535041401136
2021-12-11,1.1223783511898144,0.03801750904091142,1.1283962560910334,0.04000627141942218
2021-12-12,1.130060538163944,0.040559299511698156,1.1362615897212855,0.04261595067219001
2021-12-13,1.1373370082415215,0.04304826474335314,1.1437871480205977,0.045190134952612204
2021-12-14,1.1460100519762912,0.04618652742005794,1.1521415475095913,0.04821792622058606
2021-12-15,1.1527354107765948,0.04863631709853136,1.158198171799563,0.05043314985059017
2021-12-16,1.1534758650016652,0.04888199145604395,1.1579590404872877,0.050352947041152535
2021-12-17,1.1530322337267909,0.04874730804488449,1.1564772645832169,0.04989664524768425
2021-12-18,1.1483195110367477,0.047453868528660244,1.1507584223970668,0.048308249958861384
2021-12-19,1.142373431472812,0.04572515133770215,1.14410162160237,0.04637091298717383
2021-12-20,1.1384964004644402,0.04448107520610103,1.1396229960954292,0.0449353297119317
2021-12-21,1.1347087737178656,0.04325960064495129,1.1353009613364426,0.043536661988232604
2021-12-22,1.1293473333841146,0.04134437932360852,1.129380621427433,0.04142096226514351
2021-12-23,1.1231300840130762,0.03901929769731079,1.1229651173501682,0.039028958294305464
2021-12-24,1.11845385582162,0.037298632255078644,1.11789195394507,0.03715893914321153
2021-12-25,1.1189753174584274,0.0374863265977156,1.1179212148334994,0.03716957576450129
2021-12-26,1.1224860930220673,0.038803541910390066,1.1212993470753387,0.03843921385473195
2021-12-27,1.1335905365400916,0.04301498686810721,1.1323365732994513,0.04261733887802438
2021-12-28,1.1480012443319911,0.047760229942387156,1.1467234633947543,0.04734251739785135
2021-12-29,1.1594468911295384,0.05102566145084101,1.1579769770367485,0.05053036565994126
2021-12-30,1.164580943003637,0.05253870525183271,1.1628124238746664,0.051942296657695806
2021-12-31,1.1593403425585247,0.05107606123874903,1.1575377946751353,0.05048157162870771
2022-01-01,1.1473997438087113,0.047386351405525044,1.1457604363147194,0.04684454055208105
2022-01-02,1.1316507163286877,0.04257246057297266,1.130069100255707,0.042038627304074636
2022-01-03,1.1163353148999962,0.03815973537390765,1.114731992397687,0.03761791788510134
2022-01-04,1.0967404249570967,0.03264839308052321,1.0952186456823954,0.03215695700785399
2022-01-05,1.0743453805330025,0.027091933044713575,1.0728359925692184,0.026625140065290268
2022-01-06,1.0484503978274515,0.021478445264360577,1.046796057843225,0.021075610829131404
2022-01-07,1.0246893452125072,0.015542199955060475,1.022886694022773,0.015237011037525167
2022-01-08,0.9981009947745433,0.011316224679970162,0.9963906253343265,0.011375307980262182
2022-01-09,0.9701278132901815,0.013238168262594443,0.9679032403153046,0.01386543864389295
2022-01-10,0.9413016772081559,0.02116529587599591,0.9383330063197152,0.0220571779871035
2022-01-11,0.91021844514777,0.029257360887442147,0.9066877091447058,0.030241912300747003
2022-01-12,0.8782308133704372,0.03597066890105217,0.874246896628518,0.03694616099762049
2022-01-13,0.8527603585326574,0.040596574094835164,0.8481399186000352,0.04159818698840535
2022-01-14,0.8296359568961182,0.044017405527030214,0.8245335584907113,0.04503656042745557
2022-01-15,0.8126856377297145,0.04655846625966925,0.8069605169774026,0.04765950357644147
2022-01-16,0.7969850684421924,0.04899943788970009,0.7910272747398598,0.050104117176214366
2022-01-17,0.7851734093739559,0.050863016246559194,0.7791187760497659,0.05195082480418346
2022-01-18,0.7802970739598081,0.05159459372165598,0.7743102354252412,0.052658703133484835
2022-01-19,0.7866333348927715,0.05076392208385309,0.7810377022321882,0.05179055943966254
2022-01-20,0.7974148652122225,0.04928373026446733,0.7924073000154862,0.05025779335857937
2022-01-21,0.8132953805983498,0.046358773161242005,0.8091001302583858,0.04723642495878683
2022-01-22,0.8287160291647852,0.043001945784623456,0.8255115812825126,0.04369596228048737
2022-01-23,0.8471831394797855,0.03876149501982811,0.8450782683777135,0.039278453756755136
2022-01-24,0.8595189759540788,0.03589788485878232,0.8585910287737643,0.03619855800311327
2022-01-25,0.8741996404968916,0.03303718872416653,0.8745800065865604,0.0331289579884016
2022-01-26,0.8936395035451106,0.02992017243562413,0.8955998150571344,0.029786875355706333
2022-01-27,0.9230792786675706,0.026399471209816706,0.9267809911410027,0.026168477022257233
2022-01-28,0.9592390430320105,0.023409224054693235,0.9645923051437582,0.0233173209577337
2022-01-29,0.9980070319318296,0.02303780730882482,1.004452410272153,0.023668856083275576
2022-01-30,1.028681436873284,0.025134821924600436,1.0360834764143512,0.026413058171390533
2022-01-31,1.0462414057511498,0.02674702822082369,1.0541017380790099,0.0283724445266444
2022-02-01,1.0586941080442023,0.02810419442295009,1.066573240524072,0.029925197135558367
2022-02-02,1.0736057562786863,0.02919171533290289,1.0811797409205521,0.031230171072425275
2022-02-03,1.0880470472623203,0.030808278968654085,1.0949282578450028,0.032931613539906576
2022-02-04,1.079934410680543,0.030131286519912755,1.0859665426787064,0.032059202014643476
2022-02-05,1.0579825206171085,0.02790251557821237,1.0623632177244764,0.029384453615798407
2022-02-06,1.030353373568618,0.025768165467576515,1.033579673030323,0.026843733453351185
2022-02-07,0.9949017648009966,0.022640484259481352,0.9972906064445543,0.02326318094092553
2022-02-08,0.9554944481581309,0.023495119577310108,0.9574373274311461,0.023578031073807945
2022-02-09,0.9178035082321551,0.027097486408114435,0.9196751349717619,0.02675705692193493
2022-02-10,0.8785574082181541,0.034633280816778,0.8813087475570095,0.033864842215181525
2022-02-11,0.8450134124323185,0.041070432957373296,0.8483634206472696,0.040170288347568625
2022-02-12,0.8183443787846967,0.046154681957332404,0.8224060817845176,0.045184058913127836
2022-02-13,0.7995191609334973,0.049287329043711185,0.8038418997614736,0.048357442197682544
2022-02-14,0.7813951285124398,0.05194700937767483,0.785650405668593,0.05110891795700005
2022-02-15,0.7630830353846668,0.054740085646915196,0.7671973764724671,0.05400020597672197
2022-02-16,0.7368165637680976,0.05926096082185895,0.7407472513882434,0.05865510912506559
2022-02-17,0.7130650430817673,0.06345278532972506,0.7168775506945765,0.06292750609229186
2022-02-18,0.7009650917797968,0.06487294114007686,0.7048285437060258,0.06435911562594313
2022-02-19,0.6954645356714475,0.06546632015038555,0.6996371390405848,0.06491562021274376
2022-02-20,0.6966045149900377,0.06534262377102595,0.7011924839855659,0.06474780166593574
2022-02-21,0.707025426129154,0.06412711293861631,0.7118519504737139,0.06350535859188278
2022-02-22,0.7258225909223591,0.061989479230630765,0.730301664187787,0.06138221659593137
2022-02-23,0.7507228237868206,0.05871819798771037,0.7541593039796859,0.058167836111134484
2022-02-24,0.7707983696608514,0.05602633024617461,0.7730835250868595,0.05550742472207365
2022-02-25,0.7900258322987189,0.05310017883945078,0.7914367891602105,0.05262433940465406
2022-02-26,0.8021486275921851,0.05085276890759819,0.8028540690660465,0.050455316283967815
2022-02-27,0.8224125739704153,0.04660002539539245,0.8223638240237254,0.04633137031697282
2022-02-28,0.8454389376645298,0.04076217504401143,0.8453993515490383,0.04058168826582111
2022-03-01,0.8714688165425323,0.03376191310966473,0.8712316111348888,0.03378803063417301
2022-03-02,0.8877136795526985,0.03044988003334584,0.8874674142825019,0.030638134501313034
2022-03-03,0.8973777868749537,0.029585847038984137,0.8972333463033265,0.029843099301090723
2022-03-04,0.9215609334060023,0.026867142589898342,0.9212339000665739,0.027278825268452125
2022-03-05,0.9522419870580621,0.025468180032376827,0.9522943101968343,0.025735310562032047
2022-03-06,0.9822535896004078,0.025850932997757394,0.9835272359449634,0.025931215772489198
2022-03-07,1.0086888366215037,0.026878970956085265,1.011111356605073,0.026731386267477064
2022-03-08,1.035129603384317,0.02714238492319585,1.0381910845066595,0.026853872479079288
2022-03-09,1.0643294158876813,0.029086604161643357,1.0673276861254075,0.02892258470425121
2022-03-10,1.0973970727308078,0.03435479371317362,1.0987132401594066,0.03419776338869162
2022-03-11,1.1286701934669452,0.04144727137916437,1.12814096041885,0.04098866272891408
2022-03-12,1.1456700341064991,0.046628731749788786,1.1438176818497388,0.04588727661913786
2022-03-13,1.155933171320475,0.0498143084091691,1.1530276883285595,0.04880138335179167
2022-03-14,1.1583395984182097,0.050657181244434996,1.1550693912637777,0.04951336329040901
2022-03-15,1.1574570526823342,0.05034801341003888,1.1539581255255487,0.04912518088704287
2022-03-16,1.1517024979096968,0.04840420714989109,1.148268537032792,0.047226330923985614
2022-03-17,1.1474008049334075,0.04700523440184411,1.1441871449006777,0.045916037062326956
2022-03-18,1.1406630694851956,0.044907582145636296,1.1374612074487467,0.04383916180308574
2022-03-19,1.1330910977336526,0.04292989568348639,1.1293537423697566,0.0417410594624937
2022-03-20,1.1212283032717587,0.04009855237762466,1.116673891439709,0.03882701088440726
