dt_PRELIEVO,positivi,ricoveri,ricoveri/positivi 7gg
2020-02-20,2,1,
2020-02-21,31,27,
2020-02-22,32,31,
2020-02-23,47,35,0.7559554813091233
2020-02-24,60,38,0.8001731683839531
2020-02-25,95,75,0.7891945834015731
2020-02-26,116,91,0.7662302976872873
2020-02-27,147,119,0.7824410373022823
2020-02-28,204,162,0.7994684543296994
2020-02-29,250,202,0.8001935374778213
2020-03-01,282,242,0.808269927400053
2020-03-02,396,298,0.805243621820787
2020-03-03,477,379,0.7995343613724216
2020-03-04,629,529,0.7983915042295645
2020-03-05,789,622,0.7948763666082376
2020-03-06,903,681,0.7865725708250348
2020-03-07,700,560,0.7813451140522518
2020-03-08,769,641,0.7663614634746335
2020-03-09,1214,843,0.7515356281975569
2020-03-10,1351,1024,0.7460779073015802
2020-03-11,1334,982,0.7354989818538501
2020-03-12,1360,931,0.7300349744828948
2020-03-13,1718,1230,0.7353827483227338
2020-03-14,1372,996,0.7298095733637054
2020-03-15,1192,948,0.7296743235283056
2020-03-16,2133,1561,0.7354852516646879
2020-03-17,2085,1499,0.733862044991377
2020-03-18,2160,1588,0.7367151263754348
2020-03-19,2231,1618,0.74102218427855
2020-03-20,2224,1567,0.7379749248761668
2020-03-21,1409,1051,0.7285399802895755
2020-03-22,1163,960,0.7181703332988347
2020-03-23,2190,1556,0.6988824373582159
2020-03-24,2155,1407,0.6837114660757121
2020-03-25,2048,1357,0.6660964248866049
2020-03-26,2045,1207,0.656216420884298
2020-03-27,1987,1189,0.6418914194017623
2020-03-28,1362,848,0.6306907821108868
2020-03-29,755,571,0.6131389882662794
2020-03-30,1760,1074,0.6035931262489321
2020-03-31,1537,883,0.5860477712550597
2020-04-01,1812,978,0.5744838946030774
2020-04-02,1624,850,0.5526064968274682
2020-04-03,1617,769,0.5261340475515045
2020-04-04,1080,585,0.5034024004686658
2020-04-05,635,383,0.4839180265068948
2020-04-06,1565,665,0.4590168685515496
2020-04-07,1483,616,0.4373743009906147
2020-04-08,1495,603,0.408872159393235
2020-04-09,1925,672,0.3881841203981094
2020-04-10,2052,665,0.38946159269338176
2020-04-11,1134,388,0.38101838349351347
2020-04-12,552,253,0.36608949434956106
2020-04-13,567,246,0.35415511294149543
2020-04-14,1148,409,0.34409308046566994
2020-04-15,1382,413,0.3313084946061094
2020-04-16,1254,333,0.3203242039826435
2020-04-17,1305,331,0.29300590134866866
2020-04-18,752,190,0.2744624827992427
2020-04-19,388,148,0.26090412420128894
2020-04-20,1154,280,0.2507592934308046
2020-04-21,1073,243,0.24463707442826108
2020-04-22,966,197,0.24454515365171434
2020-04-23,1208,235,0.2570958603152805
2020-04-24,1020,215,0.2476075604283671
2020-04-25,496,125,0.24372769022877655
2020-04-26,228,107,0.2325706017043047
2020-04-27,925,163,0.2263694779283283
2020-04-28,868,173,0.24443019058548418
2020-04-29,1049,132,0.25307074358087583
2020-04-30,1019,154,0.24813993830682118
2020-05-01,258,87,0.24458672253295477
2020-05-02,288,90,0.23832371752220385
2020-05-03,115,50,0.24055549679253924
2020-05-04,707,107,0.23749964706685658
2020-05-05,759,118,0.2146899938623133
2020-05-06,714,101,0.1954953726940079
2020-05-07,686,89,0.19507188314008359
2020-05-08,659,117,0.20610441496469464
2020-05-09,247,44,0.20528880545343295
2020-05-10,88,38,0.20848863960396063
2020-05-11,455,104,0.21067443369102995
2020-05-12,414,62,0.2052543493635101
2020-05-13,415,68,0.20546003693020584
2020-05-14,393,57,0.18646466448655755
2020-05-15,351,49,0.17620300496381427
2020-05-16,284,51,0.17425338453593295
2020-05-17,87,26,0.170483511048916
2020-05-18,319,50,0.16215023024508848
2020-05-19,360,49,0.15144508559075212
2020-05-20,371,51,0.15577352536520128
2020-05-21,346,30,0.16296720743573062
2020-05-22,433,28,0.16339326605144439
2020-05-23,162,34,0.15886744728511928
2020-05-24,63,22,0.1508912109684902
2020-05-25,288,46,0.1502961367152822
2020-05-26,316,33,0.15279994440115827
2020-05-27,343,28,0.1413049760434448
2020-05-28,315,26,0.16570406901396634
2020-05-29,219,18,0.15929998255668837
2020-05-30,170,22,0.21811407577257821
2020-05-31,25,13,0.2196479078940671
2020-06-01,235,27,0.22137798264001485
2020-06-02,31,16,0.22272679482766344
