data,0-9 anni,10-19 anni,20-29 anni,30-39 anni,40-49 anni,50-59 anni,60-69 anni,70-79 anni,80-89 anni,≥90 anni
2021-05-20,12.714285714285714,26.857142857142858,26.285714285714285,29.285714285714285,25.0,27.857142857142858,16.285714285714285,10.857142857142858,4.571428571428571,1.2857142857142858
2021-05-21,12.285714285714286,24.285714285714285,24.857142857142858,28.571428571428573,23.714285714285715,26.428571428571427,15.428571428571429,10.142857142857142,4.714285714285714,1.0
2021-05-22,12.571428571428571,24.285714285714285,22.285714285714285,28.714285714285715,23.285714285714285,24.0,15.714285714285714,9.571428571428571,5.0,1.1428571428571428
2021-05-23,12.0,22.428571428571427,21.857142857142858,28.142857142857142,22.571428571428573,21.714285714285715,13.857142857142858,9.571428571428571,5.285714285714286,1.0
2021-05-24,12.0,21.571428571428573,20.428571428571427,25.714285714285715,24.714285714285715,23.0,14.142857142857142,9.571428571428571,5.857142857142857,1.2857142857142858
2021-05-25,11.714285714285714,21.857142857142858,21.571428571428573,26.142857142857142,24.285714285714285,22.714285714285715,14.142857142857142,10.0,5.714285714285714,1.2857142857142858
2021-05-26,10.571428571428571,19.428571428571427,21.285714285714285,26.142857142857142,25.142857142857142,22.142857142857142,15.571428571428571,10.142857142857142,5.714285714285714,1.4285714285714286
2021-05-27,11.857142857142858,18.285714285714285,21.142857142857142,27.0,27.285714285714285,21.571428571428573,15.285714285714286,9.571428571428571,5.285714285714286,0.8571428571428571
2021-05-28,12.142857142857142,16.857142857142858,19.0,25.285714285714285,25.857142857142858,19.428571428571427,14.857142857142858,9.571428571428571,4.142857142857143,0.7142857142857143
2021-05-29,11.857142857142858,15.142857142857142,20.142857142857142,24.571428571428573,24.571428571428573,18.571428571428573,14.0,10.571428571428571,3.5714285714285716,0.8571428571428571
2021-05-30,12.142857142857142,14.857142857142858,19.428571428571427,24.0,25.0,19.0,14.0,9.714285714285714,3.2857142857142856,0.8571428571428571
2021-05-31,12.571428571428571,15.714285714285714,20.428571428571427,25.714285714285715,25.142857142857142,17.428571428571427,13.0,9.285714285714286,2.142857142857143,0.5714285714285714
2021-06-01,12.714285714285714,15.857142857142858,20.428571428571427,25.714285714285715,25.285714285714285,16.714285714285715,12.714285714285714,9.285714285714286,2.0,0.5714285714285714
2021-06-02,10.714285714285714,15.857142857142858,17.428571428571427,22.571428571428573,22.714285714285715,15.0,10.857142857142858,8.571428571428571,1.7142857142857142,0.42857142857142855
2021-06-03,7.428571428571429,13.714285714285714,15.571428571428571,19.857142857142858,20.142857142857142,12.0,9.428571428571429,7.714285714285714,1.4285714285714286,0.42857142857142855
2021-06-04,6.428571428571429,13.285714285714286,16.714285714285715,19.285714285714285,19.571428571428573,12.142857142857142,8.857142857142858,7.0,1.4285714285714286,0.5714285714285714
2021-06-05,5.285714285714286,12.285714285714286,16.142857142857142,17.285714285714285,18.285714285714285,11.428571428571429,8.285714285714286,6.0,1.1428571428571428,0.5714285714285714
2021-06-06,4.428571428571429,11.0,15.142857142857142,14.428571428571429,16.428571428571427,10.714285714285714,6.714285714285714,5.857142857142857,0.8571428571428571,0.5714285714285714
2021-06-07,2.2857142857142856,8.428571428571429,12.571428571428571,11.571428571428571,12.571428571428571,8.571428571428571,6.0,5.0,1.1428571428571428,0.5714285714285714
2021-06-08,1.8571428571428572,7.0,10.714285714285714,9.428571428571429,11.142857142857142,8.0,5.571428571428571,4.571428571428571,1.2857142857142858,0.5714285714285714
2021-06-09,2.0,5.0,13.0,8.714285714285714,10.714285714285714,7.571428571428571,5.571428571428571,4.428571428571429,1.4285714285714286,0.42857142857142855
2021-06-10,3.142857142857143,5.0,12.428571428571429,8.428571428571429,9.857142857142858,7.428571428571429,5.428571428571429,4.142857142857143,1.2857142857142858,0.42857142857142855
2021-06-11,2.857142857142857,4.857142857142857,10.714285714285714,7.857142857142857,8.714285714285714,7.142857142857143,5.428571428571429,3.857142857142857,1.2857142857142858,0.42857142857142855
2021-06-12,2.7142857142857144,4.142857142857143,9.0,7.285714285714286,7.285714285714286,6.571428571428571,4.714285714285714,4.0,1.4285714285714286,0.14285714285714285
2021-06-13,3.0,4.428571428571429,8.857142857142858,7.142857142857143,6.714285714285714,5.285714285714286,5.142857142857143,4.0,1.7142857142857142,0.14285714285714285
2021-06-14,3.0,5.0,8.285714285714286,6.428571428571429,6.0,5.428571428571429,4.571428571428571,3.7142857142857144,1.2857142857142858,0.14285714285714285
2021-06-15,3.0,4.428571428571429,8.857142857142858,6.428571428571429,6.0,5.285714285714286,4.428571428571429,3.4285714285714284,1.1428571428571428,0.14285714285714285
2021-06-16,3.4285714285714284,4.142857142857143,6.285714285714286,8.0,6.571428571428571,4.571428571428571,3.4285714285714284,2.857142857142857,0.8571428571428571,0.14285714285714285
2021-06-17,2.4285714285714284,4.428571428571429,6.714285714285714,7.285714285714286,6.428571428571429,4.714285714285714,3.4285714285714284,3.0,0.8571428571428571,0.14285714285714285
2021-06-18,2.5714285714285716,4.142857142857143,7.142857142857143,7.571428571428571,6.428571428571429,4.857142857142857,3.857142857142857,2.857142857142857,0.7142857142857143,0.0
2021-06-19,2.857142857142857,4.714285714285714,7.857142857142857,7.571428571428571,6.857142857142857,5.0,4.714285714285714,2.4285714285714284,0.42857142857142855,0.14285714285714285
2021-06-20,2.4285714285714284,4.857142857142857,7.428571428571429,7.142857142857143,6.285714285714286,4.857142857142857,4.285714285714286,2.142857142857143,0.42857142857142855,0.14285714285714285
2021-06-21,3.142857142857143,5.0,8.142857142857142,8.0,6.857142857142857,5.285714285714286,5.285714285714286,2.5714285714285716,0.42857142857142855,0.14285714285714285
2021-06-22,3.5714285714285716,5.285714285714286,7.714285714285714,7.428571428571429,6.428571428571429,5.142857142857143,5.0,2.7142857142857144,0.5714285714285714,0.14285714285714285
2021-06-23,3.0,5.857142857142857,9.0,6.142857142857143,6.142857142857143,6.142857142857143,4.857142857142857,3.142857142857143,0.8571428571428571,0.14285714285714285
2021-06-24,3.4285714285714284,5.571428571428571,10.142857142857142,6.428571428571429,6.285714285714286,6.857142857142857,5.142857142857143,2.857142857142857,0.8571428571428571,0.2857142857142857
2021-06-25,3.142857142857143,5.571428571428571,11.571428571428571,7.285714285714286,6.857142857142857,6.428571428571429,5.428571428571429,2.7142857142857144,1.0,0.42857142857142855
2021-06-26,4.0,5.571428571428571,10.857142857142858,7.857142857142857,7.428571428571429,6.714285714285714,5.142857142857143,2.857142857142857,1.2857142857142858,0.42857142857142855
2021-06-27,4.285714285714286,5.0,12.0,8.714285714285714,8.714285714285714,8.142857142857142,5.142857142857143,3.142857142857143,1.1428571428571428,0.42857142857142855
2021-06-28,5.714285714285714,5.428571428571429,13.0,9.285714285714286,9.857142857142858,8.0,4.285714285714286,3.5714285714285716,1.2857142857142858,0.42857142857142855
2021-06-29,5.428571428571429,6.0,12.714285714285714,10.571428571428571,10.428571428571429,8.428571428571429,5.428571428571429,3.5714285714285716,1.7142857142857142,0.42857142857142855
2021-06-30,6.142857142857143,7.285714285714286,12.571428571428571,12.857142857142858,10.714285714285714,7.714285714285714,6.857142857142857,3.0,1.2857142857142858,0.42857142857142855
2021-07-01,6.142857142857143,8.285714285714286,12.285714285714286,14.142857142857142,10.428571428571429,7.428571428571429,6.714285714285714,3.857142857142857,1.7142857142857142,0.2857142857142857
2021-07-02,7.0,9.142857142857142,12.714285714285714,14.428571428571429,10.857142857142858,9.0,6.571428571428571,4.285714285714286,1.7142857142857142,0.14285714285714285
2021-07-03,6.142857142857143,9.714285714285714,13.857142857142858,16.142857142857142,11.0,8.857142857142858,6.571428571428571,3.7142857142857144,1.7142857142857142,0.0
2021-07-04,6.714285714285714,11.285714285714286,14.0,15.857142857142858,10.285714285714286,8.428571428571429,7.428571428571429,3.857142857142857,2.142857142857143,0.0
2021-07-05,5.571428571428571,11.857142857142858,14.142857142857142,15.857142857142858,9.428571428571429,7.857142857142857,8.142857142857142,3.4285714285714284,2.142857142857143,0.0
2021-07-06,5.857142857142857,11.571428571428571,15.428571428571429,15.428571428571429,10.285714285714286,7.571428571428571,7.571428571428571,3.2857142857142856,1.7142857142857142,0.0
