date,med,lo_68,hi_68,lo_95,hi_95
2020-05-02,72.89999999999999,47.346666666666664,87.21777777777777,22.05,94.96666666666665
2020-05-03,72.80000000000001,45.69,87.56000000000002,11.65,95.35000000000012
2020-05-04,73.00000000000001,45.22666666666667,87.23200000000001,26.450000000000003,94.13750000000003
2020-05-05,71.07142857142858,42.080000000000005,86.30666666666667,22.224999999999998,92.79583333333332
2020-05-06,74.08333333333333,42.599999999999994,88.52307692307693,15.6875,94.92500000000001
2020-05-07,73.99999999999999,43.759999999999984,86.30999999999997,17.15,93.76999999999998
2020-05-08,70.85714285714285,43.56,86.49142857142857,17.525000000000002,92.64999999999998
2020-05-09,73.49999999999999,43.50666666666667,86.74799999999999,18.65,94.34999999999995
2020-05-10,69.99999999999999,43.239999999999995,86.79333333333331,23.1,92.89999999999988
2020-05-11,68.60000000000001,38.272,84.705,8.15,93.95
2020-05-12,71.75,39.32,86.608,20.84166666666667,92.47500000000002
2020-05-13,72.33333333333331,46.071999999999996,86.31999999999996,17.95,93.52499999999999
2020-05-14,68.0,41.32,84.545,19.1,91.96666666666667
2020-05-15,71.5,38.4,85.34285714285714,17.125,93.87499999999997
2020-05-16,73.0,46.54,87.22999999999999,7.45,96.54999999999997
2020-05-17,76.0,37.84,88.79000000000002,5.1000000000000005,93.95000000000005
2020-05-18,64.75,34.693333333333335,84.63999999999999,13.075,90.98928571428571
2020-05-19,70.75000000000001,43.832,87.28,24.775,94.61250000000003
2020-05-20,68.33333333333333,35.45333333333333,85.77333333333333,11.65,93.11666666666667
2020-05-21,66.39999999999999,39.1,87.26666666666665,4.0,93.49999999999997
2020-05-22,65.00000000000003,36.92,87.54000000000002,22.1,93.95000000000005
2020-05-23,75.75,49.36000000000001,86.91,26.2,94.3
2020-05-24,65.00000000000001,31.520000000000003,87.32000000000001,8.35,94.65000000000003
2020-05-25,70.00000000000003,39.4,85.83333333333333,10.75,91.85000000000001
2020-05-26,68.5,34.54,86.96,10.825,94.08749999999999
2020-05-27,69.5,48.44,83.89,11.3625,94.275
2020-05-28,62.833333333333336,28.76,85.24,1.075,91.92499999999998
2020-05-29,71.0,33.653333333333336,87.02,12.65,94.17500000000001
2020-05-30,69.5,34.38,86.74666666666666,10.15,94.425
2020-05-31,73.0,39.64,87.36000000000003,2.35,95.55000000000001
2020-06-01,65.0,29.560000000000002,85.61,10.9,93.55000000000001
2020-06-02,74.5,43.46666666666667,87.3,7.625,93.37500000000001
