date,confirmed,hospitalizations,hospitalizations_/_confirmed_7_days_moving_average
2020-02-22,7,6.0,
2020-02-23,11,8.0,
2020-02-24,6,3.0,
2020-02-25,40,21.0,0.6324261301388107
2020-02-26,89,39.0,0.6156914362612598
2020-02-27,42,29.0,0.599096919666743
2020-02-28,45,31.0,0.6199302530000763
2020-02-29,50,37.0,0.6336876494497804
2020-03-01,54,33.0,0.652039709374874
2020-03-02,96,62.0,0.6407018408941483
2020-03-03,169,105.0,0.6359768501226458
2020-03-04,150,85.0,0.629163663309459
2020-03-05,234,143.0,0.6274349190064574
2020-03-06,215,141.0,0.6180022371389222
2020-03-07,221,153.0,0.6109412692606467
2020-03-08,202,121.0,0.6073044299095216
2020-03-09,307,178.0,0.5933471228487662
2020-03-10,320,183.0,0.5734981531567377
2020-03-11,364,197.0,0.5521102817688662
2020-03-12,522,268.0,0.5479022681666061
2020-03-13,652,337.0,0.5339170302346428
2020-03-14,540,293.0,0.5257529599080548
2020-03-15,381,217.0,0.5273610231469652
2020-03-16,608,293.0,0.5220768569154614
2020-03-17,713,367.0,0.5185701991667951
2020-03-18,791,437.0,0.5111139456987248
2020-03-19,827,394.0,0.49946128952658736
2020-03-20,912,449.0,0.5029134294918852
2020-03-21,677,332.0,0.49779418847282664
2020-03-22,541,264.0,0.48151141283500387
2020-03-23,741,375.0,0.4767521211626428
2020-03-24,758,363.0,0.46747994879624294
2020-03-25,634,278.0,0.4578113759216098
2020-03-26,747,331.0,0.4581032727014918
2020-03-27,620,265.0,0.4453309572975974
2020-03-28,537,227.0,0.4246022984705594
2020-03-29,351,172.0,0.4089503971645163
2020-03-30,552,230.0,0.39381417618364006
2020-03-31,728,243.0,0.3791964193544274
2020-04-01,529,174.0,0.3643306297442507
2020-04-02,611,206.0,0.338125168008703
2020-04-03,526,171.0,0.3369826057206299
2020-04-04,477,152.0,0.324925112044205
2020-04-05,349,107.0,0.30968221589393646
2020-04-06,323,132.0,0.29596543621971
2020-04-07,409,102.0,0.2922403720495552
2020-04-08,567,126.0,0.29421776048920784
2020-04-09,423,102.0,0.3061092248599107
2020-04-10,612,183.0,0.2967860623965448
2020-04-11,400,133.0,0.30787724439237224
2020-04-12,177,69.0,0.32084511942921284
2020-04-13,364,125.0,0.3288247950620639
2020-04-14,370,121.0,0.31621975304525723
2020-04-15,377,118.0,0.3076464348290819
2020-04-16,266,79.0,0.2983481147671764
2020-04-17,408,86.0,0.2866220359679268
2020-04-18,378,103.0,0.27443129537839467
2020-04-19,194,63.0,0.2593132907013846
2020-04-20,287,75.0,0.24811139838276602
2020-04-21,331,80.0,0.2462831503050114
2020-04-22,251,52.0,0.23343827053659874
2020-04-23,183,40.0,0.23163250522042564
2020-04-24,298,59.0,0.22287192781873325
2020-04-25,241,44.0,0.21875470556564908
2020-04-26,157,49.0,0.2173623595603386
2020-04-27,225,45.0,0.21716455029791987
2020-04-28,202,43.0,0.2225542229455024
2020-04-29,233,46.0,0.23385559850018386
2020-04-30,221,48.0,0.2239436750393148
2020-05-01,140,33.0,0.24732029841593817
2020-05-02,107,28.0,0.2622397848700781
2020-05-03,103,25.0,0.2733219430552406
2020-05-04,88,32.0,0.2789241839515991
2020-05-05,104,33.0,0.2833459526590821
2020-05-06,120,33.0,0.2710593001855138
2020-05-07,117,30.0,0.284004284004284
2020-05-08,105,28.0,0.2618181368181368
2020-05-09,74,13.0,0.23904485746591012
2020-05-10,36,12.0,0.22974150649589248
2020-05-11,72,15.0,0.21989718415157014
2020-05-12,57,9.0,0.2151352793896654
2020-05-13,81,17.0,0.20194351619790218
2020-05-14,64,12.0,0.19718161143599744
2020-05-15,60,14.0,0.19737362372478393
2020-05-16,48,4.0,0.2007912587213663
2020-05-17,30,9.0,0.20652318111995535
2020-05-18,62,13.0,0.2093870625215726
2020-05-19,44,8.0,0.19354644055850165
2020-05-20,52,13.0,0.21497501198707308
2020-05-21,53,11.0,0.22926072627278735
2020-05-22,49,6.0,0.21914807906336595
2020-05-23,30,7.0,0.2069103168256037
2020-05-24,15,6.0,0.19897380888909577
2020-05-25,36,5.0,0.19432421320176424
2020-05-26,52,5.0,0.1857600732600733
2020-05-27,36,7.0,0.16341575091575095
2020-05-28,40,7.0,0.13484432234432236
2020-05-29,32,2.0,0.15786019536019538
2020-05-30,13,1.0,0.20364774114774115
2020-05-31,10,2.0,0.21158424908424908
2020-06-01,20,6.0,0.21179433311786253
2020-06-02,12,5.0,0.22932078814431756
2020-06-03,16,4.0,0.25801431683784626
2020-06-04,17,3.0,0.2424299012534307
2020-06-05,27,5.0,0.22722252798154127
2020-06-06,18,5.0,0.19254343895462614
2020-06-07,11,1.0,0.17315568385258534
2020-06-08,31,6.0,0.18155904519712315
2020-06-09,23,4.0,0.1823149030958382
2020-06-10,35,4.0,0.1807276015085366
2020-06-11,17,4.0,0.3105977313786665
2020-06-12,21,4.0,0.3127098665553178
2020-06-13,15,4.0,0.3107222889155663
2020-06-14,5,5.0,0.3122529011604643
2020-06-15,24,5.0,0.3061119832548405
2020-06-16,25,4.0,0.3017582417582419
2020-06-17,24,3.0,0.2750915750915753
2020-06-18,26,5.0,0.21015651015651032
2020-06-19,25,4.0,0.1929534750963324
2020-06-20,25,2.0,0.18308334522620254
2020-06-21,11,6.0,0.17507841911782812
2020-06-22,91,8.0,0.1685118149902484
2020-06-23,33,3.0,0.16946419594262935
2020-06-24,29,2.0,0.16946419594262935
2020-06-25,41,6.0,0.14868497516340856
2020-06-26,24,4.0,0.1572901266257029
2020-06-27,25,2.0,0.16062964425093482
2020-06-28,5,2.0,0.15587946831849292
2020-06-29,27,4.0,0.15445406445406465
2020-06-30,35,4.0,0.1354064454064456
2020-07-01,28,1.0,0.13780275877050094
2020-07-02,44,6.0,0.1592313301990724
2020-07-03,30,1.0,0.1559244518921941
2020-07-04,31,3.0,0.15745506413709204
2020-07-05,20,11.0,0.16200553297327516
2020-07-06,56,7.0,0.16633453730227948
2020-07-07,32,4.0,0.1734773944451366
2020-07-08,74,5.0,0.20360855360855384
2020-07-09,36,6.0,0.21075141075141096
2020-07-10,72,6.0,0.2082003903432477
2020-07-11,13,4.0,0.19714596857454023
2020-07-12,5,3.0,0.20865748008605173
2020-07-13,28,3.0,0.2081037702300163
2020-07-14,42,2.0,0.19905615118239725
2020-07-15,54,8.0,0.17765649820379692
2020-07-16,43,7.0,0.12051364106093977
2020-07-17,50,1.0,0.11897688177891372
2020-07-18,38,6.0,0.13080770106314915
2020-07-19,15,3.0,0.11678653704198513
2020-07-20,83,8.0,0.11176780515536604
2020-07-21,46,6.0,0.11367256706012795
2020-07-22,60,3.0,0.12172842098064351
2020-07-23,47,6.0,0.14077604002826255
2020-07-24,60,2.0,0.14684794670257886
2020-07-25,28,6.0,0.15678583490133663
2020-07-26,15,5.0,0.1679579960734978
2020-07-27,36,5.0,0.17204234257805706
2020-07-28,35,7.0,0.17748451944880533
2020-07-29,39,5.0,0.17238247863247882
2020-07-30,64,10.0,0.16871947496947517
2020-07-31,56,4.0,0.15840201465201487
2020-08-01,28,5.0,0.1417353479853482
2020-08-02,26,8.0,0.13640734265734286
2020-08-03,75,5.0,0.1236097236097238
2020-08-04,60,5.0,0.1274571642253143
2020-08-05,44,4.0,0.11493397313069464
2020-08-06,45,3.0,0.13446999266671417
2020-08-07,61,6.0,0.14417695237367387
2020-08-08,33,3.0,0.13647387114118087
2020-08-09,9,4.0,0.13961589041223238
2020-08-10,52,7.0,0.14574765818783578
2020-08-11,34,1.0,0.1392149329320734
2020-08-12,62,7.0,0.1651889589060994
2020-08-13,73,8.0,0.1289077797677774
2020-08-14,57,3.0,0.11952922728577665
2020-08-15,22,6.0,0.12802595931192046
2020-08-16,21,4.0,0.11739143254836142
2020-08-17,87,6.0,0.11013921659348633
2020-08-18,90,8.0,0.12199087964943127
2020-08-19,78,3.0,0.09165053034356473
2020-08-20,85,5.0,0.08437320080709898
2020-08-21,118,16.0,0.08268424936445296
2020-08-22,116,7.0,0.07625761366952458
2020-08-23,43,6.0,0.07963010324891072
2020-08-24,175,10.0,0.08431289239510355
2020-08-25,205,9.0,0.0738017900432444
2020-08-26,145,9.0,0.072993600388072
2020-08-27,131,12.0,0.061463406915334064
2020-08-28,129,8.0,0.06638629209994226
2020-08-29,128,7.0,0.08007249828973524
2020-08-30,51,3.0,0.08560195947276497
2020-08-31,131,12.0,0.08367652326774862
2020-09-01,136,19.0,0.0846317784392296
2020-09-02,129,13.0,0.09348594510589626
2020-09-03,128,10.0,0.1127323533466119
2020-09-04,131,9.0,0.11473049744328143
2020-09-05,120,14.0,0.11414297429843025
2020-09-06,31,6.0,0.11700442791686842
2020-09-07,161,17.0,0.1235777037789374
2020-09-08,118,16.0,0.13044713679201558
2020-09-09,149,18.0,0.14168225583963462
2020-09-10,145,18.0,0.13403248625438116
2020-09-11,137,16.0,0.1387604961508183
2020-09-12,128,25.0,0.13355768663367906
2020-09-13,50,7.0,0.12810615220105862
2020-09-14,137,19.0,0.1300765955508123
2020-09-15,121,12.0,0.12125624560677657
2020-09-16,121,10.0,0.11819918038938525
2020-09-17,145,20.0,0.11248489467509952
2020-09-18,109,6.0,0.11269078855340961
2020-09-19,92,16.0,0.11494349927007017
2020-09-20,30,3.0,0.11886451570151195
2020-09-21,157,22.0,0.11719059538011924
2020-09-22,87,10.0,0.12315178423565554
2020-09-23,109,12.0,0.11522435697184384
2020-09-24,103,13.0,0.12366591541340229
2020-09-25,124,12.0,0.11859788316421169
2020-09-26,76,9.0,0.11011402985277217
2020-09-27,44,7.0,0.11914854274049606
2020-09-28,172,18.0,0.11819877490596672
2020-09-29,108,6.0,0.1226758728281341
2020-09-30,150,26.0,0.12325129096531377
2020-10-01,184,22.0,0.13468550892127087
2020-10-02,281,36.0,0.13666655973953099
2020-10-03,147,18.0,0.1507851896476346
2020-10-04,92,22.0,0.14232242199023606
2020-10-05,270,32.0,0.14246558748955326
2020-10-06,285,44.0,0.14262059997594043
2020-10-07,298,34.0,0.15010837260255547
2020-10-08,423,51.0,0.1526815757968767
2020-10-09,387,50.0,0.15162337473867565
2020-10-10,366,64.0,0.14610066588940113
2020-10-11,210,54.0,0.14891917584371844
2020-10-12,495,55.0,0.14665062214564345
2020-10-13,674,78.0,0.14375044728215905
2020-10-14,680,91.0,0.13931658084682455
2020-10-15,640,67.0,0.15261480336163694
2020-10-16,753,82.0,0.15463471620319305
2020-10-17,737,106.0,0.1514240677775517
2020-10-18,217,76.0,0.14543110522150454
2020-10-19,998,125.0,0.14257439861378002
2020-10-20,1319,123.0,0.13831288138026002
2020-10-21,1415,130.0,0.13358868840608193
2020-10-22,1535,130.0,0.10616092302353881
2020-10-23,1758,139.0,0.10232317390292829
2020-10-24,1255,139.0,0.10114584843070785
2020-10-25,771,122.0,0.10126457287949495
2020-10-26,1921,189.0,0.10175537370932389
2020-10-27,2235,190.0,0.10372953788458263
2020-10-28,2330,216.0,0.10462443852518133
2020-10-29,2156,190.0,0.10943377443689024
2020-10-30,2207,205.0,0.11057142694265608
2020-10-31,1598,187.0,0.10945285870999388
2020-11-01,568,109.0,0.10894281014804082
2020-11-02,2567,273.0,0.1087437614711666
2020-11-03,2682,207.0,0.1080838590079697
2020-11-04,2816,251.0,0.10592830051568596
2020-11-05,2721,236.0,0.1083102049200962
2020-11-06,2787,246.0,0.10808778015470798
2020-11-07,2070,211.0,0.10708427831227997
2020-11-08,863,180.0,0.10771314255249985
2020-11-09,2462,258.0,0.10740794052909852
2020-11-10,2808,197.0,0.10804591545547908
2020-11-11,2769,259.0,0.10861521357736839
2020-11-12,2837,240.0,0.10312784656045329
2020-11-13,2642,245.0,0.10165692001531461
2020-11-14,2011,213.0,0.10433294769134228
2020-11-15,858,146.0,0.1051614599741887
2020-11-16,2889,273.0,0.10565114192594176
2020-11-17,2970,264.0,0.106221297748288
2020-11-18,2557,254.0,0.10355055035103636
2020-11-19,2647,233.0,0.10132145538623816
2020-11-20,2564,248.0,0.10295231427012519
2020-11-21,1800,157.0,0.10269718494858585
2020-11-22,647,100.0,0.10341492133275763
2020-11-23,2351,249.0,0.10685274301063467
2020-11-24,2078,181.0,0.10514965984613203
2020-11-25,2271,237.0,0.10757915775210404
2020-11-26,2159,242.0,0.11347645049255238
2020-11-27,2099,178.0,0.11393320000408372
2020-11-28,1679,175.0,0.11377563091292464
2020-11-29,577,113.0,0.11431480352916637
2020-11-30,1943,212.0,0.11159294332003598
2020-12-01,2000,172.0,0.11336122546712028
2020-12-02,2127,230.0,0.11291000361195704
2020-12-03,1838,171.0,0.10804966464416572
2020-12-04,1986,193.0,0.10836958065991402
2020-12-05,1682,170.0,0.12177111288163553
2020-12-06,550,89.0,0.12083995621145457
2020-12-07,1868,208.0,0.12167381938622199
2020-12-08,634,114.0,0.12267544151959874
2020-12-09,1919,195.0,0.12410986388148838
2020-12-10,1952,193.0,0.12629326187883988
2020-12-11,1670,174.0,0.1286775278060486
2020-12-12,1377,153.0,0.11734354033272291
2020-12-13,559,99.0,0.11781929648012902
2020-12-14,1851,237.0,0.12001052506888264
2020-12-15,1692,170.0,0.11972520229749752
2020-12-16,1658,174.0,0.12278776065417353
2020-12-17,1541,176.0,0.12405389558003918
2020-12-18,1595,163.0,0.11983017880437788
2020-12-19,1275,169.0,0.12043126587710508
2020-12-20,570,106.0,0.12006577304457676
2020-12-21,1899,187.0,0.11900642526799202
2020-12-22,1987,208.0,0.1339967954691755
2020-12-23,1885,193.0,0.13592799491524607
2020-12-24,1751,187.0,0.13093081926276692
2020-12-25,449,93.0,0.1297853157653751
2020-12-26,801,117.0,0.12886302751379172
2020-12-27,914,138.0,0.12741672297302697
2020-12-28,2399,217.0,0.1263050702096131
2020-12-29,2647,260.0,0.12474129974968451
2020-12-30,2417,223.0,0.11873709818114976
2020-12-31,2131,211.0,0.12065837458489805
2021-01-01,576,113.0,0.12030645752407408
2021-01-02,2105,219.0,0.11876344436645381
2021-01-03,821,135.0,0.12353078460178832
2021-01-04,2648,233.0,0.12335485732384588
2021-01-05,2608,228.0,0.10730856399335972
2021-01-06,788,99.0,0.10517010987340791
2021-01-07,2526,247.0,0.10302327486714644
2021-01-08,2230,187.0,0.10406237306708079
2021-01-09,1729,154.0,0.10391396256362825
2021-01-10,589,88.0,0.09685387296786994
2021-01-11,1795,171.0,0.10178628515431389
2021-01-12,1748,151.0,0.10512407148608517
2021-01-13,1627,124.0,0.10739995349880929
2021-01-14,1368,181.0,0.10911706835940368
2021-01-15,1371,147.0,0.11239876107232653
2021-01-16,1200,126.0,0.11362319682303734
2021-01-17,477,77.0,0.11661548962490566
2021-01-18,1497,177.0,0.11180960582116505
2021-01-19,1348,128.0,0.11207044056303964
2021-01-20,1338,130.0,0.11023475065567738
2021-01-21,1277,126.0,0.1109196453159881
2021-01-22,1238,135.0,0.10815539288934606
2021-01-23,1172,108.0,0.10823101238085046
2021-01-24,373,62.0,0.10811466591526454
2021-01-25,1527,151.0,0.10660062326823719
2021-01-26,1351,129.0,0.10441887697278658
2021-01-27,1204,116.0,0.10744778768432064
2021-01-28,1249,110.0,0.10477937975067297
2021-01-29,1269,119.0,0.1034847876712603
2021-01-30,1041,118.0,0.10090747095237204
2021-01-31,427,63.0,0.09970636070101424
2021-02-01,1425,128.0,0.09900287656539115
2021-02-02,1330,103.0,0.09889553801173889
2021-02-03,1285,113.0,0.0965469631276847
2021-02-04,1335,111.0,0.09382089375870728
2021-02-05,1462,136.0,0.0929883997793708
2021-02-06,1166,113.0,0.09513669895616937
2021-02-07,506,65.0,0.095272576913059
2021-02-08,1381,116.0,0.09626719600852764
2021-02-09,1503,139.0,0.09927062916365727
2021-02-10,1485,132.0,0.09868076969420239
2021-02-11,1476,133.0,0.10114147758187306
2021-02-12,1438,164.0,0.10329155122465385
2021-02-13,1261,117.0,0.10255717538973284
2021-02-14,556,81.0,0.10312874958516025
2021-02-15,1575,156.0,0.10471566573877185
2021-02-16,1809,158.0,0.10192859819965605
2021-02-17,1744,162.0,0.10355319853790142
2021-02-18,1808,183.0,0.10520583498926377
2021-02-19,1904,180.0,0.10623701460759714
2021-02-20,1901,198.0,0.10913796118270642
2021-02-21,655,103.0,0.11016957924675604
2021-02-22,2362,251.0,0.10860546052039333
2021-02-23,2759,297.0,0.10811072710790263
2021-02-24,2697,270.0,0.10697935449472472
2021-02-25,2836,256.0,0.10361417503429135
2021-02-26,2745,250.0,0.10190700066111735
2021-02-27,2338,225.0,0.10048970112839815
2021-02-28,920,123.0,0.0998000857209003
2021-03-01,3149,297.0,0.09998050879956515
2021-03-02,3387,331.0,0.10105195745872457
2021-03-03,3117,297.0,0.10095340763668412
2021-03-04,3070,281.0,0.10034142371267972
2021-03-05,3368,332.0,0.10123690665215178
2021-03-06,2627,251.0,0.10168069125587942
2021-03-07,1020,132.0,0.10353560609594889
2021-03-08,3082,310.0,0.1050321410013494
2021-03-09,3481,351.0,0.10404565997483242
2021-03-10,3205,347.0,0.10620140706924182
2021-03-11,2990,305.0,0.10724526211125862
2021-03-12,2989,274.0,0.10941801847560106
2021-03-13,2341,259.0,0.11013492127634361
2021-03-14,1280,175.0,0.10988517273988421
2021-03-15,2729,316.0,0.11035962700977683
2021-03-16,3042,322.0,0.1117979941411449
2021-03-17,2638,281.0,0.111589180144902
2021-03-18,2440,257.0,0.11471680782236704
2021-03-19,2359,240.0,0.1141700194045636
2021-03-20,1951,213.0,0.11453664678410755
2021-03-21,807,128.0,0.11555470984988828
2021-03-22,2340,262.0,0.11727171983889559
2021-03-23,2269,246.0,0.12120461528121525
2021-03-24,2235,254.0,0.1217047973062202
2021-03-25,2156,253.0,0.1229810873633952
2021-03-26,2050,265.0,0.12193951376084598
2021-03-27,1704,192.0,0.1228178679863491
2021-03-28,758,127.0,0.12118448558621116
2021-03-29,1968,206.0,0.11875695022732144
2021-03-30,1833,210.0,0.11535467508499456
2021-03-31,1898,194.0,0.11485285941006851
2021-04-01,1694,170.0,0.1219293846088296
2021-04-02,1669,176.0,0.1300334863265385
2021-04-03,1255,137.0,0.1280413196455916
2021-04-04,281,61.0,0.12784082865312021
2021-04-05,570,92.0,0.1306815133750305
2021-04-06,1610,162.0,0.13256793227482036
2021-04-07,1359,137.0,0.12940173990145667
2021-04-08,1339,161.0,0.12196841035224418
2021-04-09,1281,152.0,0.11304462910845604
2021-04-10,1000,87.0,0.11301567082694443
2021-04-11,412,68.0,0.11035431541346362
2021-04-12,1223,121.0,0.10788709766984404
2021-04-13,1195,120.0,0.10619006742617434
2021-04-14,1156,95.0,0.10972990259100952
2021-04-15,1078,111.0,0.1096550280059395
2021-04-16,1077,115.0,0.10973852672523457
2021-04-17,832,93.0,0.10953731114641428
2021-04-18,389,64.0,0.10933413914979909
2021-04-19,1045,104.0,0.10732568164273518
2021-04-20,1111,110.0,0.10617222465066589
2021-04-21,1003,81.0,0.10263338385109423
2021-04-22,1091,97.0,0.09836066428274484
2021-04-23,1003,99.0,0.09748562075626141
2021-04-24,862,75.0,0.09776311789373025
2021-04-25,364,49.0,0.09944631866239417
2021-04-26,1060,99.0,0.09967732698062329
2021-04-27,1050,106.0,0.09878899280890228
2021-04-28,1059,98.0,0.10088062010768901
2021-04-29,950,86.0,0.09220179892886783
2021-04-30,865,80.0,0.09501293871913956
2021-05-01,364,37.0,0.09553936094082253
2021-05-02,352,26.0,0.093223056710413
2021-05-03,849,96.0,0.09122367048975934
2021-05-04,841,88.0,0.08966859204219535
2021-05-05,773,59.0,0.08599730853366049
