date,intensive_care,deceased,deceduti/terapia intensiva 35gg
2020-02-20,6,5.0,
2020-02-21,2,0.0,
2020-02-22,3,0.0,
2020-02-23,4,2.0,
2020-02-24,10,6.0,
2020-02-25,46,26.0,
2020-02-26,19,10.0,
2020-02-27,26,16.0,
2020-02-28,40,30.0,
2020-02-29,48,26.0,
2020-03-01,57,34.0,
2020-03-02,78,46.0,
2020-03-03,92,53.0,
2020-03-04,107,61.0,
2020-03-05,109,54.0,
2020-03-06,141,75.0,
2020-03-07,127,70.0,
2020-03-08,119,64.0,0.5015926550496533
2020-03-09,159,85.0,0.498206599713056
2020-03-10,157,82.0,0.49657416923603975
2020-03-11,190,94.0,0.4947804473902237
2020-03-12,198,102.0,0.4923694779116466
2020-03-13,247,118.0,0.4902143522833178
2020-03-14,225,121.0,0.4884533576420541
2020-03-15,218,110.0,0.48689859363434496
2020-03-16,238,132.0,0.4873500072285673
2020-03-17,284,136.0,0.48455076178271395
2020-03-18,311,176.0,0.4838028169014085
2020-03-19,274,132.0,0.4836180341640997
2020-03-20,288,131.0,0.4824085662633848
2020-03-21,249,112.0,0.48009950248756217
2020-03-22,295,140.0,0.4796423658872077
2020-03-23,324,135.0,0.478534317746787
2020-03-24,306,154.0,0.47611202635914335
2020-03-25,340,139.0,0.4745341614906832
2020-03-26,245,106.0,0.4730330831248262
2020-03-27,264,121.0,0.4717912552891396
2020-03-28,200,87.0,0.4707644038790645
2020-03-29,194,81.0,0.46928426543031004
2020-03-30,223,97.0,0.46820126899808173
2020-03-31,190,85.0,0.46751284375944396
2020-04-01,192,84.0,0.46348618187432455
2020-04-02,188,98.0,0.462084187293079
2020-04-03,146,62.0,0.45903225806451614
2020-04-04,125,58.0,0.4580063449657706
2020-04-05,99,53.0,0.45043327556325824
2020-04-06,127,61.0,0.4476275738585497
2020-04-07,137,58.0,0.44611948632049137
2020-04-08,141,74.0,0.4444444444444444
2020-04-09,153,67.0,0.44219189080690485
2020-04-10,111,43.0,0.4431721798134012
2020-04-11,88,40.0,0.43743004253413925
2020-04-12,68,29.0,0.43925678894711767
2020-04-13,55,27.0,0.4371571072319202
2020-04-14,79,38.0,0.4359041853119242
2020-04-15,80,32.0,0.4356652949245542
2020-04-16,73,36.0,0.43615494978479197
2020-04-17,88,39.0,0.43267776096822996
2020-04-18,84,29.0,0.4325522482583914
2020-04-19,84,39.0,0.4301288404360753
2020-04-20,95,47.0,0.4234516353514266
2020-04-21,73,33.0,0.42175641488977234
2020-04-22,92,32.0,0.4186656671664168
2020-04-23,89,33.0,0.41274131274131276
2020-04-24,76,28.0,0.40682730923694777
2020-04-25,78,27.0,0.40370838600927095
2020-04-26,75,31.0,0.3946089262041538
2020-04-27,58,22.0,0.39104059729351376
2020-04-28,57,18.0,0.38905038759689925
2020-04-29,71,29.0,0.384807596201899
2020-04-30,57,15.0,0.3830005120327701
2020-05-01,53,24.0,0.37918410041841005
2020-05-02,46,19.0,0.3746630727762803
2020-05-03,34,13.0,0.37311767986614613
2020-05-04,43,7.0,0.3659378596087457
2020-05-05,43,21.0,0.3607937462417318
2020-05-06,61,20.0,0.3601003764115433
2020-05-07,35,13.0,0.35390676296782664
2020-05-08,39,12.0,0.3437283437283437
2020-05-09,26,8.0,0.3383838383838384
2020-05-10,21,5.0,0.3363984674329502
2020-05-11,27,5.0,0.3330605564648118
2020-05-12,20,3.0,0.3316151202749141
2020-05-13,31,9.0,0.3278538812785388
2020-05-14,33,12.0,0.32327166504381694
2020-05-15,32,8.0,0.31901840490797545
2020-05-16,25,7.0,0.317545748116254
2020-05-17,20,7.0,0.31170336037079954
2020-05-18,14,4.0,0.31533742331288345
2020-05-19,22,8.0,0.30569948186528495
2020-05-20,18,6.0,0.29850746268656714
2020-05-21,18,3.0,0.29254571026722925
2020-05-22,13,3.0,0.29821958456973297
2020-05-23,15,3.0,0.2839313572542902
2020-05-24,13,4.0,0.27702702702702703
2020-05-25,15,4.0,0.27256637168141595
2020-05-26,16,6.0,0.2669172932330827
2020-05-27,11,2.0,0.26666666666666666
2020-05-28,6,1.0,0.2692307692307692
2020-05-29,18,7.0,0.2736842105263158
2020-05-30,9,0.0,0.2801724137931034
2020-05-31,7,4.0,0.2814645308924485
2020-06-01,9,2.0,0.28087167070217917
2020-06-02,8,1.0,0.2813299232736573
2020-06-03,5,3.0,0.2849462365591398
2020-06-04,9,3.0,0.2773109243697479
2020-06-05,10,3.0,0.27793696275071633
2020-06-06,11,3.0,0.2735562310030395
2020-06-07,8,1.0,0.2616822429906542
2020-06-08,6,0.0,0.2621359223300971
2020-06-09,10,2.0,0.2631578947368421
2020-06-10,12,2.0,0.2646048109965636
2020-06-11,8,3.0,0.26334519572953735
2020-06-12,6,0.0,0.26492537313432835
2020-06-13,4,2.0,0.2548262548262548
2020-06-14,5,2.0,0.25984251968503935
2020-06-15,8,2.0,0.25793650793650796
2020-06-16,9,3.0,0.24786324786324787
2020-06-17,4,2.0,0.2608695652173913
2020-06-18,9,5.0,0.24888888888888888
2020-06-19,10,2.0,0.24770642201834864
2020-06-20,6,3.0,0.25471698113207547
2020-06-21,5,0.0,0.24285714285714285
2020-06-22,6,2.0,0.23529411764705882
2020-06-23,2,1.0,0.22727272727272727
2020-06-24,10,0.0,0.22459893048128343
2020-06-25,6,0.0,0.2265193370165746
2020-06-26,8,2.0,0.2303370786516854
2020-06-27,2,0.0,0.23255813953488372
2020-06-28,3,1.0,0.2331288343558282
2020-06-29,2,1.0,0.22784810126582278
2020-06-30,7,1.0,0.23529411764705882
2020-07-01,6,2.0,0.22666666666666666
2020-07-02,4,0.0,0.22448979591836735
2020-07-03,0,0.0,0.22302158273381295
2020-07-04,5,2.0,0.2222222222222222
2020-07-05,2,0.0,0.21323529411764705
2020-07-06,2,0.0,0.18045112781954886
2020-07-07,2,1.0,0.18110236220472442
2020-07-08,3,0.0,0.168
2020-07-09,3,0.0,0.17073170731707318
2020-07-10,4,0.0,0.17355371900826447
2020-07-11,0,0.0,0.16129032258064516
2020-07-12,2,0.0,0.18487394957983194
2020-07-13,3,0.0,0.1864406779661017
2020-07-14,4,1.0,0.17699115044247787
2020-07-15,3,0.0,0.1794871794871795
2020-07-16,3,1.0,0.17796610169491525
2020-07-17,1,0.0,0.16666666666666666
2020-07-18,1,0.0,0.17073170731707318
2020-07-19,2,1.0,0.16666666666666666
2020-07-20,0,0.0,0.16806722689075632
2020-07-21,5,2.0,0.17073170731707318
2020-07-22,5,1.0,0.1532258064516129
2020-07-23,6,0.0,0.15447154471544716
2020-07-24,4,1.0,0.16666666666666666
2020-07-25,4,1.0,0.1640625
2020-07-26,3,0.0,0.16153846153846155
2020-07-27,4,2.0,0.16541353383458646
2020-07-28,5,0.0,0.16546762589928057
2020-07-29,5,2.0,0.16551724137931034
2020-07-30,5,0.0,0.1836734693877551
2020-07-31,3,0.0,0.18
2020-08-01,6,1.0,0.17307692307692307
2020-08-02,4,1.0,0.1761006289308176
2020-08-03,4,0.0,0.16666666666666666
2020-08-04,10,2.0,0.1656441717791411
2020-08-05,3,1.0,0.16167664670658682
