date,hospitalizations,intensive_care,terapia intensiva/ricoveri 21gg
2020-02-20,92,9,
2020-02-21,123,10,
2020-02-22,106,12,
2020-02-23,151,18,
2020-02-24,191,28,
2020-02-25,267,53,
2020-02-26,273,27,
2020-02-27,317,49,
2020-02-28,379,68,
2020-02-29,374,67,
2020-03-01,441,68,0.13580331461443637
2020-03-02,669,95,0.1342510811963209
2020-03-03,816,108,0.13389885106839902
2020-03-04,914,142,0.133206609153385
2020-03-05,1096,149,0.13356379635449403
2020-03-06,1226,172,0.13206088230506266
2020-03-07,1203,146,0.13131650168687206
2020-03-08,1162,156,0.1304495681153506
2020-03-09,1459,193,0.12975686274509804
2020-03-10,1587,201,0.1277468929184737
2020-03-11,1756,212,0.12645440359186355
2020-03-12,1907,230,0.12687093487971163
2020-03-13,2332,300,0.1271821067248562
2020-03-14,1997,251,0.1273616253678914
2020-03-15,1908,260,0.12707309229567695
2020-03-16,2489,298,0.12564516852924015
2020-03-17,2668,350,0.12418530141104699
2020-03-18,2706,321,0.12336282418249632
2020-03-19,2786,349,0.12267201241593378
2020-03-20,2861,321,0.12135839018320677
2020-03-21,2544,297,0.1206582137263736
2020-03-22,2197,306,0.11991716461375844
2020-03-23,2714,367,0.11909999782187275
2020-03-24,2620,345,0.11789497156873675
2020-03-25,2316,308,0.11690561393111937
2020-03-26,2124,216,0.11580963951124922
2020-03-27,2233,232,0.11537996274163502
2020-03-28,1750,176,0.11417412120448532
2020-03-29,1438,158,0.11363337454296762
2020-03-30,1681,159,0.11314140605592204
2020-03-31,1584,168,0.1125080217023511
2020-04-01,1502,147,0.111411457533405
2020-04-02,1461,139,0.10888344507478082
2020-04-03,1266,119,0.10606898458560862
2020-04-04,1025,93,0.10264717793895659
2020-04-05,838,88,0.09962810726169505
2020-04-06,1019,110,0.09895531050493325
2020-04-07,1020,112,0.09929203539823009
2020-04-08,1038,110,0.09994864852247794
2020-04-09,998,128,0.09990708592107193
2020-04-10,914,79,0.1019767322145578
2020-04-11,817,67,0.1019091007701486
2020-04-12,666,57,0.1028463864012321
2020-04-13,624,58,0.10467211145808311
2020-04-14,847,64,0.10667670682730923
2020-04-15,700,65,0.10992306689268483
2020-04-16,701,58,0.11083445491251682
2020-04-17,711,89,0.11146920759475934
2020-04-18,571,73,0.11163878132534522
2020-04-19,466,60,0.11337365076934854
2020-04-20,658,97,0.11228183061208075
2020-04-21,596,66,0.11583142542186042
2020-04-22,595,71,0.11884807417974322
2020-04-23,582,79,0.12128551467163484
2020-04-24,550,76,0.12245290272971934
2020-04-25,427,79,0.12680349522454787
2020-04-26,360,49,0.13002439283062892
2020-04-27,432,54,0.1339553482172609
2020-04-28,434,49,0.13528656472510797
2020-04-29,414,63,0.13576767552995955
2020-04-30,368,43,0.13531059063136455
2020-05-01,274,49,0.13318982914032018
2020-05-02,240,34,0.133856022808268
2020-05-03,185,26,0.13436223331820246
2020-05-04,293,30,0.13507870221651141
2020-05-05,285,38,0.13495575221238937
2020-05-06,287,43,0.13142345568487018
2020-05-07,275,38,0.1315494011976048
2020-05-08,275,42,0.13096646942800788
2020-05-09,165,22,0.13284518828451883
2020-05-10,161,15,0.1311002661934339
2020-05-11,235,24,0.13281617301363421
2020-05-12,178,15,0.12878048780487805
2020-05-13,189,20,0.1278157428499114
2020-05-14,199,32,0.1263622210690192
2020-05-15,200,28,0.12955465587044535
2020-05-16,136,20,0.12868480725623582
2020-05-17,119,18,0.12657091561938957
2020-05-18,158,15,0.1253180661577608
2020-05-19,144,20,0.12188552188552189
2020-05-20,142,19,0.12123311395912713
2020-05-21,114,17,0.12207418077061577
2020-05-22,120,12,0.12334967936627687
2020-05-23,91,11,0.12662721893491125
2020-05-24,88,8,0.1265926839293054
2020-05-25,144,23,0.12278426286208387
2020-05-26,108,12,0.11812812358019083
2020-05-27,101,12,0.11542100283822138
2020-05-28,77,9,0.11432777232580962
2020-05-29,101,10,0.11414141414141414
2020-05-30,82,10,0.11163522012578617
2020-05-31,51,4,0.11056644880174292
2020-06-01,109,12,0.10955056179775281
2020-06-02,62,9,0.10841983852364476
2020-06-03,87,7,0.10446009389671361
2020-06-04,79,8,0.10497900419916016
2020-06-05,88,4,0.09792843691148775
2020-06-06,49,4,0.09752925877763328
2020-06-07,43,7,0.09381237524950099
2020-06-08,100,8,0.0903010033444816
2020-06-09,72,7,0.09109449354180829
2020-06-10,70,9,0.0898876404494382
2020-06-11,58,9,0.08968926553672317
2020-06-12,74,5,0.08855291576673865
2020-06-13,61,1,0.08689355539464157
2020-06-14,51,5,0.08778346744696415
2020-06-15,70,4,0.08560885608856089
2020-06-16,53,6,0.08902077151335312
2020-06-17,66,3,0.08744394618834081
2020-06-18,69,3,0.08534743202416918
2020-06-19,77,9,0.08135072908672294
2020-06-20,35,4,0.08281733746130031
2020-06-21,43,3,0.08313725490196078
2020-06-22,82,8,0.07866043613707165
2020-06-23,54,6,0.07644305772230889
2020-06-24,73,7,0.0794912559618442
2020-06-25,67,4,0.07802547770700637
2020-06-26,81,8,0.07532051282051282
2020-06-27,39,1,0.0742811501597444
2020-06-28,29,3,0.07532051282051282
2020-06-29,79,1,0.07542579075425791
2020-06-30,61,8,0.07377049180327869
2020-07-01,53,8,0.06974858069748581
2020-07-02,67,4,0.07008964955175224
2020-07-03,72,2,0.06870860927152318
2020-07-04,37,3,0.06556016597510374
2020-07-05,49,3,0.06286672254819782
2020-07-06,62,0,0.0650887573964497
2020-07-07,57,5,0.06160337552742616
2020-07-08,62,4,0.06113902847571189
2020-07-09,54,2,0.059117402164862616
2020-07-10,64,6,0.06365159128978225
2020-07-11,48,0,0.06239600665557404
2020-07-12,37,3,0.05930807248764415
2020-07-13,63,5,0.062034739454094295
2020-07-14,51,2,0.0651085141903172
2020-07-15,61,3,0.06639344262295081
2020-07-16,57,6,0.06661184210526316
2020-07-17,83,4,0.07095709570957096
2020-07-18,48,1,0.07054963084495489
2020-07-19,36,1,0.06984387838948233
2020-07-20,72,6,0.0734094616639478
2020-07-21,69,7,0.07263922518159806
2020-07-22,65,5,0.07955449482895784
2020-07-23,62,7,0.08116627265563436
2020-07-24,61,5,0.08133230054221534
2020-07-25,59,6,0.08224442736356649
2020-07-26,45,3,0.08188021228203184
2020-07-27,58,5,0.07890743550834597
2020-07-28,64,5,0.07904834996162702
2020-07-29,60,3,0.08073115003808073
2020-07-30,63,7,0.08146487294469357
2020-07-31,77,6,0.0837037037037037
2020-08-01,66,10,0.08128262490678598
2020-08-02,49,6,0.07883211678832117
2020-08-03,85,7,0.07775377969762419
2020-08-04,61,4,0.08085106382978724
2020-08-05,79,4,0.08138711960368011
2020-08-06,56,2,0.08292682926829269
2020-08-07,68,3,0.08571428571428572
2020-08-08,58,4,0.08712871287128712
2020-08-09,61,4,0.08827238335435057
2020-08-10,84,10,0.08530510585305105
2020-08-11,60,3,0.0862600123228589
2020-08-12,94,4,0.0817910447761194
2020-08-13,81,7,0.07925407925407925
2020-08-14,82,11,0.07692307692307693
2020-08-15,62,7,0.07784431137724551
2020-08-16,67,7,0.0793483972674724
2020-08-17,93,12,0.081067472306143
2020-08-18,109,11,0.08414396887159534
2020-08-19,131,11,0.08499525166191833
2020-08-20,83,4,0.08754052802223251
2020-08-21,94,9,0.08443032228778938
2020-08-22,118,7,0.0840958605664488
2020-08-23,90,5,0.08589473684210526
2020-08-24,124,6,0.08888888888888889
2020-08-25,143,12,0.08629441624365482
2020-08-26,145,12,0.08578987150415722
2020-08-27,139,12,0.08472068072512023
2020-08-28,138,15,0.08383658969804618
2020-08-29,108,10,0.08130646282140375
2020-08-30,114,14,0.08498293515358361
2020-08-31,128,7,0.08519003931847968
2020-09-01,152,10,0.08690136378052649
2020-09-02,174,15,0.08856432566811684
2020-09-03,181,23,0.08936685852771888
2020-09-04,168,12,0.09120329508679023
2020-09-05,147,13,0.09192439862542956
2020-09-06,124,9,0.091494124230554
2020-09-07,205,19,0.09172563962983124
2020-09-08,172,9,0.09167991520932697
2020-09-09,183,26,0.09291461199065663
2020-09-10,205,15,0.09114183307731695
2020-09-11,195,23,0.09140586189766518
2020-09-12,183,18,0.09112942317014057
2020-09-13,173,15,0.0907358894974994
2020-09-14,222,21,0.08843537414965986
2020-09-15,236,23,0.08917927556166896
2020-09-16,227,18,0.08889891696750903
2020-09-17,239,22,0.09135363414092021
2020-09-18,238,24,0.09326311169629142
2020-09-19,187,22,0.09564657945528629
2020-09-20,167,12,0.09523809523809523
2020-09-21,248,19,0.09616178291374329
2020-09-22,252,18,0.09651581898277933
2020-09-23,247,20,0.09692396982008125
2020-09-24,245,19,0.09926677946982515
2020-09-25,267,24,0.10005427899402931
2020-09-26,217,18,0.10126582278481013
2020-09-27,191,26,0.10467631885505076
2020-09-28,263,33,0.10322888500079529
2020-09-29,278,30,0.10562953995157386
2020-09-30,245,30,0.10470605063653268
2020-10-01,326,31,0.10654079568442347
2020-10-02,343,39,0.10726468730259002
2020-10-03,358,37,0.11012747875354108
2020-10-04,323,42,0.11201854099988964
2020-10-05,430,46,0.11473058799426347
2020-10-06,476,54,0.11608766389128146
2020-10-07,469,63,0.11600846262341326
2020-10-08,517,42,0.1166434254778115
2020-10-09,559,73,0.11671709531013616
2020-10-10,570,56,0.11652719665271967
2020-10-11,591,70,0.11845499097240134
2020-10-12,748,78,0.11895064686152372
2020-10-13,809,102,0.12014388489208633
2020-10-14,836,102,0.12337998963193364
2020-10-15,946,124,0.12493939687772714
2020-10-16,954,117,0.12671927846674183
2020-10-17,1112,121,0.12751479289940829
2020-10-18,1038,132,0.12968768601928649
2020-10-19,1292,154,0.13088438421622428
2020-10-20,1398,158,0.13136024125959953
2020-10-21,1413,196,0.13375308148444268
2020-10-22,1514,180,0.13473006154532988
2020-10-23,1717,224,0.13703770958174444
2020-10-24,1578,246,0.13850806451612904
2020-10-25,1659,239,0.13982237815909215
2020-10-26,1979,279,0.1416515973477999
2020-10-27,1961,261,0.1438090927378797
2020-10-28,2008,314,0.14578465732087229
2020-10-29,2105,280,0.14759300040254789
2020-10-30,2289,313,0.14942793342388178
