date,hospitalizations,deceased,deceduti/ricoveri 21gg
2020-02-20,92,43.0,
2020-02-21,123,48.0,
2020-02-22,108,28.0,
2020-02-23,151,42.0,
2020-02-24,191,62.0,
2020-02-25,267,105.0,
2020-02-26,273,90.0,
2020-02-27,317,119.0,
2020-02-28,380,126.0,
2020-02-29,374,152.0,
2020-03-01,441,156.0,0.3427143248425089
2020-03-02,669,237.0,0.3401948842874543
2020-03-03,817,308.0,0.33683928092299437
2020-03-04,914,310.0,0.3365169086833642
2020-03-05,1096,372.0,0.3372980251346499
2020-03-06,1226,402.0,0.3338621755756244
2020-03-07,1203,416.0,0.3309243199169817
2020-03-08,1161,401.0,0.3274643099932019
2020-03-09,1458,502.0,0.3227343994982753
2020-03-10,1585,504.0,0.3208134528104271
2020-03-11,1758,582.0,0.31730742919688054
2020-03-12,1908,624.0,0.3166496958303961
2020-03-13,2338,739.0,0.31332408049965305
2020-03-14,1995,657.0,0.30924142511504343
2020-03-15,1909,651.0,0.30817436815646304
2020-03-16,2493,754.0,0.3049669245431102
2020-03-17,2667,827.0,0.301764770360627
2020-03-18,2711,795.0,0.2993089703875398
2020-03-19,2787,777.0,0.2976336584630622
2020-03-20,2862,861.0,0.29496711160628203
2020-03-21,2547,721.0,0.292982305813804
2020-03-22,2197,688.0,0.2905872472381937
2020-03-23,2716,751.0,0.28785737580171755
2020-03-24,2627,703.0,0.2849002849002849
2020-03-25,2319,698.0,0.28282230916204165
2020-03-26,2128,547.0,0.2802097902097902
2020-03-27,2246,567.0,0.2785714285714286
2020-03-28,1751,468.0,0.2769586295245033
2020-03-29,1441,407.0,0.27529091099695985
2020-03-30,1688,446.0,0.2747814613227775
2020-03-31,1594,414.0,0.2727800516705855
2020-04-01,1513,399.0,0.2722133952578832
2020-04-02,1466,370.0,0.2704166666666667
2020-04-03,1271,299.0,0.2714781354127306
2020-04-04,1031,291.0,0.2719894713753016
2020-04-05,845,238.0,0.2692009008309389
2020-04-06,1033,277.0,0.26970630519613886
2020-04-07,1038,309.0,0.27050939512066924
2020-04-08,1056,273.0,0.2702465601625266
2020-04-09,1009,269.0,0.27072357291314225
2020-04-10,933,262.0,0.2715440540952768
2020-04-11,826,233.0,0.2728099748488254
2020-04-12,669,216.0,0.27382625808265393
2020-04-13,627,217.0,0.27431274017144547
2020-04-14,870,240.0,0.27551524126866594
2020-04-15,719,191.0,0.27393310265282583
2020-04-16,719,180.0,0.27459666754826767
2020-04-17,732,177.0,0.2729523416546317
2020-04-18,578,145.0,0.26925283235336295
2020-04-19,472,155.0,0.26906604553309793
2020-04-20,668,186.0,0.2682234143262859
2020-04-21,612,171.0,0.26689947617859816
2020-04-22,611,171.0,0.26524017467248906
2020-04-23,596,140.0,0.2611906281338317
