date,Rt_confirmed,Rt_confirmed_err68perc,Rt_symptomatic,Rt_symptomatic_err68perc
2021-02-07,1.011153332220955,0.013655939342895806,1.0210922277313963,0.017586846834700083
2021-02-08,0.9925591711008019,0.011226254269469655,0.9939665554290115,0.014111146668202013
2021-02-09,0.9725839381904872,0.011957499742786327,0.9670194364817963,0.015700905119883105
2021-02-10,0.9564983441948844,0.015791416661155206,0.9456667656559962,0.02009039925353024
2021-02-11,0.9434071867324557,0.017227577035324775,0.9258083546870828,0.022667851049671082
2021-02-12,0.9330258021316383,0.01907439194210857,0.9115653248046597,0.024971742349632748
2021-02-13,0.9229301428218517,0.021044942226149707,0.8997379350267423,0.02691250844718174
2021-02-14,0.9162359955232281,0.022356740890042397,0.889288729342974,0.02872012255006251
2021-02-15,0.9160319894940364,0.022406342039542185,0.8872042012765355,0.029185125057673383
2021-02-16,0.9146873803076923,0.02272881476479692,0.8841280154770221,0.02989098542890578
2021-02-17,0.9172073154738151,0.022154229241656317,0.885254820203472,0.029631074045590525
2021-02-18,0.926171289436812,0.02078201622845872,0.8961664507097845,0.028044102106606596
2021-02-19,0.9408451434782552,0.019070994140214795,0.9136574108637158,0.025686066578427875
2021-02-20,0.9600509314854471,0.017335119080067598,0.9355814811567325,0.02275388284112749
2021-02-21,0.9847020599129085,0.017529768422648945,0.9653330130315735,0.021086987593140413
2021-02-22,1.0099551892399976,0.017097178340933293,0.9949781180196733,0.019460457441409302
2021-02-23,1.0332160408554105,0.019222638741851927,1.0222765639863955,0.02100000113220453
2021-02-24,1.0500242227963592,0.022244952024859356,1.0454864434871483,0.02441562213393962
2021-02-25,1.0656004534293204,0.02380892252871043,1.0662134100149583,0.026859991151837948
2021-02-26,1.0842999391120782,0.027722822826444043,1.091183191299973,0.03182969740602866
2021-02-27,1.1014078801298146,0.032282171947408345,1.1150976494205673,0.037467326392022604
2021-02-28,1.113258637553323,0.035462811704356945,1.1325101854491684,0.04199066333023205
2021-03-01,1.1246964826285542,0.03912954096310873,1.1497406449661476,0.04752929537909731
2021-03-02,1.1360880561367044,0.043444784637515575,1.1643106183872187,0.05307571932487371
2021-03-03,1.1416754955349104,0.04554374715202958,1.1683860181471453,0.05464493009113037
2021-03-04,1.1434263538954335,0.046109744265217176,1.1681855157920555,0.054582575606699844
2021-03-05,1.1426921714220424,0.04588786498842601,1.1625750383240674,0.0529262407741858
2021-03-06,1.1393351333076789,0.04490628011407069,1.1529218241881538,0.050034998789872706
2021-03-07,1.1331783528108221,0.043436130759640604,1.1412089561807481,0.04717391662019136
2021-03-08,1.1235226639379945,0.04082698676690301,1.127027681002266,0.043275835113622416
2021-03-09,1.1161694207687562,0.03876085304164146,1.1141383014157107,0.03965716737851107
2021-03-10,1.1127462726825452,0.03766444254607636,1.105284458922168,0.03689528176433217
2021-03-11,1.10004805853115,0.03291248209827474,1.089465264224825,0.031168444023760185
2021-03-12,1.0937897305928,0.030616807966113855,1.0803711146583443,0.027850776197911237
2021-03-13,1.0898973711631577,0.029234434568950297,1.0718553958058226,0.024769250252014957
2021-03-14,1.0824376688957764,0.026452946670558263,1.061432683618987,0.020747761668646676
2021-03-15,1.079254258490867,0.02537797869251865,1.057736153059104,0.019562971469270087
2021-03-16,1.082672583103985,0.026222169876178515,1.0611778491616488,0.020188278178224252
2021-03-17,1.0879687511288654,0.027446991479269683,1.0675429130096181,0.021278038617816103
2021-03-18,1.0935527538837493,0.029049705888698093,1.0749206307800845,0.023466377121384184
2021-03-19,1.096918139806929,0.030020055253693438,1.0814321130553297,0.025514744007280724
2021-03-20,1.1040055490606324,0.03231699327482755,1.0931179093156107,0.029477150362163463
2021-03-21,1.1041687321387215,0.0323767143515529,1.0978006409529744,0.031218404409751536
2021-03-22,1.1083819900708964,0.034002433373319076,1.1082685372821377,0.03517212014055377
2021-03-23,1.1125944555204426,0.035544958882843654,1.118488631709967,0.03881234935639261
2021-03-24,1.1169837478635685,0.03686879139890825,1.1292649415157496,0.04208803454848389
2021-03-25,1.1216645368041445,0.038314831010922076,1.138239654467583,0.04475388376403739
2021-03-26,1.122683104801588,0.03859350828117923,1.1433535369139542,0.04610033340595861
2021-03-27,1.1191431963660425,0.03769873752150527,1.1433552429296532,0.04610077292914755
2021-03-28,1.1199822967747823,0.03794860195436832,1.1472482260554409,0.04727017702759465
2021-03-29,1.1177638926972062,0.037280062598845046,1.1438509026207713,0.04625669517533335
2021-03-30,1.112538150332542,0.03554113110555555,1.1351615698279744,0.04329958902727357
2021-03-31,1.1016867164668294,0.03194309568105119,1.119447127212137,0.037847274228688346
2021-04-01,1.0997580992701061,0.031240599573716176,1.11508222675463,0.03622548437314228
2021-04-02,1.095586989014228,0.02966116725844959,1.1085532279709145,0.03378939061318151
2021-04-03,1.0913399613123074,0.02829195978864836,1.1016829436354152,0.03155970017181809
2021-04-04,1.0859246461972702,0.02660330028618434,1.0926393830140073,0.02868163466081141
2021-04-05,1.0760987389166345,0.02464018643382733,1.0792234533031464,0.025881399742841732
2021-04-06,1.0660868979473495,0.022895287767372947,1.0662637730247515,0.023564070459892856
2021-04-07,1.050386152463735,0.020202930555215798,1.0491837829320465,0.02092234964189823
2021-04-08,1.0419086186420636,0.018637356009523286,1.0393633050546005,0.019009805735317797
2021-04-09,1.0286468724756808,0.015977606704047864,1.02437303100995,0.015908779086532234
2021-04-10,1.0141799500555357,0.011751423308379059,1.0095379857430913,0.011856824581251377
2021-04-11,1.0013556795572054,0.010323413475831595,0.9978188844584763,0.010999908299625612
2021-04-12,0.990782874716186,0.009247446141848213,0.9882762076503698,0.009834514889277803
2021-04-13,0.9816907513413516,0.009427740432020673,0.9808454965681641,0.009887187802327111
2021-04-14,0.9715987255531502,0.009560513758653265,0.9725021665418273,0.009896172936563596
2021-04-15,0.9646646897149057,0.011503252247996957,0.9672844183318361,0.011421146744677826
2021-04-16,0.9611942046466219,0.01258271662052519,0.9653604548709709,0.012019499648372551
2021-04-17,0.9548178831670021,0.014575714751013824,0.9604870726956497,0.01358752053645206
2021-04-18,0.9523959788995728,0.01528208650085823,0.9596983163656876,0.013819115980946105
2021-04-19,0.9493092188809747,0.01572882682976387,0.9563663497635851,0.014292884003813934
2021-04-20,0.9438530241054359,0.016664604773896155,0.9501379412563085,0.015356085319886753
2021-04-21,0.9393765619981956,0.017230487989553456,0.9442846303169261,0.016014537819608345
2021-04-22,0.9366511940077574,0.017833906924967537,0.9411245045052323,0.016745267973221553
2021-04-23,0.9391889297281959,0.017389444294348383,0.9421351327130897,0.016564524180572925
2021-04-24,0.944315566197728,0.01612815342097437,0.945310107268844,0.01579549474846631
2021-04-25,0.9458742923966794,0.0157795439946514,0.9443512821356098,0.016004172071104293
2021-04-26,0.951004922149575,0.014460616067331853,0.948539806883516,0.014901356964824915
2021-04-27,0.9572570317225226,0.012843213222139136,0.9562250419727,0.01310068934273584
2021-04-28,0.9672972047843661,0.00992712327401107,0.9683267185286873,0.010000536932648314
2021-04-29,0.9674498902874296,0.00987874045049956,0.9675984635034669,0.010218865021626526
2021-04-30,0.9628038664168282,0.011505574886294313,0.9628765421808563,0.011819729353374667
2021-05-01,0.9580929398866785,0.012464389383442064,0.9598268866879486,0.012369519148014995
2021-05-02,0.9518001493106941,0.013869600973950005,0.9557240226001686,0.013294409525400019
2021-05-03,0.9470130965038395,0.015373783842233372,0.953773457740484,0.013877394893037926
2021-05-04,0.9396999438622529,0.01725418488128035,0.9508860916458299,0.014545036952916176
2021-05-05,0.9299405997126603,0.020148754970407478,0.9448909044505972,0.016403650151406362
2021-05-06,0.9109380124576693,0.025012057772209415,0.9279037848099367,0.021143980582519744
2021-05-07,0.8900526240304485,0.030799769807411847,0.9087695379289629,0.026805811235247026
2021-05-08,0.8692004479753119,0.035391563946734414,0.889920176351976,0.031098748900368525
2021-05-09,0.8521966881671883,0.038486662795430206,0.8739349543834957,0.03401188403886662
2021-05-10,0.826517586759876,0.04379550746865178,0.8492977054305527,0.03917535871954728
2021-05-11,0.7930144082827283,0.050935538702754385,0.8167905848117623,0.04678487628387355
2021-05-12,0.7606835776131434,0.05719597698578919,0.7854261444877607,0.053498317688174195
2021-05-13,0.7302596809978755,0.06179883837863197,0.756945480443562,0.05789498789158038
2021-05-14,0.705403902185682,0.06467534833765821,0.7324939861425626,0.060830178621150255
2021-05-15,0.6837416838005648,0.06730178820765616,0.7082796936713291,0.06414334286531127
2021-05-16,0.6701663469287034,0.06873482656179994,0.6906411606649578,0.06620314077698437
2021-05-17,0.6551278640640789,0.07032094386648781,0.6716369399637353,0.06842788103702772
2021-05-18,0.6425608585625372,0.07170255401550991,0.6563813744234648,0.07028851323002368
2021-05-19,0.6388212725332567,0.07206044147679352,0.651277949095262,0.07080631666576263
2021-05-20,0.6386593224394698,0.07207561106348644,0.6506462838155095,0.07086526716249421
2021-05-21,0.6361634785363499,0.07231061969546448,0.6491802356310664,0.07100139586606549
2021-05-22,0.6366469364512507,0.0722590622083258,0.6503990739911136,0.0708683222313977
2021-05-23,0.6465969602625217,0.07101144011136674,0.6598993177152079,0.06961844575306293
2021-05-24,0.660277452878382,0.06939136091581763,0.673697574822262,0.06787346172716882
2021-05-25,0.6795526910438324,0.06752223553442115,0.6904885778445129,0.06614604881515072
2021-05-26,0.6942221098107355,0.0659864370763322,0.7032619171417923,0.06478204634009896
2021-05-27,0.712203317257881,0.0638929489017425,0.7189560094295954,0.0626779844352671
2021-05-28,0.7299480121559468,0.06113638401894723,0.7374729518232671,0.05952790832074533
2021-05-29,0.7399708344779076,0.05947480067171125,0.746240558734438,0.0580172892920725
2021-05-30,0.7524213054047159,0.05710416724744087,0.7572120253222417,0.055900207381541424
2021-05-31,0.7557586554689044,0.05644995342647678,0.7589531149820844,0.05556822340300274
2021-06-01,0.7548476719308865,0.05660698418713646,0.7534165763026103,0.056489429962589106
2021-06-02,0.7462201667813558,0.058345518513330384,0.7387008908898669,0.059419271886608956
2021-06-03,0.7375200823001616,0.059970507309661594,0.722051879788624,0.0625708892424831
2021-06-04,0.726936471377059,0.061647286064658906,0.7030300642244178,0.06563335332059694
2021-06-05,0.7129164150231911,0.06340624751507394,0.6817786875402211,0.068194555231491
2021-06-06,0.6970570099573972,0.06503471936467264,0.6610134502766318,0.07003529441822502
2021-06-07,0.6676337242010463,0.06878544361497385,0.6259493817478696,0.07378888328555934
2021-06-08,0.6444401340308161,0.07192180583311666,0.5971041455664331,0.076799298437479
2021-06-09,0.6272498003537005,0.07378694296093705,0.5745826153268868,0.07858689572128626
2021-06-10,0.6034004668368346,0.0764803593544595,0.5497735078214574,0.08020721390888075
2021-06-11,0.5812007442719371,0.07832615328357793,0.5267969503359528,0.08127289741107424
2021-06-12,0.5665455367090307,0.07919624316695295,0.5130127320834835,0.08165355164931098
2021-06-13,0.5585550098351784,0.07958620914449907,0.5069235773270636,0.08178520945468408
2021-06-14,0.5590190865395823,0.07956896715385849,0.5141300041162513,0.08167544386627945
2021-06-15,0.5563314474031739,0.07972444418760449,0.5182754043179906,0.08151432760954873
2021-06-16,0.5551298018779589,0.07977160972290945,0.5250720621340937,0.0813445099222923
2021-06-17,0.5558597373237921,0.07973905423589475,0.5400122136641963,0.0809899107394697
2021-06-18,0.5517600470082726,0.08000092115926967,0.5502679324897644,0.08051295460826065
2021-06-19,0.5424856599971603,0.08075995697154821,0.5492874902794708,0.08059315156241045
2021-06-20,0.5221034228105982,0.08269927426494383,0.530519515577249,0.0826939260599865
2021-06-21,0.4996904999213346,0.08374911925451087,0.5098957687650292,0.08387176910474028
2021-06-22,0.4773744195012687,0.084117311377771,0.4856731305321979,0.08452911768697963
2021-06-23,0.4521730955523116,0.08435894747396856,0.4597278115167113,0.08482526364378493
2021-06-24,0.41641268708981904,0.08351306620451078,0.4293717113676219,0.08433181652476578
2021-06-25,0.3898686571394681,0.08214920656467284,0.40774733977619904,0.08333488127629335
2021-06-26,0.3748327014846603,0.08116716948644714,0.3991260948930087,0.08282338255535848
2021-06-27,0.3524207895895704,0.07972046700876198,0.3815630177198989,0.08185206362195785
2021-06-28,0.33016714256229013,0.07821371890587084,0.35901790342602014,0.0807308917064012
2021-06-29,0.3286337328616197,0.07806330515757383,0.34790439795794664,0.07983055832939912
2021-06-30,0.3295634209942786,0.07814047062890857,0.33433027563058676,0.07885898650638007
2021-07-01,0.33359145359974546,0.07843583623515424,0.3389415917306986,0.07917662429627804
2021-07-02,0.3695115547387962,0.08139167499923074,0.3828283832238822,0.08243615886759693
2021-07-03,0.4213729966729674,0.08501791955891343,0.44085734088374484,0.08596935004391341
2021-07-04,0.4773284312683531,0.08873155346819718,0.49620935288605816,0.08963644841421456
2021-07-05,0.5511685399136413,0.0909905475692296,0.5702913785004887,0.09198714967991044
2021-07-06,0.6490775809034427,0.09059416723034948,0.6646677211184377,0.09298537060997175
2021-07-07,0.7621432613133644,0.09004414174031487,0.7788332117979028,0.0952802506437169
2021-07-08,0.881289992065487,0.08941902567578265,0.8999922490670192,0.0990949393054227
2021-07-09,1.0036062515455317,0.08630742190734071,1.0283207125613383,0.1010618189356589
2021-07-10,1.153007607252172,0.09234296193669474,1.1935276493805016,0.11334089085246561
2021-07-11,1.2685911955880107,0.11218614334106326,1.331090515775534,0.1384014375964544
2021-07-12,1.335379711353423,0.1321685427869943,1.4130308247508265,0.16377242438458606
2021-07-13,1.3949403414374772,0.1469728279810275,1.479707618955189,0.1842209059629052
2021-07-14,1.4024823539715996,0.14962144712915265,1.4756433755745002,0.18253179866271466
2021-07-15,1.359458868476584,0.13049664613196998,1.4286738917878319,0.16012170915244137
2021-07-16,1.3381016553558858,0.1218525379277423,1.3978485535912368,0.14732813457513957
2021-07-17,1.3201422553188296,0.11471464145625664,1.3714575343602537,0.1366107223859251
2021-07-18,1.3196594676156275,0.11451124644177006,1.3646570527712414,0.13369710579400548
2021-07-19,1.31714138072394,0.11332655914628076,1.3479132864649277,0.1258845313707808
