days,incidence
0.0,292
1.0,465
2.0,425
3.0,491
4.0,514
5.0,528
6.0,533
7.0,521
8.0,485
9.0,461
10.0,449
11.0,418
12.0,380
13.0,382
14.0,319
15.0,303
16.0,308
17.0,307
18.0,287
19.0,207
20.0,220
21.0,213
22.0,194
23.0,187
24.0,156
25.0,152
26.0,154
27.0,135
28.0,118
29.0,104
30.0,127
31.0,83
32.0,77
33.0,90
34.0,86
35.0,72
36.0,57
37.0,65
38.0,63
39.0,52
40.0,59
41.0,37
42.0,48
43.0,42
44.0,36
45.0,33
46.0,28
47.0,33
48.0,23
49.0,23
50.0,22
51.0,22
52.0,17
53.0,23
54.0,16
55.0,16
56.0,14
57.0,15
58.0,17
59.0,17
60.0,10
61.0,9
62.0,12
63.0,9
64.0,9
65.0,11
66.0,6
67.0,6
68.0,6
69.0,4
70.0,6
71.0,3
72.0,9
73.0,6
74.0,6
75.0,6
76.0,5
77.0,9
78.0,1
79.0,10
80.0,5
81.0,4
82.0,2
83.0,6
84.0,4
85.0,4
86.0,2
87.0,4
88.0,2
89.0,3
90.0,4
91.0,1
92.0,5
93.0,1
94.0,3
95.0,2
96.0,4
97.0,2
98.0,4
99.0,0
100.0,2
101.0,2
102.0,1
103.0,3
104.0,3
105.0,2
106.0,1
107.0,2
108.0,0
109.0,3
110.0,0
111.0,2
112.0,2
113.0,1
114.0,1
115.0,0
116.0,0
117.0,1
118.0,1
119.0,1
120.0,0
121.0,2
122.0,1
123.0,0
124.0,3
125.0,1
126.0,0
127.0,1
128.0,3
129.0,1
130.0,3
131.0,1
132.0,1
133.0,0
134.0,0
135.0,0
136.0,2
137.0,0
138.0,0
139.0,1
140.0,0
141.0,0
142.0,0
143.0,0
144.0,0
145.0,3
146.0,2
147.0,0
148.0,1
149.0,0
150.0,0
151.0,0
152.0,1
153.0,2
154.0,0
155.0,0
156.0,1
157.0,0
158.0,0
159.0,0
160.0,0
161.0,1
162.0,0
163.0,0
164.0,0
165.0,0
166.0,1
167.0,0
168.0,1
169.0,0
170.0,0
171.0,0
172.0,1
173.0,0
174.0,0
175.0,0
176.0,2
177.0,1
178.0,1
179.0,0
180.0,0
181.0,0
182.0,0
183.0,0
184.0,0
185.0,0
186.0,0
187.0,0
188.0,0
189.0,0
190.0,0
191.0,0
192.0,0
193.0,0
194.0,1
195.0,0
196.0,0
197.0,0
198.0,0
199.0,0
200.0,0
201.0,0
202.0,0
203.0,0
204.0,0
205.0,0
206.0,0
207.0,0
208.0,0
209.0,0
210.0,1
211.0,0
212.0,1
213.0,1
214.0,0
215.0,0
216.0,0
217.0,0
218.0,0
219.0,0
220.0,0
221.0,0
222.0,0
223.0,0
224.0,0
225.0,0
226.0,0
227.0,0
228.0,0
229.0,0
230.0,0
231.0,0
232.0,0
233.0,0
234.0,0
235.0,0
236.0,0
237.0,0
238.0,0
239.0,0
240.0,0
241.0,0
242.0,0
243.0,0
244.0,0
245.0,0
246.0,0
247.0,0
248.0,0
249.0,0
250.0,0
251.0,0
252.0,0
253.0,0
254.0,0
255.0,0
256.0,0
257.0,0
258.0,0
259.0,0
260.0,0
261.0,1
262.0,0
263.0,0
264.0,0
265.0,0
266.0,0
267.0,0
268.0,1
269.0,0
270.0,0
271.0,0
272.0,0
273.0,0
274.0,0
275.0,0
276.0,0
277.0,0
278.0,0
279.0,0
280.0,0
281.0,0
282.0,0
283.0,0
284.0,0
