days,incidence
209.0,2
210.0,2
211.0,4
212.0,2
213.0,4
214.0,0
215.0,1
216.0,2
217.0,1
218.0,4
219.0,2
220.0,2
221.0,2
222.0,2
223.0,0
224.0,2
225.0,2
226.0,3
227.0,3
228.0,0
229.0,1
230.0,2
231.0,0
232.0,1
233.0,2
234.0,1
235.0,0
236.0,3
237.0,1
238.0,1
239.0,3
240.0,0
241.0,2
242.0,2
243.0,0
244.0,0
245.0,3
246.0,2
247.0,1
248.0,4
249.0,1
250.0,2
251.0,3
252.0,0
253.0,0
254.0,1
255.0,0
256.0,1
257.0,1
258.0,1
259.0,0
260.0,2
261.0,2
262.0,2
263.0,1
264.0,1
265.0,1
266.0,1
267.0,4
268.0,3
269.0,1
270.0,1
271.0,1
272.0,3
273.0,1
274.0,1
275.0,3
276.0,2
277.0,0
278.0,0
279.0,0
280.0,0
281.0,0
282.0,0
283.0,1
284.0,0
285.0,0
286.0,0
287.0,0
288.0,1
289.0,2
290.0,1
291.0,3
292.0,1
293.0,0
294.0,1
295.0,0
296.0,2
297.0,1
298.0,1
299.0,0
300.0,2
301.0,1
302.0,0
303.0,2
304.0,2
305.0,0
306.0,2
307.0,0
308.0,2
309.0,2
310.0,2
311.0,3
312.0,1
313.0,1
314.0,0
315.0,0
316.0,0
317.0,4
318.0,0
319.0,1
320.0,1
321.0,2
322.0,1
323.0,3
324.0,0
325.0,0
326.0,1
327.0,0
328.0,1
329.0,0
330.0,1
331.0,0
332.0,1
333.0,1
334.0,2
335.0,1
336.0,0
337.0,1
338.0,1
339.0,3
340.0,1
341.0,0
342.0,0
343.0,1
344.0,0
345.0,0
346.0,1
347.0,1
348.0,1
349.0,1
350.0,1
351.0,1
352.0,0
353.0,1
354.0,1
355.0,1
356.0,1
357.0,0
358.0,1
359.0,0
360.0,0
361.0,0
362.0,0
363.0,1
364.0,0
365.0,2
366.0,1
367.0,0
368.0,0
369.0,1
370.0,3
371.0,2
372.0,0
373.0,1
374.0,3
375.0,1
376.0,2
377.0,1
378.0,1
379.0,0
380.0,1
381.0,0
382.0,2
383.0,2
384.0,0
385.0,0
386.0,0
387.0,2
388.0,0
389.0,2
390.0,1
391.0,0
392.0,0
393.0,0
394.0,0
395.0,0
396.0,0
397.0,0
398.0,1
399.0,1
400.0,1
401.0,0
402.0,0
403.0,0
404.0,0
405.0,0
406.0,1
407.0,0
408.0,0
409.0,0
410.0,0
411.0,1
412.0,0
413.0,0
414.0,0
415.0,1
416.0,2
417.0,1
418.0,1
419.0,1
420.0,0
421.0,5
422.0,4
423.0,5
424.0,3
425.0,7
426.0,6
427.0,5
428.0,12
429.0,12
430.0,9
431.0,20
432.0,31
433.0,30
434.0,37
435.0,32
436.0,49
437.0,52
438.0,81
439.0,69
440.0,92
441.0,93
442.0,95
443.0,111
444.0,122
445.0,151
446.0,162
447.0,167
448.0,172
449.0,187
450.0,196
451.0,172
452.0,215
453.0,248
454.0,200
455.0,197
456.0,187
457.0,206
458.0,176
459.0,198
460.0,184
461.0,198
462.0,204
463.0,205
464.0,208
465.0,172
466.0,226
467.0,237
468.0,229
469.0,223
470.0,205
471.0,221
472.0,187
473.0,200
474.0,189
475.0,186
476.0,179
477.0,137
478.0,139
479.0,156
480.0,160
481.0,146
482.0,133
483.0,134
484.0,127
485.0,117
486.0,88
487.0,87
488.0,98
489.0,86
490.0,76
491.0,81
492.0,75
493.0,64
494.0,53
495.0,66
496.0,54
497.0,55
498.0,51
499.0,90
