date,0_39,40_59,60_79,80_89,90_+
2020-02-20,,,,,
2020-02-21,,,,,
2020-02-22,,,,,
2020-02-23,14.428571428571429,32.714285714285715,73.14285714285714,42.285714285714285,9.428571428571429
2020-02-24,17.285714285714285,40.857142857142854,86.14285714285714,50.142857142857146,9.714285714285714
2020-02-25,17.714285714285715,47.857142857142854,105.14285714285714,58.42857142857143,11.714285714285714
2020-02-26,18.285714285714285,54.42857142857143,122.85714285714286,70.42857142857143,13.0
2020-02-27,18.857142857142858,64.28571428571429,141.85714285714286,79.71428571428571,15.714285714285714
2020-02-28,21.0,79.57142857142857,171.14285714285714,97.71428571428571,19.285714285714285
2020-02-29,23.0,95.14285714285714,208.71428571428572,116.42857142857143,23.857142857142858
2020-03-01,25.285714285714285,117.57142857142857,259.42857142857144,131.28571428571428,25.285714285714285
2020-03-02,28.428571428571427,146.57142857142858,313.42857142857144,151.28571428571428,30.428571428571427
2020-03-03,35.57142857142857,179.28571428571428,371.2857142857143,171.28571428571428,33.714285714285715
2020-03-04,43.857142857142854,208.0,424.14285714285717,195.71428571428572,38.0
2020-03-05,50.0,230.85714285714286,474.42857142857144,215.71428571428572,41.714285714285715
2020-03-06,57.285714285714285,264.0,526.2857142857143,233.28571428571428,44.714285714285715
2020-03-07,64.14285714285714,294.57142857142856,579.0,253.14285714285714,44.857142857142854
2020-03-08,73.28571428571429,327.42857142857144,629.8571428571429,275.2857142857143,50.142857142857146
2020-03-09,84.57142857142857,353.14285714285717,685.1428571428571,298.0,51.142857142857146
2020-03-10,95.85714285714286,397.0,751.1428571428571,330.2857142857143,55.57142857142857
2020-03-11,99.0,429.14285714285717,810.7142857142857,345.2857142857143,59.0
2020-03-12,103.0,464.85714285714283,853.2857142857143,367.0,61.714285714285715
2020-03-13,114.42857142857143,503.2857142857143,925.8571428571429,390.2857142857143,63.142857142857146
2020-03-14,124.28571428571429,546.8571428571429,1006.4285714285714,406.7142857142857,67.14285714285714
2020-03-15,129.85714285714286,589.8571428571429,1071.4285714285713,425.2857142857143,70.85714285714286
2020-03-16,131.57142857142858,629.4285714285714,1137.142857142857,437.7142857142857,77.0
2020-03-17,132.85714285714286,652.8571428571429,1172.7142857142858,450.2857142857143,79.57142857142857
2020-03-18,133.85714285714286,679.8571428571429,1201.142857142857,468.42857142857144,83.14285714285714
2020-03-19,132.42857142857142,682.7142857142857,1228.4285714285713,475.7142857142857,88.14285714285714
2020-03-20,126.71428571428571,691.2857142857143,1242.857142857143,485.14285714285717,93.57142857142857
2020-03-21,120.85714285714286,683.5714285714286,1238.0,492.14285714285717,98.28571428571429
2020-03-22,113.0,655.5714285714286,1207.5714285714287,499.85714285714283,101.0
2020-03-23,108.28571428571429,624.7142857142857,1151.2857142857142,497.7142857142857,100.28571428571429
2020-03-24,103.42857142857143,594.0,1101.857142857143,491.0,103.0
2020-03-25,100.14285714285714,561.5714285714286,1041.0,473.2857142857143,104.14285714285714
2020-03-26,99.14285714285714,535.7142857142857,974.8571428571429,461.7142857142857,100.71428571428571
