age,all,male,female
0,0.00019519295184758562,0.00021150989866325744,0.0001780256950419844
1,8.242041278890072e-5,8.904045553097049e-5,7.541193770973945e-5
2,3.9360264500977445e-5,4.6778055138569354e-5,3.150868064151674e-5
3,4.4520199450493536e-5,4.956486181729566e-5,3.9200484343762116e-5
4,3.5140738658326595e-5,3.218474040995313e-5,3.826465536300403e-5
5,2.6044588335229913e-5,1.9470708266483902e-5,3.3010381765065115e-5
6,3.154008251674088e-5,3.06709657136942e-5,3.2459891746261024e-5
7,3.2107397355483664e-5,1.836176346376306e-5,4.6662104149816465e-5
8,3.532241932545333e-5,3.974433552890678e-5,3.063572968563912e-5
9,1.0827471460589808e-5,7.004346196815124e-6,1.4891533790751613e-5
10,3.553887597643062e-5,3.4530863685962514e-5,3.6607508932232176e-5
11,2.6346434537014107e-5,2.734519203161104e-5,2.5290753339282682e-5
12,3.6970203776242245e-5,3.758871791717497e-5,3.6312930308224154e-5
13,4.217459226834287e-5,6.472624206251874e-5,1.8147568770211854e-5
14,4.9481242191241464e-5,5.4773511529824174e-5,4.383417531478417e-5
15,4.718547386449031e-5,5.4328264958948207e-5,3.961052055425921e-5
16,5.457688827230698e-5,5.8065860348190226e-5,5.0865623921376276e-5
17,5.659820053096187e-5,8.224614214189516e-5,2.9241689877258008e-5
18,6.960068347871176e-5,8.7248322147651e-5,5.059503373604571e-5
19,4.5705076987663014e-5,5.8369354791637614e-5,3.1873864493577416e-5
20,6.298322603488249e-5,8.436381571048934e-5,3.938854652682539e-5
21,9.780495331499772e-5,0.00011175610347976576,8.219129129665696e-5
22,6.429790913351799e-5,5.807013581959544e-5,7.116703258382587e-5
23,8.940892267309061e-5,0.00010978791557955103,6.711551640091276e-5
24,9.803391297292912e-5,0.00012013338052085938,7.403725131416121e-5
25,0.0001252881627743811,0.0001616145944443367,8.643281404498655e-5
26,0.00011796974076149467,0.00014023546809961818,9.441342289120876e-5
27,0.00010836414120632847,0.00010103020190732776,0.00011608896284185782
28,0.0001228321309957434,0.00012939400474444685,0.00011597078824700489
29,0.0001373895673463591,0.00015101953286638094,0.00012314104385715638
30,0.00014224927019939636,0.00010364779260686392,0.00018197905358341857
31,0.00018136449578403115,0.0001877833516645653,0.000174761925201896
32,0.00018795399748881134,0.00023479403684131887,0.00014012231120853936
33,0.00025291154840113915,0.0002886581649240829,0.0002165218547880715
34,0.0002170871366950119,0.00023952733273007931,0.000194392523364486
35,0.00022481292353148988,0.00029893457396018656,0.0001497986529870145
36,0.00025108396534754326,0.0002825568253170916,0.00021926914133050206
37,0.0002649921751001698,0.0003347386825128086,0.00019482326746451432
38,0.00032520638892754927,0.00040771349862258954,0.0002426294414284257
39,0.00030790743952778565,0.0003908173972632075,0.00022423099574771582
40,0.0003572960771759527,0.0004984732625205522,0.00021631426553488263
41,0.00034303745424103273,0.00048033950594358237,0.00020564355282685556
42,0.00033485116525805143,0.0004740978903847172,0.00019632254357402796
43,0.00038299458056917824,0.0005191940262689102,0.0002476496216464114
44,0.0004261717801788384,0.0006155448233562857,0.00023842125755182928
45,0.0004539739081135695,0.0006491880905808324,0.00026059562913879447
46,0.0005513159348363686,0.0007982929799442265,0.00030792787738565013
47,0.0006071019352557877,0.000850892696504355,0.00036613023357016727
48,0.0006324840472310328,0.0009852839007136991,0.0002867646755433056
49,0.0007475829727726286,0.0011194663947659104,0.00038308991161865896
50,0.0008030112923462986,0.001167325663125986,0.00044734487658544287
51,0.0008720501227578249,0.001261371694651826,0.0004929419672865785
52,0.0009017735222019315,0.0013004689633255209,0.0005159447150063026
53,0.001040971029195108,0.0015442307374270263,0.0005512202285753371
54,0.0010980977552387135,0.0016065790866577135,0.00060449015285541
55,0.0012199912944329818,0.0018447645049231383,0.0006158271551963893
56,0.0014463934470401207,0.0021746082507195395,0.000750405767163424
57,0.0014495197488690284,0.0021829054655183484,0.0007532333521278842
58,0.0016351373093148056,0.0025019498764295178,0.000816487727168851
59,0.0017448301002657945,0.0026421686219363252,0.0009000941319817416
60,0.0018545459390773786,0.0027315569874828654,0.0010310803796442654
61,0.0021452222762726224,0.003236817480923073,0.0011300515264275174
62,0.002273981306536024,0.0034974563953488374,0.001138339215165952
63,0.002483773862064336,0.0037513999293531984,0.0013104067076601764
64,0.00250115034079687,0.0037749511642005524,0.001328295801654943
65,0.0026878330665146164,0.003972696324107722,0.0015136173092763492
66,0.002881088064970122,0.004329904362446441,0.001551395149470424
67,0.0031317052782773268,0.0046350694487390385,0.001766367685300114
68,0.0031723139196030603,0.004852260691064404,0.0016530139955184954
69,0.00315486029915736,0.004534637396169872,0.0019126527864806368
70,0.003214049039098741,0.004794883831517598,0.0017974115088969138
71,0.0033708068373262253,0.004947329152825396,0.001973437323683085
72,0.003656451476290489,0.00541474230971836,0.0021050583552441353
73,0.0037513840938411995,0.005471098058431202,0.002256773031562273
74,0.0051013323949823585,0.007222865812180753,0.0032841070407017394
75,0.004092657005373836,0.005952259115676056,0.0025241189754355918
76,0.003931220600651308,0.005881910618352563,0.0023279289672647864
77,0.003999259182090727,0.005851132686084142,0.0025017795084369635
78,0.0036474508914252635,0.005376248848579324,0.002280146265603766
79,0.0033955085442416394,0.004941254895425381,0.0021980221028713074
80,0.0030907611712198053,0.004338137369954772,0.0021402231324962238
81,0.003008882886421758,0.004277131413312989,0.0020728415525548037
82,0.0033980914205024256,0.004789627752534079,0.0024026628536602517
83,0.003422966706876982,0.004994353118333543,0.0023506341145944835
84,0.003029688310935594,0.004335853203235672,0.0021661976885139008
85,0.002872853711035651,0.0038963481138816806,0.0022289316271674113
86,0.0030473093974358557,0.004095992825545198,0.002416636415495514
87,0.002958969444708602,0.004068174901085523,0.0023336155025280836
88,0.002777970126637964,0.0037317349068815525,0.0022660123190945966
89,0.002572765188439471,0.0035534220124436816,0.002085484891894593
90,0.0025783619817997976,0.003413512557481429,0.002189660849522555
91,0.002408370605735565,0.003469640644361834,0.0019547800631692473
92,0.0025046756692180304,0.0034679074068722365,0.002120548576697015
93,0.0026342579473778113,0.0039380931752845275,0.002160537988267277
94,0.0021647084450858397,0.0022516338074578504,0.0021360558994967596
95,0.0019587054574206186,0.002733277655455167,0.0017185366542680916
96,0.002050811880232586,0.00214799699280421,0.0020226537216828477
97,0.002150023889154324,0.004246284501061571,0.0015962724880279563
98,0.0022373540856031127,0.0027451959071624656,0.0021144203467649367
99,0.0017137322107145519,0.0031633056544088573,0.0013771575468233565
