age,all,male,female
0.0,1.4458737173895233e-5,1.4100659910883829e-5,1.4835474586832033e-5
1.0,4.578911821605595e-6,4.4520227765485245e-6,4.7132461068587154e-6
2.0,2.186681361165414e-6,0.0,4.5012400916452486e-6
3.0,8.480037990570198e-6,8.26081030288261e-6,8.711218743058248e-6
4.0,0.0,0.0,0.0
5.0,4.006859743881525e-6,0.0,8.252595441266279e-6
6.0,3.94251031459261e-6,0.0,8.114972936565256e-6
7.0,3.7773408653510186e-6,7.3447053855052235e-6,0.0
8.0,1.8590747013396491e-6,3.613121411718798e-6,0.0
9.0,0.0,0.0,0.0
10.0,3.5538875976430617e-6,0.0,7.321501786446436e-6
11.0,7.025715876537095e-6,1.0254447011854141e-5,3.612964762754669e-6
12.0,3.5209717882135467e-6,0.0,7.262586061644831e-6
13.0,5.271824033542859e-6,6.813288638159867e-6,3.629513754042371e-6
14.0,3.5343744422315333e-6,3.423344470614011e-6,3.652847942898681e-6
15.0,5.2428304293878125e-6,3.395516559934263e-6,7.20191282804713e-6
16.0,1.7605447829776445e-6,0.0,3.633258851526877e-6
17.0,5.306081299777675e-6,6.853845178491263e-6,3.655211234657251e-6
18.0,8.70008543483897e-6,1.0067114093959732e-5,7.227861962292244e-6
19.0,1.6927806291727044e-6,3.2427419328687563e-6,0.0
20.0,1.3617994818352972e-5,1.946857285626677e-5,7.161553913968253e-6
21.0,1.1804046089741103e-5,9.579094583979923e-6,1.4294137616809906e-5
22.0,1.522845216320163e-5,1.9356711939865147e-5,1.067505488757388e-5
23.0,6.747843220610612e-6,9.687169021725092e-6,3.5323956000480407e-6
24.0,1.0141439273061632e-5,1.2987392488741555e-5,7.051166791824877e-6
25.0,2.0046106043900973e-5,3.555521077775408e-5,3.457312561799462e-6
26.0,1.8023154838561687e-5,2.2310188106757436e-5,1.3487631841601251e-5
27.0,2.1986927201284036e-5,2.4492170159352183e-5,1.9348160473642968e-5
28.0,2.2046792742825738e-5,2.1565667457407806e-5,2.2549875492473172e-5
29.0,3.241776308172518e-5,4.530585985991428e-5,1.894477597802406e-5
30.0,2.319281579337984e-5,2.133925141906022e-5,2.5100559114954286e-5
31.0,3.325015756040571e-5,4.172963370323673e-5,2.4527989502020493e-5
32.0,4.3136983030218995e-5,4.5739098085971207e-5,4.047977879357804e-5
33.0,4.445112062807901e-5,5.1654618986414835e-5,3.7118032249383685e-5
34.0,4.3120047699694143e-5,4.43569134685332e-5,4.1869158878504674e-5
35.0,4.6714373720829064e-5,6.965465801014055e-5,2.3497827919531688e-5
36.0,5.595585513459535e-5,5.7082186932745765e-5,5.4817285332625515e-5
37.0,7.214446651941796e-5,8.852593256537087e-5,5.566379070414695e-5
38.0,7.578962453820003e-5,0.00011294765840220385,3.8600138409067725e-5
39.0,8.336358624769742e-5,0.00011778058547658308,4.86284087163721e-5
40.0,8.606401858982801e-5,0.00013310019051595898,3.909293955449686e-5
41.0,8.0496153522264e-5,0.0001163709112337545,4.4597396998595185e-5
42.0,0.00010201558798184363,0.00013476894345961505,6.943114345910745e-5
43.0,0.00012536459243855984,0.00016614208840605126,8.484292593441871e-5
44.0,0.00011423161118195667,0.00015885027699517052,6.999523157484896e-5
45.0,0.0001446381986315326,0.00018457308457690334,0.00010507888271725584
46.0,0.0002092663567683326,0.0002867862179960492,0.0001328729881869586
47.0,0.00019044272145805473,0.0002349479833631428,0.00014645209342806692
48.0,0.00024486614678631417,0.000362112886587086,0.00012997247884336872
49.0,0.00025129722994747994,0.00036536664117597077,0.00013949469607853343
50.0,0.0003134202237984278,0.00042504753275457755,0.00020444268115443317
51.0,0.00037255632463381637,0.0005229567556599609,0.00022610148086285215
52.0,0.00036811279469588535,0.0004976070952917587,0.0002427975129441424
53.0,0.0004394304736367205,0.0006408454198157672,0.00024342207174312333
54.0,0.0005337123167920005,0.0007659272389879797,0.0003082899779562591
55.0,0.0005494000531221375,0.0008155584726664653,0.00029202126391570716
56.0,0.0007059520922587773,0.0010167286040382432,0.0004089289854766974
57.0,0.0007750128703506207,0.0011235542837226794,0.0004441029012545907
58.0,0.0008854616552884083,0.0013061822829059267,0.00048811766298137834
59.0,0.0009992367105646572,0.001510853328013313,0.0005176113837859379
60.0,0.001166510607009481,0.0017209809591467137,0.000645893176314745
61.0,0.0014250677288205342,0.002195658763525179,0.0007084270957430641
62.0,0.001531850529459505,0.002316497093023256,0.0008035335636465544
63.0,0.0017321920521868924,0.0026424094392889317,0.0008896571651619379
64.0,0.0019091620944544155,0.0028403350023575905,0.0010517828623999256
65.0,0.002132722208820369,0.003226380540677081,0.0011332455417805596
66.0,0.002493193825992663,0.003742339052302352,0.0013467547910732556
67.0,0.002772618770805678,0.0041403322160517494,0.0015304775651646457
68.0,0.0029675527779261554,0.004417963050331659,0.0016558396604680996
69.0,0.0032369356241468486,0.004741309878032843,0.0018825538155918143
70.0,0.003673610510847956,0.005529510025666193,0.002010478526668888
71.0,0.0041554271659485905,0.006128648322171496,0.002406438864118868
72.0,0.004700126475608583,0.006955248747381446,0.002710363967021653
73.0,0.005278059554855104,0.007780631751094688,0.003103062918398125
74.0,0.007233544779313165,0.01043852524911054,0.004488279622292378
75.0,0.006626920130440564,0.009743037617131372,0.003998535941934904
76.0,0.0072028404293812565,0.010715270409143697,0.0043159391030263075
77.0,0.008056394763343404,0.01177562028047465,0.005048919035855351
78.0,0.00882624443592612,0.01290476865301495,0.005600543592473766
79.0,0.008929805544845447,0.013044746271144072,0.005741969634373063
80.0,0.01026452049482592,0.015040634326226172,0.006624978648008655
81.0,0.011401762808506674,0.01629792103757391,0.007788112658410493
