age,all,male,female
0,0.01665887501385629,0.017846735227208633,0.015409112937522871
1,0.0048788305459207615,0.005293455081316196,0.00443987783266091
2,0.002943273112128647,0.0032702113092327122,0.0025972155328793083
3,0.00202036905125335,0.002193245135415333,0.0018380671547852901
4,0.0015606622168845047,0.0017580914448936899,0.0013520178228261424
5,0.0014364592181815268,0.0015654449446253057,0.0012997837819994388
6,0.0011610692876475239,0.001334187008545698,0.0009778542388561135
7,0.0012219697699410545,0.001314702264005435,0.0011237790082747464
8,0.0011414718666225446,0.001199556308690641,0.001079909471418779
9,0.001077333410328686,0.0011417084300808652,0.0010089014143234217
10,0.0011692290196245673,0.001277641956380613,0.0010542962572482868
11,0.0012593595708692742,0.0014151136876358714,0.0010947283231146647
12,0.0011337529158047621,0.0012233419103953307,0.0010385498068152107
13,0.00121076225303701,0.0013183713514839342,0.001096113153720796
14,0.0011681107531575218,0.0011879005313030619,0.0011469942540701858
15,0.001336921759493892,0.0012597366437356115,0.0014187768271252846
16,0.0014348439981267803,0.0013833337318245318,0.0014896361291260197
17,0.0016678782218967827,0.0016106536169454469,0.0017289149139928797
18,0.0017939576166637957,0.0016711409395973155,0.001926225212950883
19,0.0017300218030145038,0.001559758869709872,0.0019159734101139314
20,0.002100575700730946,0.0018397801349172098,0.002388378230308412
21,0.0023861036024262375,0.0019828725788838437,0.0028373863169367662
22,0.0027106644850498902,0.0022582830596509338,0.0032096331695305466
23,0.0028931377808368002,0.002334607734235747,0.003504136435247656
24,0.0031201828163452956,0.002399420762295002,0.0039028208192750696
25,0.0034245431158330827,0.0025599751759982936,0.004349299202743723
26,0.0035587538463050894,0.0027632761555083855,0.004400339888322408
27,0.0037299251502178276,0.00266352350482955,0.0048531635854721115
28,0.004031413530116706,0.0028343448658307404,0.005283113686808001
29,0.00417417292252309,0.002827085655258651,0.0055823939881910895
30,0.004530330018306863,0.0029539620892956218,0.006152774553053169
31,0.004621771900896394,0.0031505873445943733,0.006135063374192876
32,0.00502391791648372,0.0035097134597968575,0.006570179481111512
33,0.004963197537714477,0.003606707808051436,0.006344090345290495
34,0.005144667760032474,0.00380286604803558,0.0065016822429906545
35,0.004848076097714791,0.003807787971221017,0.005900892036292395
36,0.00498294063801153,0.004164145536743804,0.005810632245258305
37,0.0048406162247355625,0.00414965308900176,0.005535763985527414
38,0.00490978967690194,0.004614325068870524,0.005205504379737133
39,0.004866013203716403,0.004673747778229865,0.00506005608476472
40,0.00468527301201897,0.004770728397317118,0.00459993588757913
41,0.004645247259415573,0.00495938160002575,0.00433090277519691
42,0.004516290089125618,0.005176571381814856,0.0038594139053821108
43,0.0047592539771629415,0.005418078105241783,0.004104563173584041
44,0.004874614331014652,0.005956885387318894,0.0038016160149089845
45,0.005145741460803576,0.006283970994445835,0.0040182164751078634
46,0.005745795552080766,0.006992019210396215,0.004517681598356593
47,0.006129940857539375,0.007541618601107007,0.004734586963253078
48,0.006380065603287667,0.008008589654519043,0.004784225054567811
49,0.007028962268614658,0.00886438949783329,0.005230010097750388
50,0.007016106317056308,0.008805740837115566,0.005268953455890985
51,0.0077039694276771166,0.00979184229297711,0.005670869574073697
52,0.008019306385008966,0.010213490170169082,0.005895932939326925
53,0.0082951423051238,0.010638033968941737,0.00601514045051189
54,0.008649820306628973,0.011017728413409747,0.006351176539334175
55,0.009121656764336666,0.01191085144715407,0.006424467806145558
56,0.010320911809877941,0.01368944565133487,0.007101452330262853
57,0.010577697273719135,0.013888506727567895,0.007434369646002094
58,0.011035179984915202,0.014508960034580942,0.007754414691454169
59,0.011539001494725988,0.0151571920024524,0.008132911609840114
60,0.012246544378884583,0.015976606665799507,0.008744219256071982
61,0.01306185073368126,0.017335951605888477,0.009086987003181793
62,0.01317442902876046,0.01749262568399453,0.009166234726042175
63,0.013733808413767505,0.01838185965383067,0.009431379805035814
64,0.014289789010007293,0.019088061611693647,0.009871770354711833
65,0.014904383868067281,0.019918020081635464,0.010322502793765051
66,0.016010370763445077,0.021366285201188388,0.01109482591742485
67,0.01621628781077907,0.021551990698940024,0.011370465433672754
68,0.01649365833971357,0.021861730879187146,0.01163891392741997
69,0.0172818956232253,0.022770444619373113,0.01234057806441727
70,0.0179056098193448,0.023605581939778943,0.012797679208483344
71,0.018935225696593998,0.025068244127452198,0.01349915105455557
72,0.020622271478960688,0.02681338739908611,0.015159662866392297
73,0.022168720857840683,0.028944074953731302,0.016280230451246106
74,0.029375457683858144,0.03796539455729027,0.022017642364274566
75,0.027432976888194606,0.035828178666022586,0.02035178829167904
76,0.02684009769629719,0.035199558856703624,0.019969372969929202
77,0.02870862319763247,0.03729018338727077,0.021769319878853857
78,0.02941038418512231,0.03799245376603132,0.022622833685921235
79,0.02894821076523523,0.03720939921673194,0.022548285478206982
80,0.03129348164931836,0.040383795496600254,0.02436639012348987
81,0.034648724059521616,0.04446881556360862,0.027400924156522413
82,0.03974081581524586,0.05038120412443202,0.03212926716829579
83,0.04356965800872411,0.0557033504831221,0.0352894833742946
84,0.04261585923277754,0.05371162273443396,0.035280577302624384
85,0.044905404973609835,0.05654970100417466,0.037579503293707885
86,0.049945433407707976,0.06220735209154329,0.04257117668412591
87,0.052347058952619915,0.06678502586994015,0.0442071426937244
88,0.054337421538637,0.06952688598383693,0.046184085332265014
89,0.053600758476103995,0.06877547736537223,0.046060565679448315
90,0.05985844287158746,0.07783869826671383,0.051489957194599936
91,0.06273906619983405,0.08412752055874732,0.05359756567290656
92,0.062402676048215006,0.08270959165390285,0.05430448311628443
